3M France,Chirurgien-dentiste,HARSON LUDOVIC,07/03/2014,REPAS,€11,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASO NIEDERLANDER LAURELINE,28/11/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,QUINNEZ PATRICK,30/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,QUINNEZ PATRICK,21/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,QUINNEZ PATRICK,28/11/2012,Hospitalité,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LACOSTE BEATRICE,24/05/2014,Repas,€42,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CERESA MONIQUE,05/06/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CERESA MONIQUE,05/06/2014,INVITATIONS,€20,,
MSD France,Médecin,DANIEL GUY,01/04/2014,REPAS,€57,,
MSD France,Médecin,QUINNEZ PATRICK,28/05/2013,HOSPITALITÉ,€42,,
MUNDIPHARMA,Médecin,QUINNEZ PATRICK,12/02/2013,AUTRE : FORMATION MEDICALE CONTINUE,€41,,
MYLAN SAS,Pharmacien,LACOSTE BEATRICE,20/06/2014,REPAS,€34,,
MYLAN SAS,Pharmacien,LACOSTE BEATRICE,24/07/2013,REPAS,€37,,
MYLAN SAS,Pharmacien,LACOSTE BEATRICE,21/10/2013,REPAS,€45,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAVEREL VALERIE,21/10/2013,REPAS,€45,,
NOVARTIS PHARMA SAS,Médecin,DANIEL GUY,05/04/2014,Repas,€46,,
NOVARTIS PHARMA SAS,Médecin,DANIEL GUY,15/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,DANIEL GUY,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,QUINNEZ PATRICK,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,BERGER DAMIEN,11/12/2013,RP,€48,,
SANOFI AVENTIS FRANCE,Médecin,DANIEL GUY,22/05/2014,Repas,€48,,
Straumann France,Chirurgien-dentiste,MERCIER JULIEN,17/02/2014,Repas,€27,,
