Asept InMed,Association professionnel de santé,la vie par un fil,23/01/2014,don,"€3,500",,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,25/04/2013,Hospitalite,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,19/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,07/06/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,21/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOILLANDEAU JEAN PIERRE,27/09/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PARIS MONIQUE,27/09/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PARIS MONIQUE,21/11/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PARIS MONIQUE,17/04/2014,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PARIS MONIQUE,25/04/2013,Hospitalite,€22,,
LEO Pharma,Médecin,GOILLANDEAU JEAN PIERRE,15/05/2014,REPAS,€50,,
LES LABORATOIRES SERVIER,Médecin,GOILLANDEAU JEAN PIERRE,14/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,GOILLANDEAU JEAN PIERRE,04/07/2013,Repas,€58,,
LES LABORATOIRES SERVIER,Médecin,GOILLANDEAU JEAN PIERRE,26/06/2014,Repas,€60,,
Lilly France SAS,Médecin,GOILLANDEAU JEAN PIERRE,13/05/2014,REPAS,€55,,
MENARINI FRANCE,Médecin,GOILLANDEAU JEAN PIERRE,28/11/2013,REPAS,€45,,
MENARINI FRANCE,Médecin,GOILLANDEAU JEAN-PIERRE,22/10/2013,AUTRE : RNT,€45,,
MENARINI FRANCE,Médecin,PARIS MONIQUE,28/11/2013,REPAS,€45,,
MENARINI FRANCE,Médecin,PARIS MONIQUE,22/10/2013,AUTRE : RNT,€45,,
MSD France,Médecin,GOILLANDEAU JEAN PIERRE,13/11/2013,REPAS,€14,,
MSD France,Médecin,GOILLANDEAU JEAN PIERRE,27/06/2012,HOSPITALITE,€55,,
MSD France,Médecin,GOILLANDEAU JEAN PIERRE,11/06/2014,REPAS,€17,,
MSD France,Médecin,GOILLANDEAU JEAN PIERRE,28/06/2012,REPAS,€14,,
MSD France,Médecin,GOILLANDEAU JEAN PIERRE,12/04/2012,HOSPITALITE,€60,,
NOVARTIS PHARMA SAS,Médecin,BOUSSEAU PHILIPPE,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,GOILLANDEAU JEAN PIERRE,07/11/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,GOILLANDEAU JEAN PIERRE,24/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PARIS MONIQUE,07/11/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
PIERRE FABRE MEDICAMENT,Médecin,GOILLANDEAU JEAN PIERRE,18/12/2012,Restauration,€55,,
SANOFI AVENTIS FRANCE,Médecin,GOILLANDEAU JEAN PIERRE,11/07/2013,Restauration,€17,,
TEVA SANTE SAS,Médecin,PARIS MONIQUE,26/06/2014,REPAS,€55,,
