APTALIS PHARMA SAS,Médecin,KIM FRANCIS,27/11/2013,FRAIS D'HOSPITALITÉ,€25,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,11/02/2014,Repas,€25,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,17/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,24/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,20/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,03/09/2013,Repas,€25,,
NOVARTIS PHARMA SAS,Médecin,CAHUET XAVIER,23/01/2014,Transport,€332,,
NOVARTIS PHARMA SAS,Médecin,CHATENET PATRICE,03/09/2013,Repas,€25,,
NOVARTIS PHARMA SAS,Médecin,CHATENET PATRICE,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,KIM FRANCIS,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,KIM FRANCIS,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,KIM FRANCIS,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,KIM FRANCIS,12/07/2013,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,KIM FRANCIS,07/03/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,KIM FRANCIS,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,KIM FRANCIS,17/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LAJOIE PHILIPPE,02/07/2013,Repas,€38,,
NOVARTIS PHARMA SAS,Médecin,LAJOIE PHILIPPE,25/10/2013,Repas,€43,,
NOVARTIS PHARMA SAS,Médecin,LAJOIE PHILIPPE,17/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LAJOIE PHILIPPE,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LAJOIE SONJA,22/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LAJOIE SONJA,25/10/2013,Repas,€43,,
NOVARTIS PHARMA SAS,Médecin,LAJOIE SONJA,02/07/2013,Repas,€38,,
NOVO NORDISK,Médecin,GADENNE GERARD,26/03/2014,REPAS,€38,,
NOVO NORDISK,Médecin,KIM FRANCIS,10/01/2014,REPAS,€35,,
NOVO NORDISK,Médecin,KIM FRANCIS,05/07/2013,REPAS,€35,,
PFIZER SAS,Médecin,KIM FRANCIS,17/10/2013,Repas,€38,,
PFIZER SAS,Médecin,KIM FRANCIS,28/03/2014,REPAS,€45,,
PFIZER SAS,Médecin,KIM FRANCIS,08/11/2013,Repas,€35,,
PFIZER SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAURY NATHALIE,12/10/2013,Repas,€40,,
PIERRE FABRE MEDICAMENT,Médecin,GADENNE GERARD,14/05/2013,Restauration,€78,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,06/12/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,12/12/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,02/11/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,05/10/2013,RESTAURATION,€47,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,10/10/2012,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,29/06/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,22/06/2012,Restauration,€12,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,04/05/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,10/01/2012,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,06/01/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,14/05/2013,Restauration,€78,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,10/04/2013,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,11/01/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,21/06/2013,Restauration,€41,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,24/05/2013,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,01/02/2013,Restauration,€15,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,18/04/2014,RESTAURATION,€40,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,21/03/2014,RESTAURATION,€45,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,03/04/2014,RESTAURATION,€53,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,11/10/2013,RESTAURATION,€40,,
PIERRE FABRE MEDICAMENT,Médecin,KIM FRANCIS,13/06/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LABROUSSE SONIA,07/12/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,LAJOIE PHILIPPE,28/06/2013,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,LAJOIE PHILIPPE,20/01/2012,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,LAJOIE PHILIPPE,07/12/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,LAJOIE SONJA,20/01/2012,Restauration,€46,,
PIERRE FABRE MEDICAMENT,Médecin,LAJOIE SONJA,07/12/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,LAJOIE SONJA,28/06/2013,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,PARAUD JEAN HENRI,10/01/2012,Restauration,€53,,
RESEARCH NOW SAS,Médecin,Burgevin Ane-Laure,22/09/2013,enquête,€19,,
ROTTAPHARM SAS,Médecin,LAJOIE PHILIPPE,07/06/2013,DEJEUNER,€28,,
ROTTAPHARM SAS,Médecin,LAJOIE SONJA,07/06/2013,DEJEUNER,€28,,
SANOFI AVENTIS FRANCE,Médecin,KIM FRANCIS,31/01/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,LABROUSSE SONIA,20/05/2014,Repas,€45,,
SANOFI PASTEUR MSD SNC,Médecin,KIM FRANCIS,27/06/2013,Repas,€51,,
SHIRE France S.A.,Chirurgien-dentiste,ASSAF ARPALIANGEAS FRANÇOISE,03/06/2014,Repas,€27,,
TEVA SANTE SAS,Médecin,KIM FRANCIS,20/09/2013,REPAS,€40,,
TEVA SANTE SAS,Médecin,KIM FRANCIS,20/12/2013,REPAS,€45,,
TEVA SANTE SAS,Médecin,KIM FRANCIS,29/11/2013,REPAS,€40,,
TEVA SANTE SAS,Médecin,KIM FRANCIS,27/06/2014,REPAS,€40,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MEYME SYLVIE,23/01/2014,REPAS,€24,,
Zambon France,Médecin,KIM FRANCIS,07/02/2014,Repas,€45,,
Zambon France,Médecin,KIM FRANCIS,13/05/2014,Repas,€55,,
