alliance healthcare repartition,Pharmacien,GUILMAUT FRANCOISE,07/01/2014,Repas,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,15/05/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,03/10/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,03/10/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,23/01/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,28/03/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,20/06/2013,Hospitalite,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,15/05/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,19/07/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,13/07/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,26/01/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,30/01/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,02/05/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE LA GAROULLAYE HENRY,03/04/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUBERT CHARLES,22/05/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUBERT CHARLES,28/03/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUBERT CHARLES,29/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUBERT CHARLES,28/03/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUBERT CHARLES,30/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TACQUET GILLES,18/03/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TUBAU RENAUD,19/07/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDU ANDREE,15/05/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDU ANDREE,20/06/2013,Hospitalite,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDU ANDREE,18/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDU ANDREE,02/05/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDU ANDREE,07/06/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDU ANDREE,29/03/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDU ANDREE,29/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDU ANDREE,20/06/2013,Hospitalite,€48,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DE LA GAROULLAYE HENRY,12/12/2013,Repas,€47,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BERCUI ALINA,20/02/2014,HOSPITALITE,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DE LA GAROULAYE GERALD,20/02/2014,HOSPITALITE,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,TACQUET GILLES,31/01/2014,HOSPITALITE,€32,,
LES LABORATOIRES SERVIER,Médecin,BERCIU ALINA,02/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BERCIU ALINA,10/06/2014,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,JOUBERT CHARLES,15/01/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,VERDU ANDREE,02/07/2013,Repas,€60,,
LUNDBECK SAS,Médecin,BERCIU ALINA ROXANA,17/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,DE LA GAROULLAYE GERALD,17/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
MENARINI FRANCE,Médecin,BERCIU ALINA,11/06/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,DE LA GAROULLAYE GÉRALD,05/09/2013,AUTRE : RNT,€45,,
MENARINI FRANCE,Médecin,VERDU ANDREE,11/06/2013,REPAS,€58,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,30/03/2012,HOSPITALITE,€58,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,27/09/2012,REPAS,€40,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,27/07/2012,REPAS,€50,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,15/03/2012,HOSPITALITE,€60,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,30/08/2012,REPAS,€40,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,15/11/2012,REPAS,€40,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,06/09/2012,REPAS,€40,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,30/03/2012,HOSPITALITE,€58,,
MSD France,Médecin,DE LA GAROULLAYE HENRY,31/05/2012,HOSPITALITE,€55,,
MSD France,Médecin,JOUBERT CHARLES,29/05/2012,HOSPITALITE,€60,,
MSD France,Médecin,JOUBERT CHARLES,28/11/2013,REPAS,€55,,
MSD France,Médecin,JOUBERT CHARLES,17/12/2013,REPAS,€55,,
MSD France,Médecin,JOUBERT CHARLES,01/04/2014,REPAS,€66,,
MSD France,Médecin,JOUBERT CHARLES,04/06/2013,HOSPITALITÉ,€62,,
MSD France,Médecin,JOUBERT CHARLES,31/05/2012,REPAS,€60,,
MSD France,Médecin,JOUBERT CHARLES,20/09/2012,HOSPITALITE,€60,,
MSD France,Médecin,LEFEBVRE PAUL,18/09/2012,REPAS,€60,,
MSD France,Médecin,TACQUET GILLES,15/04/2014,REPAS,€40,,
MSD France,Médecin,TACQUET GILLES,28/11/2013,REPAS,€55,,
MSD France,Médecin,TUBAU RENAUD,06/09/2012,REPAS,€40,,
MSD France,Médecin,TUBAU RENAUD,23/08/2012,REPAS,€40,,
MSD France,Médecin,TUBAU RENAUD,30/08/2012,REPAS,€40,,
MSD France,Médecin,TUBAU RENAUD,06/09/2012,REPAS,€40,,
MSD France,Médecin,TUBAU RENAUD,27/07/2012,REPAS,€50,,
MSD France,Médecin,TUBAU RENAUD,30/03/2012,HOSPITALITE,€58,,
MSD France,Médecin,TUBAU RENAUD,01/06/2012,REPAS,€40,,
MUNDIPHARMA,Médecin,DE LA GAROULLAYE GERALD,05/12/2013,REPAS,€40,,
NOVARTIS PHARMA SAS,Médecin,BERCIU ALINA ROXANA,18/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,BERCIU ALINA ROXANA,24/04/2014,Repas,€40,,
NOVARTIS PHARMA SAS,Médecin,BERCIU ALINA ROXANA,27/02/2014,Repas,€49,,
NOVO NORDISK,Médecin,DE LA GAROULLAYE HENRY,18/07/2013,REPAS,€42,,
NOVO NORDISK,Médecin,DE LA GAROULLAYE HENRY,27/03/2014,REPAS,€50,,
PFIZER SAS,Médecin,BERCIU ALINA ROXANA,11/06/2013,Repas,€48,,
PFIZER SAS,Médecin,VERDU ANDREE,11/06/2013,Repas,€48,,
PIERRE FABRE MEDICAMENT,Médecin,DE LA GAROULLAYE HENRY,18/10/2012,Restauration,€44,,
PIERRE FABRE MEDICAMENT,Médecin,DE LA GAROULLAYE HENRY,09/01/2014,RESTAURATION,€45,,
PIERRE FABRE MEDICAMENT,Médecin,DE LA GAROULLAYE HENRY,25/04/2013,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,LEFEBVRE PAUL,22/03/2013,Restauration,€41,,
PIERRE FABRE MEDICAMENT,Médecin,VERDU ANDREE,18/10/2012,Restauration,€44,,
TEVA SANTE SAS,Médecin,BERCIU ALINA ROXANA,06/02/2014,REPAS,€39,,
TEVA SANTE SAS,Médecin,BERCIU ALINA ROXANA,10/10/2013,REPAS,€54,,
TEVA SANTE SAS,Médecin,DE LA GAROULLAYE GERALD,06/02/2014,REPAS,€39,,
TEVA SANTE SAS,Médecin,DE LA GAROULLAYE GERALD,10/10/2013,REPAS,€54,,
Ultradent Products GmbH,Chirurgien-dentiste,PHILIPPON PIERRE,29/11/2012,Dons de matériel,€26,,
Ultradent Products GmbH,Chirurgien-dentiste,PHILIPPON PIERRE HENRI,03/04/2014,DONS EN MATERIEL,€26,,
Zambon France,Médecin,DE LA GAROULLAYE GERALD,28/11/2013,Repas,€56,,
