AMGEN SAS,Médecin,TREBAOL RONAN,18/03/2014,REPAS REUNION,€44,,
colgate palmolive,Chirurgien-dentiste,GESTIN CAROLINE,02/01/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,LORGEOUX CAROLINE,02/01/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,PHILIPPE GOAR,02/01/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,PLOUHINEC BERNARD,17/05/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,VOURC H GREGORY,17/05/2014,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,QUEOURON SYLVIE,10/06/2014,REPAS,€48,,
DAIICHI SANKYO FRANCE SAS,Etudiant,LE PENN STEPHANIE,23/10/2013,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,LABIA LE TENSORER GAELLE,04/06/2014,Repas,€56,,
EISAI SAS,Médecin,LE BIHAN LOCHOU MORGANA,06/12/2013,INSCRIPTION,€220,,
FERRING SAS,Infirmier,POCHART FRANÇOISE,21/11/2013,Repas,€17,,
FERRING SAS,Médecin,LE GALL CATHERINE,10/04/2014,Repas,€55,,
Genzyme,Médecin,BOUEE JEAN BAPTISTE,02/09/2013,"Hébergement, restauration, transport",€21,,
Genzyme,Médecin,LAVENNE COLLOT NATHALIE,02/06/2014,Repas,€14,,
Genzyme,Médecin,MAHE JEAN YVES,23/09/2013,"Hébergement, restauration, transport",€49,,
GILEAD SCIENCES,Médecin,GRAVRAND ELISABETH,30/04/2014,REPAS,€24,,
ICOMED,Chirurgien-dentiste,BARDINA FLORENCE,20/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,BARDINA FLORENCE,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,BOTBOL MICHEL,18/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,BOTBOL MICHEL,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHAUVEL ARNAUD,05/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,CHAUVEL ARNAUD,11/12/2013,Autre: [Enquête],€22,,
ICOMED,Médecin,CHAUVEL ARNAUD,02/12/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,DUVAL FRANCOISE,04/12/2013,Autre: [Enquête],€15,,
ICOMED,Médecin,DUVAL FRANCOISE,12/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,GENEST PHILIPPE,18/02/2013,Autre: [Enquête],€15,,
ICOMED,Médecin,GERAUD WELBY MARIE CAROLINE,11/12/2013,Autre: [Enquête],€22,,
ICOMED,Médecin,GERAUD WELBY MARIE CAROLINE,28/05/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,JEZEQUEL FLORENCE,29/04/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,JEZEQUEL FLORENCE,23/04/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LE CAM MONIQUE,29/04/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,LE CAM MONIQUE,19/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LE GOFF SINTES BRIGITTE,24/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,LE GOFF SINTES BRIGITTE,19/02/2013,Autre: [Enquête],€20,,
ICOMED,Médecin,LE LANN LE DUC SYLVIE,21/01/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,LE LANN LE DUC SYLVIE,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MAHE JEAN YVES,21/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MONOT SYLVIE,18/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,MONOT SYLVIE,16/12/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,MONOT SYLVIE,11/02/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,MONTAVON LE MEAUX STEPHANIE,23/04/2013,Autre: [Enquête],€20,,
ICOMED,Médecin,WALTER MICHEL,21/01/2014,Autre: [Enquête],€15,,
JANSSEN-CILAG,Etudiant,CHAIBAN JEREMY,28/06/2013,REPAS,€29,,
JANSSEN-CILAG,Etudiant,CHAIBAN JEREMY,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Etudiant,DALMASSO ALICE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Etudiant,DE LASSAT DE PRESSIGNY GILDAS,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Etudiant,GOURBIL ADELINE,28/06/2013,REPAS,€29,,
JANSSEN-CILAG,Etudiant,LINCOLN ROZENN,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Etudiant,SALAUN ANNA,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Etudiant,SIMON KEVIN,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,AUTRET OLIVIER,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,CAILLIBOTTE ELODIE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,CARAES ARMELLE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,CREVEUIL MICHELE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,DUDON FRANCOISE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,KONATE NATHALIE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,LE JOSSEC ARNAUD,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,LE VOURCH PHILIPPE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,MONOT MARIE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,PIRIOU MONIQUE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,SIMOES VALERIE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,TANGUY RONAN,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Infirmier,TCHOU FOUC JOHANNA,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,BELLEIN BEAUDRE VERONIQUE,04/03/2014,REPAS,€35,,
JANSSEN-CILAG,Médecin,BLETON LAURE,28/06/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,CASTELAIN AGNES,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,CHANOINE PASCALE,28/06/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,CHAUVEL ARNAUD,16/05/2013,REPAS,€26,,
JANSSEN-CILAG,Médecin,CIROLO JACQUES,22/10/2013,REPAS,€55,,
JANSSEN-CILAG,Médecin,CIROLO JACQUES,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,CIROLO JACQUES,19/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,CIROLO JACQUES,18/02/2014,REPAS,€43,,
JANSSEN-CILAG,Médecin,CORNILY GERALDINE,28/06/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,CORNILY GERALDINE,18/02/2014,REPAS,€43,,
JANSSEN-CILAG,Médecin,COZIC JEAN YVES,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,DUBOIS LUC,16/05/2013,REPAS,€26,,
JANSSEN-CILAG,Médecin,DUBOIS LUC,22/10/2013,REPAS,€55,,
JANSSEN-CILAG,Médecin,DUVAL FRANCOISE,19/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,DUVAL FRANCOISE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,DUVAL FRANCOISE,18/02/2014,REPAS,€43,,
JANSSEN-CILAG,Médecin,DUVAL FRANCOISE,28/03/2014,INSCRIPTION,€334,,
JANSSEN-CILAG,Médecin,DUVAL FRANCOISE,18/02/2014,REPAS,€43,,
JANSSEN-CILAG,Médecin,DUVAL FRANCOISE,28/03/2014,AUTRE : REMBOURSEMENT DE FRAIS,€45,,
JANSSEN-CILAG,Médecin,DUVAL FRANCOISE,28/03/2014,TRANSPORT,€199,,
JANSSEN-CILAG,Médecin,DUVAL FRANCOISE,19/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,GENEST PHILIPPE,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,GENEST PHILIPPE,28/06/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,GENEST PHILIPPE,22/10/2013,REPAS,€55,,
JANSSEN-CILAG,Médecin,LE BIHAN LOCHOU MORGANA,18/02/2014,REPAS,€43,,
JANSSEN-CILAG,Médecin,LE BIHAN LOCHOU MORGANA,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,LE BIHAN LOCHOU MORGANA,17/04/2014,REPAS,€48,,
JANSSEN-CILAG,Médecin,LE BIHAN LOCHOU MORGANA,19/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,LE BIHAN LOCHOU MORGANA,28/06/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,LE BIHAN LOCHOU MORGANA,07/12/2013,HEBERGEMENT,€310,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,30/11/2013,AUTRE : REMBOURSEMENT DE FRAIS,€74,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,27/09/2013,AUTRE : REMBOURSEMENT DE FRAIS,€243,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,27/09/2013,HEBERGEMENT,€162,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,02/04/2014,REPAS,€21,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,17/04/2014,REPAS,€48,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,18/04/2013,REPAS,€21,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,17/04/2014,REPAS,€48,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,27/09/2013,HEBERGEMENT,€162,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,27/09/2013,AUTRE : REMBOURSEMENT DE FRAIS,€243,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,30/11/2013,TRANSPORT,€736,,
JANSSEN-CILAG,Médecin,LE GALUDEC MICKAEL,30/11/2013,REPAS,€113,,
JANSSEN-CILAG,Médecin,LE LANN LE DUC SYLVIE,02/04/2014,REPAS,€21,,
JANSSEN-CILAG,Médecin,LE LANN LE DUC SYLVIE,17/04/2014,REPAS,€48,,
JANSSEN-CILAG,Médecin,LE LANN LE DUC SYLVIE,07/02/2013,REPAS,€24,,
JANSSEN-CILAG,Médecin,LE LANN LE DUC SYLVIE,16/04/2013,AUTRE : REMBOURSEMENT DE FRAIS,€88,,
JANSSEN-CILAG,Médecin,LE LANN LE DUC SYLVIE,06/05/2014,REPAS,€22,,
JANSSEN-CILAG,Médecin,LE LANN LE DUC SYLVIE,22/10/2013,REPAS,€55,,
JANSSEN-CILAG,Médecin,MONTAVON LE MEAUX STEPHANIE,02/04/2014,REPAS,€21,,
JANSSEN-CILAG,Médecin,WALTER MICHEL,19/03/2013,REPAS,€32,,
JANSSEN-CILAG,Médecin,WALTER MICHEL,21/06/2013,REPAS,€33,,
JANSSEN-CILAG,Pharmacien,LELIEVRE JOACHIM,08/10/2013,TRANSPORT,€523,,
JANSSEN-CILAG,Pharmacien,LELIEVRE JOACHIM,08/10/2013,REPAS,€70,,
JANSSEN-CILAG,Pharmacien,LELIEVRE JOACHIM,08/10/2013,HEBERGEMENT,€153,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEZEQUEL FLORENCE,17/06/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE GALL FRANCOIS,03/07/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,06/04/2012,Hospitalité,€16,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,28/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,06/04/2012,Hospitalité,€16,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,05/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAHE JEAN YVES,03/07/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAHE JEAN YVES,05/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MESGUEN DANIEL,03/07/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MESGUEN DANIEL,26/04/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TREBAOL ROZEN,30/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDELO ARMELLE,28/05/2013,Hospitalite,€60,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE LAURENT,12/12/2013,CADEAUX,€12,,
Laboratoires BESINS INTERNATIONAL,Médecin,L HOSTIS LE HOUEROU Marie aude,18/10/2013,Repas,€28,,
Laboratoires BESINS INTERNATIONAL,Médecin,L HOSTIS LE HOUEROU Marie aude,31/05/2013,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MESGUEN DANIEL,12/10/2013,Hébergement,€169,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MESGUEN DANIEL,12/10/2013,Repas,€104,,
LABORATOIRES CONVATEC,Infirmier,BOURHIS EMMANUELLE,10/06/2014,REPAS,€19,,
LABORATOIRES CONVATEC,Infirmier,CAPITAINE VANESSA,10/06/2014,REPAS,€19,,
LABORATOIRES CONVATEC,Infirmier,CHARLET ANNE MARIE,25/03/2014,REPAS,€26,,
LABORATOIRES CONVATEC,Infirmier,LE PAPE LENAIC,10/06/2014,REPAS,€19,,
LABORATOIRES CONVATEC,Infirmier,PELIZZA FANNY,10/06/2014,REPAS,€19,,
LABORATOIRES CONVATEC,Infirmier,TYGREAT VALERIE,10/06/2014,REPAS,€19,,
LABORATOIRES CONVATEC,Médecin,ROSBORSKI DELPHINE,10/06/2014,REPAS,€19,,
Laboratoires Grünenthal SAS,Médecin,LE CAM MONIQUE,16/05/2014,REPAS,€17,,
Laboratoires PRED,Chirurgien-dentiste,Goar Philippe,20/06/2013,Invitations,€63,,
LEO Pharma,Médecin,L HOSTIS LE HOUERROU MARIE HAUDE,31/01/2014,Repas,€47,,
LEO Pharma,Médecin,MESGUEN DANIEL,21/05/2014,REPAS,€60,,
LES LABORATOIRES SERVIER,Etudiant,LEDUC JOSEPHINE,17/10/2013,Repas,€25,,
LES LABORATOIRES SERVIER,Médecin,CHAUVEL ARNAUD,10/10/2013,Repas,€21,,
LES LABORATOIRES SERVIER,Médecin,DUBOIS LUC,10/10/2013,Repas,€21,,
LES LABORATOIRES SERVIER,Médecin,HAZIF-THOMAS CYRIL,03/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,JESTIN GRANIER CECILE,17/10/2013,Repas,€25,,
LES LABORATOIRES SERVIER,Médecin,LE HOUEROU MARIE-HAUDE,15/11/2013,Repas,€14,,
LES LABORATOIRES SERVIER,Médecin,LE LANN SYLVIE,15/05/2014,Repas,€30,,
LES LABORATOIRES SERVIER,Médecin,LE LANN SYLVIE,03/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MAHE JEAN YVES,19/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MESGUEN DANIEL,17/10/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MESGUEN DANIEL,19/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MESGUEN DANIEL,11/03/2014,Repas,€58,,
LES LABORATOIRES SERVIER,Médecin,MONTAVON STEPHANIE,17/10/2013,Repas,€25,,
LES LABORATOIRES SERVIER,Médecin,MONTAVON STEPHANIE,15/05/2014,Repas,€30,,
LES LABORATOIRES SERVIER,Médecin,PEDEN SOAZIC,17/10/2013,Repas,€25,,
Lilly France SAS,Médecin,CHAUVEL ARNAUD,07/12/2013,AUTRE : [INSCRIPTION CONGRÈS SCIENTIFIQUE],€220,,
Lilly France SAS,Médecin,GRINER ABRAHAM VERONIQUE,10/09/2013,REPAS,€65,,
Lilly France SAS,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,20/03/2014,REPAS,€55,,
LUNDBECK SAS,Médecin,BODENEZ PIERRE,09/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,BODENEZ PIERRE,03/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€19,,
LUNDBECK SAS,Médecin,BORDAGE CATHERINE,18/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€31,,
LUNDBECK SAS,Médecin,CHAIBAN JEREMY,22/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,CHAUVEL ARNAUD,17/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€18,,
LUNDBECK SAS,Médecin,CHAUVEL ARNAUD,13/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€17,,
LUNDBECK SAS,Médecin,CONAN PIERRE,16/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€18,,
LUNDBECK SAS,Médecin,DUBOIS LUC,17/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€18,,
LUNDBECK SAS,Médecin,DUBOIS LUC,17/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,DUBOIS LUC,13/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€17,,
LUNDBECK SAS,Médecin,GENEST PHILIPPE,09/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€15,,
LUNDBECK SAS,Médecin,GENEST PHILIPPE,03/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€19,,
LUNDBECK SAS,Médecin,GENEST PHILIPPE,21/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,GERAUD WELBY MARIE CAROLINE,18/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,HAZIF THOMAS CYRIL,30/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,HAZIF THOMAS CYRIL,30/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,HAZIF THOMAS CYRIL,18/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,HAZIF THOMAS CYRIL,09/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€15,,
LUNDBECK SAS,Médecin,HAZIF THOMAS CYRIL,30/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,HAZIF  THOMAS CYRIL,22/01/2014,AUTRE : HOSPITALITE,€949,,
LUNDBECK SAS,Médecin,LE FOLL JACQUES,26/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€22,,
LUNDBECK SAS,Médecin,LE GALUDEC MICKAEL,21/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,LE LANN LE DUC SYLVIE,22/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,LE LANN LE DUC SYLVIE,09/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,LE LANN LE DUC SYLVIE,18/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,LE LANN LE DUC SYLVIE,06/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€31,,
LUNDBECK SAS,Médecin,LE LANN LE DUC SYLVIE,21/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,LE LANN LE DUC SYLVIE,12/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€57,,
LUNDBECK SAS,Médecin,LEMEY CHRISTOPHE,22/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,02/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,MAGUET JULIE,22/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,MESGUEN DANIEL,10/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€56,,
LUNDBECK SAS,Médecin,MESGUEN DANIEL,02/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,MESGUEN DANIEL,18/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,MONTAVON LE MEAUX STEPHANIE,21/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,MONTAVON LE MEAUX STEPHANIE,22/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,RIOU MARINE,22/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,WALTER MICHEL,03/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€19,,
LUNDBECK SAS,Médecin,WALTER MICHEL,02/04/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,WALTER MICHEL,21/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
LUNDBECK SAS,Médecin,WALTER MICHEL,12/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€57,,
LUNDBECK SAS,Médecin,WESTPHALE MARIE,22/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
MEDEXACT,Médecin,SCHMOUCHKOVITCH MICHEL,08/10/2013,Autre: [Enquête],€14,,
MENARINI FRANCE,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,24/01/2014,Autre : [Restauration],€54,,
MERCK SERONO,Médecin,PICART CAROLE,10/06/2014,REPAS,€17,,
MERCK SERONO,Médecin,PICART CAROLE,18/04/2014,REPAS,€18,,
MSD France,Infirmier,LE LAY FRANCOISE,21/05/2013,REPAS,€12,,
MSD France,Médecin,GRALL OLIVIER,22/08/2013,REPAS,€60,,
MSD France,Médecin,GRAVRAND ELISABETH,17/06/2014,REPAS,€46,,
MSD France,Médecin,L HEVEDER CECILE,25/02/2014,REPAS,€27,,
MSD France,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,24/05/2013,HOSPITALITÉ,€40,,
MSD France,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,11/06/2013,HOSPITALITÉ,€61,,
MSD France,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,11/10/2013,REPAS,€23,,
MSD France,Médecin,L HOSTIS LE HOUEROU MARIE HAUDE,21/11/2013,REPAS,€39,,
MSD France,Médecin,MARTIN YANNICK,11/06/2013,HOSPITALITÉ,€61,,
MSD France,Médecin,PICART CAROLE,25/09/2012,HOSPITALITE,€53,,
MSD France,Médecin,PICART CAROLE,10/06/2013,HOSPITALITE,€20,,
MSD France,Médecin,VOURC H GREGORY,11/06/2013,HOSPITALITÉ,€61,,
MUNDIPHARMA,Médecin,MESGUEN DANIEL,26/06/2014,REPAS PROFESSIONNEL,€60,,
NOVARTIS PHARMA SAS,Médecin,BORDAGE CATHERINE,05/11/2013,Autre : [Hospitalité Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Médecin,BOUCHENEB SANDRINE,23/01/2014,Transport,€773,,
NOVARTIS PHARMA SAS,Médecin,BOUCHENEB SANDRINE,23/01/2014,Repas,€152,,
