ARROW GENERIQUES SAS,Pharmacien,DRION MARIE THERESE,09/12/2013,REPAS,€13,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE GIVRE TANNEGUY,10/10/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE GIVRE TANNEGUY,15/11/2012,Hospitalité,€12,,
Laboratoires Grünenthal SAS,Médecin,DE GIVRE TANNEGUY,03/06/2014,REPAS,€45,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BARAU Serge,20/06/2014,HOSPITALITE,€18,,
LABORATOIRES MAYOLY SPINDLER,Médecin,TRANCHEVENT Michel,20/06/2014,HOSPITALITE,€18,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CITHAREL PASCALE,18/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CITHAREL PASCALE,03/10/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LEMAIRE SANDRINE,22/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,RICHARD CECILE,22/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,RICHARD-MORLAIS CECILE,03/10/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ROUXEL AMANDINE,03/10/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ROUXEL AMANDINE,22/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,SALIOU ANNABELLE,18/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,SALIOU ANNABELLE,03/10/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,SALIOU ANNABELLE,18/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,SALIOU ANNABELLE,06/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,SALIOU RENÉ-YVES,06/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,SALIOU RENÉ-YVES,06/06/2013,INVITATIONS,€20,,
LEO Pharma,Médecin,CRETU LIANA MARIANA,20/03/2014,REPAS,€50,,
LEO Pharma,Médecin,DE GIVRE TANNEGUY,16/04/2014,Repas,€19,,
LEO Pharma,Médecin,GIRARD NATHALIE,16/04/2014,Repas,€19,,
LEO Pharma,Médecin,MELO DOMINIQUE,20/03/2014,REPAS,€50,,
LEO Pharma,Médecin,MELO DOMINIQUE,16/04/2014,Repas,€19,,
LEO Pharma,Médecin,TRANCHEVENT MICHEL,20/03/2014,REPAS,€50,,
LUNDBECK SAS,Médecin,CRETU LIANA MARIANA,18/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,DE GIVRE TANNEGUY,16/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€15,,
LUNDBECK SAS,Médecin,DE GIVRE TANNEGUY,17/07/2013,AUTRE : FRAIS DE RESTAURATION / RP,€15,,
LUNDBECK SAS,Médecin,GIRARD NATHALIE,18/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,MELO DOMINIQUE,17/07/2013,AUTRE : FRAIS DE RESTAURATION / RP,€15,,
LUNDBECK SAS,Médecin,MELO DOMINIQUE,16/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€15,,
LUNDBECK SAS,Médecin,MELO DOMINIQUE,18/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€20,,
LUNDBECK SAS,Médecin,TRANCHEVENT MICHEL,22/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€19,,
MEDEXACT,Médecin,BARAU SERGE,10/06/2013,Autre: [Enquête],€19,,
MSD France,Médecin,DE GIVRE TANNEGUY,31/05/2013,REPAS,€12,,
MSD France,Médecin,DE GIVRE TANNEGUY,28/06/2012,HOSPITALITE,€55,,
MSD France,Médecin,DE GIVRE TANNEGUY,28/05/2014,REPAS,€17,,
MSD France,Médecin,GIRARD NATHALIE,26/04/2014,REPAS,€40,,
MSD France,Médecin,GIRARD NATHALIE,11/12/2013,REPAS,€20,,
MSD France,Médecin,GIRARD NATHALIE,20/02/2014,REPAS,€60,,
MSD France,Médecin,GIRARD NATHALIE,28/05/2014,REPAS,€17,,
MSD France,Médecin,GIRARD NATHALIE,26/04/2014,REPAS,€60,,
MSD France,Médecin,GIRARD NATHALIE,25/04/2014,HÉBERGEMENT,€290,,
MSD France,Médecin,GIRARD NATHALIE,25/04/2014,REPAS,€39,,
MSD France,Médecin,GIRARD NATHALIE,25/04/2014,TRANSPORT,€844,,
MSD France,Médecin,GIRARD NATHALIE,04/10/2012,REPAS,€14,,
MSD France,Médecin,LEBRUN HERVE,29/08/2012,REPAS,€19,,
MSD France,Médecin,LEBRUN HERVE,18/03/2014,REPAS,€24,,
MSD France,Médecin,LEBRUN HERVE,17/06/2014,REPAS,€32,,
MSD France,Médecin,LEBRUN HERVE,25/03/2014,REPAS,€49,,
MSD France,Médecin,LEBRUN HERVE,03/12/2013,REPAS,€31,,
MSD France,Médecin,LEBRUN HERVE,26/06/2013,REPAS,€24,,
MSD France,Médecin,LEBRUN HERVE,02/10/2013,REPAS,€28,,
MSD France,Médecin,MELO DOMINIQUE,25/04/2014,HÉBERGEMENT,€290,,
MSD France,Médecin,MELO DOMINIQUE,26/04/2014,REPAS,€60,,
MSD France,Médecin,MELO DOMINIQUE,28/05/2014,REPAS,€17,,
MSD France,Médecin,MELO DOMINIQUE,31/05/2013,REPAS,€12,,
MSD France,Médecin,MELO DOMINIQUE,11/12/2013,REPAS,€20,,
MSD France,Médecin,MELO DOMINIQUE,28/06/2012,HOSPITALITE,€55,,
MSD France,Médecin,MELO DOMINIQUE,04/10/2012,REPAS,€14,,
MSD France,Médecin,MELO DOMINIQUE,20/09/2012,REPAS,€11,,
MSD France,Médecin,MELO DOMINIQUE,26/04/2014,REPAS,€40,,
MSD France,Médecin,MELO DOMINIQUE,25/04/2014,TRANSPORT,€597,,
MSD France,Médecin,MELO DOMINIQUE,25/04/2014,HÉBERGEMENT,€290,,
MSD France,Médecin,MELO DOMINIQUE,25/04/2014,REPAS,€39,,
NOVARTIS PHARMA SAS,Médecin,GIRARD NATHALIE,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,MELO DOMINIQUE,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,TRANCHEVENT MICHEL,17/04/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,TRANCHEVENT MICHEL,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,TRANCHEVENT MICHEL,07/05/2014,Repas,€16,,
PFIZER SAS,Médecin,CRETU LIANA MARIANA,10/07/2013,Repas,€20,,
PFIZER SAS,Médecin,CRETU LIANA MARIANA,15/04/2014,REPAS,€34,,
PFIZER SAS,Médecin,MELO DOMINIQUE,10/07/2013,Repas,€20,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,21/11/2013,FRAIS DE DÃ‰PLACEMENT,€838,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,21/11/2013,HOSPITALITE SITES PIERRE FABRE,€88,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,21/11/2013,FRAIS DE DEPLACEMENT,€90,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,21/11/2013,HOSPITALITE SITES PIERRE FABRE,€138,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,11/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,21/11/2013,FRAIS DE DÃ‰PLACEMENT,€838,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,06/02/2014,RESTAURATION,€28,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,21/11/2013,FRAIS DE DEPLACEMENT,€35,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,06/03/2013,Restauration,€18,,
PIERRE FABRE MEDICAMENT,Médecin,LEBRUN HERVE,16/04/2013,Restauration,€50,,
SANOFI AVENTIS FRANCE,Médecin,CRETU LIANA MARIANA,05/12/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,DE GIVRE TANNEGUY,05/02/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,GIRARD NATHALIE,05/02/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,MELO DOMINIQUE,05/02/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,MELO DOMINIQUE,05/12/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,TRANCHEVENT MICHEL,05/12/2013,Restauration,€54,,
TEVA SANTE SAS,Médecin,GIRARD NATHALIE,25/09/2013,REPAS,€15,,
TEVA SANTE SAS,Médecin,MELO DOMINIQUE,25/09/2013,REPAS,€15,,
Zambon France,Médecin,TRANCHEVENT MICHEL,24/06/2014,Repas,€21,,
