3M France,Chirurgien-dentiste,GUIBERT PIERRE PHILIPPE,01/07/2013,REPAS,€26,,
HEMOTECH,Infirmier,PARMENTIER FRANCOISE,12/06/2014,REPAS,€54,,
HEMOTECH,Médecin,BOURGAIN CECILE,04/10/2013,HEBERGEMENT,€378,,
HEMOTECH,Médecin,MICHEL CATHERINE,12/06/2014,REPAS,€54,,
horus pharma,Médecin,LEBRUN Thierry,11/05/2014,Inscription,€230,,
horus pharma,Médecin,LEBRUN T. Thierry,12/09/2013,Repas,€55,,
ICOMED,Chirurgien-dentiste,MALKA ESTHER,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,SAMAMA TOUBIANA SOPHIE,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,ANFROY JEAN PIERRE,25/06/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,BENICHOU LUC,20/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,BEREND MICHEL,24/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,BEREND MICHEL,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOURGAIN CECILE,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CARZON JACQUES,16/05/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,CARZON JACQUES,29/04/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,COHEN ANDRE,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COHEN PIERRE,28/05/2013,Autre: [Enquête],€20,,
ICOMED,Médecin,COHEN PIERRE,27/06/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,DESMARQUET JEAN,14/04/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,ELANDALOUSSI BECHERKI,19/09/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,FAHY DANIELLE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FAHY DANIELLE,26/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HOUNKPONOU GERVAIS,07/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,KICHELEWSKI SYLVAIN,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,KICHELEWSKI SYLVAIN,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LEDERMAN JACQUES,06/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,MOLINA VIRGINIA,17/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MONTAGNE FRANCOISE,11/02/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,MONTAGNE FRANCOISE,02/12/2013,Autre: [Enquête],€18,,
ICOMED,Médecin,MUTINELLI SZYMANSKI PRISCA,19/04/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,PLAISANT BERNARD,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROUDAIRE MARIE LAURE,28/05/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,SALEH DOURED,27/03/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,SALFATI MICHEL,13/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,SALFATI MICHEL,27/01/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,TAUBMAN MARTINE,06/03/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,TRAN PHAT DAT,23/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,URENA TORRES PABLO ANTONIO,11/03/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,BENICHOU LUC,10/02/2014,REPAS,€40,,
IPSEN PHARMA,Médecin,BENICHOU LUC,23/06/2014,REPAS,€43,,
IPSEN PHARMA,Médecin,MELKA ROBERT,23/06/2014,REPAS,€43,,
IPSEN PHARMA,Médecin,MELKA ROBERT,10/02/2014,REPAS,€40,,
IPSEN PHARMA,Médecin,ROFE SOTTO ELISABETH,10/02/2014,REPAS,€40,,
IPSEN PHARMA,Médecin,ROFE SOTTO ELISABETH,23/06/2014,REPAS,€43,,
JANSSEN-CILAG,Etudiant,OUDRE CAMILLE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Etudiant,STRAZZULLA DAVID,23/01/2014,REPAS,€118,,
JANSSEN-CILAG,Infirmier,BOUCHAREB NORA,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Infirmier,CAILLY ISABELLE,18/03/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,DAMABE BEATRICE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Infirmier,ETENDARD GHISLAINE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Infirmier,ETENDARD GHISLAINE,18/03/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,HALFOND CATHERINE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Infirmier,KOPP MARTINE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Infirmier,MARTIN VINCENT,18/03/2013,REPAS,€10,,
JANSSEN-CILAG,Infirmier,MEDARD SYLVIE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Infirmier,MULAS MICHELE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Infirmier,TETARD NATHALIE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,ADVENIER FREDERIC,30/01/2013,REPAS,€20,,
JANSSEN-CILAG,Médecin,ADVENIER FREDERIC,07/06/2013,REPAS,€22,,
JANSSEN-CILAG,Médecin,ADVENIER FREDERIC,11/10/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,ADVENIER FREDERIC,17/07/2013,REPAS,€34,,
JANSSEN-CILAG,Médecin,BENICHOU LUC,14/06/2013,REPAS,€43,,
JANSSEN-CILAG,Médecin,CHENA SAMIA,27/06/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,COUVERTURE LEA,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,DESMARQUET JEAN,18/03/2013,REPAS,€10,,
JANSSEN-CILAG,Médecin,GIBOIN CHRISTINE,18/03/2013,REPAS,€10,,
JANSSEN-CILAG,Médecin,KICHELEWSKI SYLVAIN,14/06/2013,REPAS,€43,,
JANSSEN-CILAG,Médecin,MELKA ROBERT,14/06/2013,REPAS,€43,,
JANSSEN-CILAG,Médecin,SAADANE YASSINE,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,SAADANE YASSINE MOHAMMED,24/01/2014,INSCRIPTION,€347,,
JANSSEN-CILAG,Médecin,SALEH DOURED,03/04/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,WIEVIORKA EMMA,18/03/2013,REPAS,€10,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,GUIBERT Pierre philippe,09/10/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU LUC,29/10/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU LUC,30/01/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU LUC,27/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU LUC,09/12/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU LUC,13/09/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENICHOU LUC,30/04/2014,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARDO J PAUL,05/02/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLERC COLLOMBET FRANCOISE,20/03/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KICHELEWSKI SYLVAIN,22/03/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KICHELEWSKI SYLVAIN,13/09/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MELKA ROBERT,29/10/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MELKA ROBERT,30/01/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MELKA ROBERT,13/09/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MELKA ROBERT,30/04/2014,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MELKA ROBERT,09/12/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROFE SOTTO ELISABETH,30/01/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROFE SOTTO ELISABETH,27/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROFE SOTTO ELISABETH,13/09/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROFE SOTTO ELISABETH,09/12/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Sage-femme,STRAUMANN ANNE,03/07/2012,Hospitalité,€20,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE NET,09/01/2014,CADEAUX,€20,,
LABORATOIRES ALCON,Médecin,LEBRUN THIERRY,30/01/2014,REPAS,€44,,
LABORATOIRES ALCON,Médecin,LEBRUN THIERRY,04/04/2014,REPAS,€42,,
LABORATOIRES ALCON,Médecin,LEBRUN THIERRY,02/04/2014,REPAS,€40,,
Laboratoires IPRAD PHARMA,Médecin,ALBALADEJO ROSIANE,21/11/2013,REPAS,€33,,
Laboratoires IPRAD PHARMA,Médecin,MEURIC FLORENCE,21/11/2013,REPAS,€33,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,NET SETHY,15/04/2014,HOSPITALITE,€18,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,CLERC COLLOMBET FRANCOISE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ALLOIS CATHY,16/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,DAYRAS AMELIE,07/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,HALOUA CATHY,22/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LEDOUX NATHALIE,16/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,DOUN NADIA,01/12/2013,CADEAUX,€15,,
LABORATOIRES URGO,Pharmacien,DURAND LABRUNIE Dominique,19/03/2014,Repas,€12,,
Labvoratoire CHAUVIN,Médecin,SABLONG BENOIT,11/12/2013,REPAS,€19,,
