3M France,Chirurgien-dentiste,CARRIAS CAROLINE,19/06/2014,REPAS,€50,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BELL LUCILE,28/01/2014,REPAS,€40,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,VERINAUD ANNE,28/01/2014,REPAS,€40,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,VERINAUD ANNE,18/02/2014,REPAS,€18,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STEIN MARIE,03/12/2013,HOSPITALITE,€70,,
ICOMED,Chirurgien-dentiste,RICHERT JEAN,22/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,RICHERT JEAN,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BAER CHRISTOPHE,11/02/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,CERVEAU BUESSINGER CAROLINE,29/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,EBERHARDT GUY,04/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,NOLD MOOG BENEDICTE,20/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,STREICHER MARIE PIERRE,25/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,WENDLING THOMAS,27/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,WENDLING THOMAS,07/01/2013,Autre: [Enquête],€32,,
IPSEN PHARMA,Médecin,NOLD MOOG BENEDICTE,19/11/2013,REPAS,€13,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,SIBILIA-MANGOLD ANNE,22/07/2013,Autre,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAER CHRISTOPHE,04/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CERVEAU BUESSINGER CAROLINE,24/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CERVEAU BUESSINGER CAROLINE,16/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EBERHARDT GUY,22/11/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EBERHARDT GUY,19/12/2013,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEYER SANDRA,22/03/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEYER SANDRA,27/05/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEYER SANDRA,15/11/2012,Hospitalité,€15,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOLD MOOG BENEDICTE,16/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOLD MOOG BENEDICTE,23/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STREICHER MARIE PIERRE,24/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STREICHER MARIE PIERRE,16/02/2012,Hospitalité,€55,,
Laboratoires BESINS INTERNATIONAL,Médecin,EBERHARDT Guy,19/06/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BAER CHRISTOPHE,24/04/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BAER CHRISTOPHE,05/12/2013,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,EBERHARDT GUY,05/12/2013,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,EBERHARDT GUY,24/04/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MEYER PIERRE,05/12/2013,Repas,€55,,
Laboratoires Leurquin Mediolanum,Médecin,EBERHARDT GUY,05/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,EBERHARDT GUY,05/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,EBERHARDT GUY,23/01/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,MEYER SANDRA,23/01/2014,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,MEYER SANDRA,17/10/2013,AUTRE,€17,,
LABORATOIRES MAYOLY SPINDLER,Médecin,SCHWOEGLER SANDRA,15/04/2014,HOSPITALITE,€28,,
LABORATOIRES MAYOLY SPINDLER,Médecin,WENDLING THOMAS,15/04/2014,HOSPITALITE,€28,,
LUNDBECK SAS,Médecin,EBERHARDT GUY,12/12/2013,AUTRE : FRAIS DE RESTAURATION / RP,€44,,
medi,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,DAVENTURE ADELINE,27/03/2014,Repas,€20,,
MENARINI FRANCE,Médecin,MEYER PIERRE,06/02/2014,Autre : [Restauration],€56,,
MYLAN SAS,Pharmacien,BELL LUCILE,07/11/2013,REPAS,€46,,
MYLAN SAS,Pharmacien,BRESCH MARTINE,07/11/2013,REPAS,€46,,
MYLAN SAS,Pharmacien,MELY ANNIE,07/11/2013,REPAS,€46,,
MYLAN SAS,Pharmacien,VERINAUD ANNE,07/11/2013,REPAS,€46,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAAL STEPHANIE,07/11/2013,REPAS,€46,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARLIER CHRISTOPHE,07/11/2013,REPAS,€46,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DURREN BERGER MARIE PAULE,07/11/2013,REPAS,€46,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KERN MELANIE,07/11/2013,REPAS,€46,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MORRA ANAIS,07/11/2013,REPAS,€46,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STEIN MARIE,07/11/2013,REPAS,€46,,
NOVARTIS PHARMA SAS,Médecin,BAER CHRISTOPHE,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,EBERHARDT GUY,14/11/2013,Repas,€39,,
NOVARTIS PHARMA SAS,Médecin,EBERHARDT GUY,15/05/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,EBERHARDT GUY,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MEYER PIERRE,02/10/2013,Repas,€37,,
NOVARTIS PHARMA SAS,Médecin,SCHWOEGLER SANDRA,19/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,SCHWOEGLER SANDRA,17/03/2014,Repas,€41,,
NOVARTIS PHARMA SAS,Médecin,WENDLING THOMAS,17/03/2014,Repas,€41,,
NOVARTIS PHARMA SAS,Médecin,WENDLING THOMAS,19/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,EBERHARDT GUY,03/10/2013,REPAS,€40,,
NOVO NORDISK,Médecin,EBERHARDT GUY,30/01/2014,REPAS,€42,,
PHADIA SAS,Médecin,SCHWOEGLER SANDRA,11/03/2014,REPAS,€36,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,DITTLY RICHERT CAROLINE,19/03/2014,RESTAURATION,€20,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,SIBILIA MANGOLD ANNE,19/03/2014,RESTAURATION,€20,,
PIERRE FABRE MEDICAMENT,Médecin,BAAL STEPHANIE,04/03/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,CHARLIER CHRISTOPHE,04/03/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,DURRENDBERGER MARIE PAULE,04/03/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,EBERHARDT GUY,21/11/2013,RESTAURATION,€45,,
PIERRE FABRE MEDICAMENT,Médecin,EBERHARDT GUY,14/03/2013,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,EBERHARDT GUY,29/03/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,KERN MELANIE,04/03/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,MEYER PIERRE,06/12/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,MEYER PIERRE,30/05/2013,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,STEIN MARIE,04/03/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Médecin,VUILLEMIN CHRETIENNOT CELINE,25/11/2013,RESTAURATION,€22,,
PIERRE FABRE MEDICAMENT,Médecin,VUILLEMIN CHRETIENNOT CELINE,24/06/2013,Restauration,€18,,
PIERRE FABRE MEDICAMENT,Pharmacien,MELY ANNIE,26/05/2014,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Pharmacien,MELY ANNIE,26/05/2014,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Pharmacien,VERINAUD ANNE,26/05/2014,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Pharmacien,VERINAUD ANNE,04/03/2013,Restauration,€10,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARLIER CHRISTOPHE,26/05/2014,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DURRENDBERGER MARIE PAULE,26/05/2014,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KERN MELANIE,26/05/2014,RESTAURATION,€11,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,STEIN MARIE,26/05/2014,RESTAURATION,€11,,
RESEARCH NOW SAS,Médecin,BAER Christophe,15/11/2013,enquête,€17,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAAL STEPHANIE,27/03/2014,REPAS,€55,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARLIER CHRISTOPHE,27/03/2014,REPAS,€55,,
SANOFI AVENTIS FRANCE,Médecin,EBERHARDT GUY,13/02/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,MEYER PIERRE,19/06/2014,Repas,€54,,
SANOFI PASTEUR MSD SNC,Médecin,NOLD BENEDICTE,22/05/2014,Hébergement,€120,,
SANOFI PASTEUR MSD SNC,Médecin,NOLD BENEDICTE,21/05/2014,Hébergement,€120,,
SANOFI PASTEUR MSD SNC,Médecin,NOLD BENEDICTE,21/05/2014,Transport,€306,,
SANOFI PASTEUR MSD SNC,Médecin,NOLD BENEDICTE,24/05/2014,Transport,€31,,
SANOFI PASTEUR MSD SNC,Médecin,NOLD BENEDICTE,22/05/2014,Autre : [Inscription],€328,,
SANOFI PASTEUR MSD SNC,Médecin,NOLD BENEDICTE,23/05/2014,Hébergement,€120,,
SHIRE France S.A.,Médecin,FINCK SONJA,07/10/2013,Repas,€29,,
SHIRE France S.A.,Médecin,FINCK SONJA,03/09/2013,Repas,€34,,
Zambon France,Médecin,MEYER SANDRA,04/07/2013,Repas,€58,,
