ALK-Abelló,Médecin,PETRELLA THIERRY,20/06/2013,AUTRE : [RESTAURATION],€55,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BUCELET CLOTILDE,08/04/2014,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAUVIRE NADEGE,08/04/2014,[REPAS],€23,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,LEFORT STÉPHANIE,11/02/2014,REPAS,€30,,
FERRING SAS,Médecin,KASTNER FREDERIC,11/04/2014,Repas,€34,,
ICOMED,Médecin,ARCHAMBAUD HERVE,23/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,GRIFFON LEON MARC,21/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,GRIFFON LEON MARC,11/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HITROP LAURENT,03/02/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,HITROP LAURENT,28/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SAVARY JEAN RENE,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,SOUCHET MICHELE,18/06/2014,Autre: [Enquête],€16,,
ICOMED,Pharmacien,SOUCHET MICHELE,03/06/2014,Autre: [Enquête],€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETRELLA THIERRY,18/04/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETRELLA THIERRY,10/09/2013,REPAS,€55,,
LEO Pharma,Médecin,KASTNER FREDERIC,03/12/2013,REPAS,€60,,
LEO Pharma,Médecin,NGO NGEMHE JEANNE,03/12/2013,REPAS,€60,,
LES LABORATOIRES SERVIER,Médecin,KASTNER FREDERIC,02/04/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,NGO NGEMHE JEANNE,02/04/2014,Repas,€50,,
LUNDBECK SAS,Médecin,KASTNER FREDERIC,18/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€35,,
LUNDBECK SAS,Médecin,NGO NGEMHE JEANNE,18/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€35,,
MENARINI FRANCE,Médecin,KASTNER FRÉDÉRIC,04/10/2013,AUTRE : RNT,€43,,
MSD France,Médecin,CHATRY ANNE,10/04/2014,REPAS,€60,,
MSD France,Médecin,CHATRY ANNE,09/03/2012,HOSPITALITE,€43,,
MSD France,Médecin,CHATRY ANNE,27/03/2014,REPAS,€60,,
MSD France,Médecin,CHATRY ANNE,09/02/2012,HOSPITALITE,€39,,
MSD France,Médecin,FRAPPIER ARNAUD,16/05/2013,HOSPITALITÉ,€58,,
MSD France,Médecin,GEORGELIN SYLVIE,03/06/2014,REPAS,€63,,
MSD France,Médecin,GRIFFON LEON MARC,25/06/2013,HOSPITALITE,€53,,
MSD France,Médecin,GRIFFON LEON MARC,09/02/2012,HOSPITALITE,€39,,
MSD France,Médecin,HITROP LAURENT,09/02/2012,HOSPITALITE,€39,,
MSD France,Médecin,HITROP LAURENT,27/03/2014,REPAS,€60,,
MSD France,Médecin,KASTNER FREDERIC,28/06/2012,HOSPITALITE,€42,,
MSD France,Médecin,KASTNER FREDERIC,15/11/2013,REPAS,€25,,
MSD France,Médecin,KASTNER FREDERIC,22/11/2013,REPAS,€40,,
MSD France,Médecin,KASTNER FREDERIC,17/10/2013,REPAS,€40,,
MSD France,Médecin,KASTNER FREDERIC,12/11/2013,REPAS,€55,,
MSD France,Médecin,KASTNER FREDERIC,21/03/2014,REPAS,€34,,
MSD France,Médecin,KASTNER FREDERIC,29/03/2013,REPAS,€34,,
MSD France,Médecin,KASTNER FREDERIC,23/05/2013,HOSPITALITÉ,€35,,
MSD France,Médecin,KASTNER FREDERIC,17/05/2013,REPAS,€34,,
MSD France,Médecin,KASTNER FREDERIC,18/06/2013,HOSPITALITÉ,€59,,
MSD France,Médecin,KASTNER FREDERIC,25/06/2013,HOSPITALITÉ,€53,,
MSD France,Médecin,KASTNER FREDERIC,01/06/2012,REPAS,€28,,
MSD France,Médecin,KASTNER FREDERIC,21/09/2012,REPAS,€30,,
MSD France,Médecin,KASTNER FREDERIC,20/09/2012,HOSPITALITE,€42,,
MSD France,Médecin,KASTNER FREDERIC,19/01/2012,HOSPITALITE,€42,,
MSD France,Médecin,KASTNER FREDERIC,09/02/2012,HOSPITALITE,€39,,
MSD France,Médecin,KASTNER FREDERIC,29/03/2012,HOSPITALITE,€42,,
MSD France,Médecin,KASTNER FREDERIC,20/01/2012,HOSPITALITE,€60,,
MSD France,Médecin,PETRELLA THIERRY,27/03/2014,REPAS,€60,,
MSD France,Médecin,PETRELLA THIERRY,03/06/2014,REPAS,€63,,
MSD France,Médecin,PETRELLA THIERRY,28/06/2012,REPAS,€60,,
MSD France,Médecin,SAVARY JEAN RENE,20/09/2012,HOSPITALITE,€42,,
MSD France,Médecin,SAVARY JEAN RENE,12/11/2013,REPAS,€55,,
MSD France,Médecin,SAVARY JEAN RENE,28/06/2012,HOSPITALITE,€42,,
MSD France,Médecin,SAVARY JEAN RENE,03/06/2014,REPAS,€63,,
MSD France,Médecin,SAVARY JEAN RENE,29/03/2012,HOSPITALITE,€42,,
MSD France,Médecin,SAVARY JEAN RENE,11/07/2012,REPAS,€29,,
MSD France,Médecin,SAVARY JEAN RENE,19/01/2012,HOSPITALITE,€42,,
MUNDIPHARMA,Médecin,DEVIENNE AMANDINE,03/04/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,FRAPPIER ARNAUD,03/04/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,HITROP LAURENT,03/04/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,NGO NGEMHE JEANNE,03/04/2014,REPAS,€55,,
MYLAN SAS,Pharmacien,SALL CATHERINE,05/11/2013,REPAS,€32,,
MYLAN SAS,Pharmacien,SOUCHET MICHELE,05/11/2013,REPAS,€32,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BUCELET CLOTILDE,05/11/2013,REPAS,€32,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAUVIRE NADEGE,05/11/2013,REPAS,€32,,
NOVARTIS PHARMA SAS,Médecin,KASTNER FREDERIC,05/09/2013,Autre : [Hospitalité Evenement Scientifique],€48,,
NOVARTIS PHARMA SAS,Médecin,KASTNER FREDERIC,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€48,,
NOVARTIS PHARMA SAS,Médecin,KASTNER FREDERIC,27/02/2014,Autre : [Participation Evenement Scientifique],€45,,
NOVARTIS PHARMA SAS,Médecin,KASTNER FREDERIC,19/06/2014,Autre : [Participation Evenement Scientifique],€48,,
NOVARTIS PHARMA SAS,Médecin,NGO NGEMHE JEANNE,28/11/2013,Autre : [Hospitalité Evenement Scientifique],€48,,
NOVARTIS PHARMA SAS,Médecin,NGO NGEMHE JEANNE,10/10/2013,Autre : [Hospitalité Evenement Scientifique],€47,,
NOVARTIS PHARMA SAS,Médecin,NGO NGEMHE JEANNE,05/09/2013,Autre : [Hospitalité Evenement Scientifique],€48,,
NOVARTIS PHARMA SAS,Médecin,NGO NGEMHE JEANNE,19/06/2014,Autre : [Participation Evenement Scientifique],€48,,
NOVO NORDISK,Médecin,GEORGELIN SYLVIE,15/10/2013,REPAS,€25,,
NOVO NORDISK,Médecin,GEORGELIN SYLVIE,23/01/2014,REPAS,€45,,
NOVO NORDISK,Médecin,KASTNER FREDERIC,15/05/2014,REPAS,€40,,
PIERRE FABRE MEDICAMENT,Médecin,KASTNER FREDERIC,21/02/2014,RESTAURATION,€37,,
SANOFI AVENTIS FRANCE,Médecin,DEVIENNE AMANDINE,27/06/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,DEVIENNE AMANDINE,06/06/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Médecin,KASTNER FREDERIC,06/06/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Médecin,NGO NGEMHE JEANNE,06/06/2014,Repas,€33,,
SANOFI AVENTIS FRANCE,Médecin,NGO NGEMHE JEANNE,27/06/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,SOUCHET MICHELE,06/06/2014,Repas,€33,,
