3M France,Chirurgien-dentiste,TREMONT DOMINIQUE,07/10/2013,REPAS,€35,,
ALK-Abelló,Médecin,DUHAMEL SYLVIE,20/03/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,FALQUE LAURENT,30/11/2012,AUTRE : [RESTAURATION],€25,,
ALK-Abelló,Médecin,FALQUE LAURENT,29/06/2012,AUTRE : [RESTAURATION],€30,,
ALK-Abelló,Médecin,MARCAILLOU LUC,12/09/2013,AUTRE : [RESTAURATION],€54,,
ALK-Abelló,Médecin,MARCAILLOU LUC,29/06/2012,AUTRE : [RESTAURATION],€30,,
ALK-Abelló,Médecin,MARCAILLOU LUC,29/06/2012,AUTRE : [RESTAURATION],€30,,
ALK-Abelló,Médecin,MARCAILLOU LUC,30/11/2012,AUTRE : [RESTAURATION],€25,,
ALK-Abelló,Médecin,PELLET FRANCOIS,30/11/2012,AUTRE : [RESTAURATION],€25,,
ALK-Abelló,Médecin,PELLET FRANCOIS,17/06/2012,AUTRE : [RESTAURATION],€37,,
ALK-Abelló,Médecin,PELLET FRANCOIS,16/06/2012,HEBERGEMENT,€780,,
ALK-Abelló,Médecin,PELLET FRANCOIS,19/03/2013,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,PELLET FRANCOIS,16/06/2012,AUTRE : [INSCRIPTION],€625,,
ALK-Abelló,Médecin,PELLET FRANCOIS,05/12/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,PELLET FRANCOIS,20/09/2012,AUTRE : [INSCRIPTION],€450,,
ALK-Abelló,Médecin,PELLET FRANCOIS,12/09/2013,AUTRE : [RESTAURATION],€54,,
ALK-Abelló,Médecin,PELLET FRANCOIS,16/06/2012,AUTRE : [RESTAURATION],€25,,
ALK-Abelló,Médecin,PELLET FRANCOIS,29/06/2012,AUTRE : [RESTAURATION],€30,,
ALK-Abelló,Médecin,PELLET FRANCOIS,16/06/2012,TRANSPORT,€327,,
ALK-Abelló,Médecin,PELLET FRANCOIS,16/06/2012,AUTRE : [RESTAURATION],€255,,
ALLERGAN FRANCE,Médecin,AOUIZERATE FRANK,03/12/2013,REPAS,€31,,
ALLERGAN FRANCE,Médecin,BERNARD ARNAUD,03/12/2013,REPAS,€31,,
ALLERGAN FRANCE,Médecin,BERNARD ARNAUD,10/10/2013,REPAS,€40,,
ALLERGAN FRANCE,Médecin,BERNARD ARNAUD,19/03/2014,REPAS,€34,,
ALLERGAN FRANCE,Médecin,BERNARD ARNAUD,13/02/2014,REPAS,€33,,
ALLERGAN FRANCE,Médecin,BOUCHUT PIERRE,27/11/2013,REPAS,€54,,
ALLERGAN FRANCE,Médecin,BOUCHUT PIERRE,27/11/2013,REPAS,€54,,
ALLERGAN FRANCE,Médecin,COMTE PASCAL,05/06/2014,REPAS,€42,,
ALLERGAN FRANCE,Médecin,COMTE PASCAL,03/12/2013,REPAS,€31,,
ALLERGAN FRANCE,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,12/09/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,27/11/2013,REPAS,€54,,
ALLERGAN FRANCE,Médecin,DELIGNAT-LAVAUD MARIE SYLVIE,11/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,LAMBERT AUDREY,17/12/2013,REPAS,€46,,
ALLERGAN FRANCE,Médecin,LEONARD OLIVIER,11/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,METZQUER CAROLINE,27/11/2013,REPAS,€54,,
ALLERGAN FRANCE,Médecin,METZQUER CAROLINE,10/10/2013,REPAS,€40,,
ALLERGAN FRANCE,Médecin,SCHAUER PHILIPPE,11/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,SCHAUER PHILIPPE,09/07/2013,TRANSPORT,€78,,
ALLERGAN FRANCE,Médecin,SCHAUER PHILIPPE,10/10/2013,REPAS,€40,,
ALLERGAN FRANCE,Médecin,SCHAUER PHILIPPE,03/12/2013,REPAS,€31,,
ASTELLAS PHARMA,Médecin,BASSETTI MATTEO,25/03/2014,HOSPITALITE,€237,,
ASTELLAS PHARMA,Médecin,RAINAUD SIMON SOPHIE,25/04/2013,REPAS,€46,,
ASTRAZENECA,Infirmier,DELIAS JEAN PAUL,06/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERANGER PHILIPPE,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOISSERIE LACROIX VINCENT,10/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,BROSSIER MICHEL,24/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,BROSSIER MICHEL,24/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BROSSIER MICHEL,29/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BROSSIER MICHEL,11/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BROSSIER MICHEL,27/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,FALQUE LAURENT,10/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,GIRY JEAN ALCIDE,06/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARCAILLOU LUC,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARCAILLOU LUC,10/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,MARCAILLOU LUC,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PELLET FRANCOIS,10/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,ROCCA PAUL HENRY,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,SERRA BERNARD,25/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SERRA BERNARD,10/10/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,PINEAU CATHERINE,03/04/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,PRADIE LESTRADE MARIE LAURE,03/04/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,AGUEDO MELANIE,12/06/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,AGUEDO MELANIE,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,AGUEDO MELANIE,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,16/06/2014,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,21/11/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,20/03/2014,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,21/01/2014,HOSPITALITE,€82,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,02/07/2013,Hospitalité,€15,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,21/11/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,03/12/2013,Hospitalité,€16,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,27/06/2014,Hospitalité,€39,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,16/06/2014,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,AOUIZERATE FRANK,31/01/2014,Hospitalité,€963,,
Bayer HealthCare SAS,Médecin,BERNARD ARNAUD,31/01/2014,Hospitalité,€545,,
Bayer HealthCare SAS,Médecin,BERNARD ARNAUD,03/10/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Médecin,BONNEFOI ANOUCH,26/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,BOUCHET PAULINE,26/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,BOUCHUT PIERRE,07/11/2013,Hospitalité,€61,,
Bayer HealthCare SAS,Médecin,BOUCHUT PIERRE,03/10/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Médecin,BOUCHUT PIERRE,21/11/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,CALLUAUD JEAN LUC,07/11/2013,Hospitalité,€61,,
Bayer HealthCare SAS,Médecin,COMTE PASCAL,07/11/2013,Hospitalité,€61,,
Bayer HealthCare SAS,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,07/11/2013,Hospitalité,€61,,
Bayer HealthCare SAS,Médecin,DUCOS FRANCOIS,12/06/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,DUCOS FRANCOIS,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,DUCOS FRANCOIS,12/06/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,LEDUC XAVIER,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,LEDUC XAVIER,12/06/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,LEDUC XAVIER,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,LEONARD OLIVIER,07/11/2013,Hospitalité,€61,,
Bayer HealthCare SAS,Médecin,LEVESQUE MARTIN GENEVIEVE,27/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,METZQUER CAROLINE,03/10/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Médecin,METZQUER CAROLINE,31/01/2014,Hospitalité,€729,,
Bayer HealthCare SAS,Médecin,METZQUER CAROLINE,10/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,NADAL FRANCOIS,26/09/2013,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,NEUFFER HERMANN,12/06/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,NEUFFER HERMANN,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,NEUFFER HERMANN,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,RAINAUD SIMON SOPHIE,11/12/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,RAINAUD SIMON SOPHIE,26/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,RAINAUD SIMON SOPHIE,11/12/2013,Hospitalité,"€1,405",,
Bayer HealthCare SAS,Médecin,ROCCA PAUL HENRY,12/06/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,ROCCA PAUL HENRY,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,ROCCA PAUL HENRY,03/10/2013,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,SCHAUER PHILIPPE,10/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,SCHAUER PHILIPPE,03/10/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Médecin,SCHAUER PHILIPPE,10/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,SCHAUER PHILIPPE,31/01/2014,Hospitalité,€675,,
Bayer HealthCare SAS,Médecin,SCHAUER PHILIPPE,14/12/2013,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,SERRA BERNARD,26/09/2013,Hospitalité,€57,,
Bayer HealthCare SAS,Médecin,TORGUET DEZA JOSE LUIS,03/10/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Orthoptiste,GASSON GREGORY,13/12/2013,Hospitalité,"€1,232",,
Bayer HealthCare SAS,Orthoptiste,GASSON GREGORY,11/10/2013,Hospitalité,€150,,
Bayer HealthCare SAS,Orthoptiste,GASSON GREGORY,21/11/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Orthoptiste,GASSON GREGORY,27/06/2014,Hospitalité,€39,,
Bayer HealthCare SAS,Orthoptiste,GASSON GREGORY,10/05/2014,Hospitalité,€436,,
Bayer HealthCare SAS,Orthoptiste,GASSON GREGORY,14/12/2013,Hospitalité,€24,,
Bayer HealthCare SAS,Orthoptiste,GASSON GREGORY,03/10/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Orthoptiste,GIRAULT SANDRINE,03/10/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Orthoptiste,GRASSI AMELIE,03/10/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Orthoptiste,HENIA KARIM,10/05/2014,Hospitalité,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,AGUEDO MELANIE,10/04/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,AGUEDO MELANIE,04/07/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DUCOS FRANCOIS,04/07/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FALQUE LAURENT,25/06/2013,HOSPITALITE,€350,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEDUC XAVIER,10/04/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LEDUC XAVIER,04/07/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARCAILLOU LUC,31/01/2014,HOSPITALITE,€949,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARCAILLOU LUC,01/10/2013,HOSPITALITE,€25,,
BOEHRINGER INGELHEIM FRANCE,Médecin,NEUFFER HERMANN,04/07/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PELLET FRANCOIS,11/12/2013,HOSPITALITE,€35,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PELLET FRANCOIS,22/10/2013,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PELLET FRANCOIS,13/12/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROCCA PAUL HENRY,04/07/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROCCA PAUL HENRY,10/04/2014,HOSPITALITE,€23,,
BOIRON,Médecin,LASSALLE HAGET CHRISTINE,24/09/2013,[REPAS],€22,,
BOIRON,Médecin,LASSALLE HAGET CHRISTINE,29/04/2014,[REPAS],€13,,
BOIRON,Médecin,LASSALLE HAGET CHRISTINE,17/12/2013,[REPAS],€27,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARRIDO CLEMENTINE,10/04/2014,[AUTRE],€30,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARRIDO CLEMENTINE,10/04/2014,[AUTRE],€30,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARRIDO CLEMENTINE,13/11/2013,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARRIDO CLEMENTINE,10/04/2014,[AUTRE],€30,,
BRISTOL-MYERS SQUIBB,Médecin,AGUEDO MELANIE,11/03/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,AGUEDO MELANIE,13/03/2014,Repas,€37,,
BRISTOL-MYERS SQUIBB,Médecin,AGUEDO MELANIE,10/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,DUCOS FRANCOIS,13/03/2014,Repas,€37,,
BRISTOL-MYERS SQUIBB,Médecin,DUCOS FRANCOIS,11/03/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,DUCOS FRANCOIS,10/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,DUCOS FRANCOIS,30/01/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LEDUC XAVIER,30/01/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LEDUC XAVIER,10/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LEDUC XAVIER,13/03/2014,Repas,€37,,
BRISTOL-MYERS SQUIBB,Médecin,LEDUC XAVIER,11/03/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,LE HECHO JEAN RENE,04/04/2014,Repas,€45,,
BRISTOL-MYERS SQUIBB,Médecin,NEUFFER HERMANN,30/01/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,NEUFFER HERMANN,10/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,NEUFFER HERMANN,11/03/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,ROCCA PAUL HENRY,13/03/2014,Repas,€37,,
BRISTOL-MYERS SQUIBB,Médecin,ROCCA PAUL HENRY,10/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,ROCCA PAUL HENRY,30/01/2014,Repas,€43,,
Carl Zeiss Meditec France,Etablissement de santé,BORDEAUX VISION LASER,06/12/2013,REPAS,€22,,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,21/09/2013,HOSPITALITE,€460,,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,30/08/2013,REPAS,€27,,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,16/11/2013,HOSPITALITE,"€2,602",,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,05/10/2013,HOSPITALITE,"€1,066",,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,21/09/2013,HOSPITALITE,€460,,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,30/08/2013,REPAS,€27,,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,21/03/2014,REPAS,€20,,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,06/03/2014,REPAS,€39,,
Carl Zeiss Meditec France,Médecin,BOUCHUT PIERRE,21/03/2014,REPAS,€40,,
Carl Zeiss Meditec France,Médecin,BOUCHUT  PIERRE,07/06/2014,HOSPITALITE,"€1,044",,
Carl Zeiss Meditec France,Médecin,COMTE PASCAL,18/11/2013,REPAS,€33,,
Carl Zeiss Meditec France,Médecin,LEMOINE JEAN-JACQUES,10/05/2014,HOSPITALITE,€609,,
Carl Zeiss Meditec France,Médecin,SCHAUER PHILIPPE,10/05/2014,HOSPITALITE,€637,,
Carl Zeiss Meditec France,Orthoptiste,DONNIOT FABIEN,21/09/2013,HOSPITALITE,€180,,
Carl Zeiss Meditec France,Orthoptiste,GIRAULT SANDRINE,09/05/2014,HOSPITALITE,"€6,620",,
Carl Zeiss Meditec France,Orthoptiste,GIRAULT SOPHIE,21/09/2013,HOSPITALITE,€180,,
CENTRALE DES PEELINGS,Médecin,BOUSSAULT PIERRE,13/09/2013,cadeaux,€15,,
CENTRALE DES PEELINGS,Médecin,BOUSSAULT PIERRE,14/04/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,LAMBERT AUDREY,14/04/2014,cadeaux,€16,,
CENTRALE DES PEELINGS,Médecin,LAMBERT AUDREY,14/04/2014,cadeaux,€17,,
CHIESI SA,Médecin,BOISSERIE LACROIX VINCENT,21/10/2013,Repas,€10,,
CHIESI SA,Médecin,BOISSERIE LACROIX VINCENT,10/12/2013,Repas,€29,,
CHIESI SA,Médecin,BOISSERIE LACROIX VINCENT,15/12/2013,Repas,€53,,
CHIESI SA,Médecin,FALQUE LAURENT,21/10/2013,Repas,€10,,
CHIESI SA,Médecin,MARCAILLOU LUC,15/12/2013,Repas,€53,,
CHIESI SA,Médecin,MARCAILLOU LUC,21/10/2013,Repas,€10,,
CHIESI SA,Médecin,MARCAILLOU LUC,28/11/2013,Repas,€53,,
CHIESI SA,Médecin,PELLET FRANCOIS,15/12/2013,Repas,€53,,
CHIESI SA,Médecin,PELLET FRANCOIS,21/10/2013,Repas,€10,,
colgate palmolive,Chirurgien-dentiste,JOUSSET GABAIN CATHERINE,15/04/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,KREMER ALEXANE,15/04/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,MORVAN BOUTHIER ANNE,15/04/2014,Dons de materiel,€16,,
CONGRES COLLOQUES CONVENTIONS,Médecin,PERREIN JEAN BERNARD,15/03/2014,REPAS,€40,,
COSMETIQUE ACTIVE FRANCE,Etudiant,LABUSSIERE MATHIEU,23/01/2014,REPAS,€31,,
COSMETIQUE ACTIVE FRANCE,Etudiant,LABUSSIERE MATHIEU,10/03/2014,REPAS,€31,,
COSMETIQUE ACTIVE FRANCE,Etudiant,THURIN NICOLAS,23/01/2014,REPAS,€31,,
COSMETIQUE ACTIVE FRANCE,Etudiant,THURIN NICOLAS,28/04/2014,REPAS,€28,,
COSMETIQUE ACTIVE FRANCE,Etudiant,THURIN NICOLAS,08/04/2014,REPAS,€28,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BOULAY CORALIE,28/04/2014,REPAS,€28,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BOULAY CORALIE,08/04/2014,REPAS,€28,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BOULAY CORALIE,23/01/2014,REPAS,€31,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,BOULLAY CORALIE,03/02/2014,REPAS,€24,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,WAWRZYNIAK LÉA,23/01/2014,REPAS,€31,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,WAWRZYNIAK LÉA,28/04/2014,REPAS,€28,,
CROMA,Infirmier,Perez Sylvie,23/12/2013,Restauration,€37,,
CROMA,Médecin,Cayla Pierre,06/03/2014,Déplacement,€458,,
CROMA,Médecin,Trouiller Franck-Emmanuel,06/03/2014,Déplacement,€458,,
DAIICHI SANKYO FRANCE SAS,Médecin,KASMI KARIM,17/01/2014,Repas,€12,,
DAIICHI SANKYO FRANCE SAS,Médecin,KASMI KARIM,04/10/2013,Repas,€10,,
DAIICHI SANKYO FRANCE SAS,Médecin,NADAL FRANCOIS,12/12/2013,Repas,€23,,
DAIICHI SANKYO FRANCE SAS,Médecin,NADAL FRANCOIS,14/09/2013,Repas,€28,,
DAIICHI SANKYO FRANCE SAS,Médecin,PEYROU JEROME,04/09/2013,Transport,€601,,
DAIICHI SANKYO FRANCE SAS,Médecin,PEYROU JEROME,14/09/2013,Repas,€28,,
DAIICHI SANKYO FRANCE SAS,Médecin,PEYROU JEROME,04/09/2013,Hospitalité,€690,,
DAIICHI SANKYO FRANCE SAS,Médecin,PEYROU JEROME,04/09/2013,Autre : [inscription],€600,,
DAIICHI SANKYO FRANCE SAS,Médecin,PEYROU JEROME,16/06/2014,Repas,€242,,
DAIICHI SANKYO FRANCE SAS,Médecin,THEVENOT AGATHE,13/05/2014,Repas,€45,,
DINNO SANTE,Médecin,COPPIN MURIELLE,11/03/2014,Inscription,€310,,
DINNO SANTE,Médecin,COPPIN MURIELLE,11/03/2014,Hébergement,€410,,
DINNO SANTE,Médecin,COPPIN MURIELLE,11/03/2014,Transport,€144,,
EFFIK,Médecin,LEVESQUE MARTIN GENEVIEVE,08/04/2014,REPAS,€57,,
ETHICON,Médecin,LASSALE CHRISTINE,28/09/2013,REPAS,€60,,
ETHICON,Médecin,LEONARD OLIVIER,20/09/2013,REPAS,€232,,
ETHICON,Médecin,LEONARD OLIVIER,20/09/2013,TRANSPORT,€291,,
GaldermaQMed,Médecin,FERRON ABRAHAM,31/01/2014,Repas,€19,,
GaldermaQMed,Médecin,FERRON ABRAHAM,30/05/2014,Transport,€315,,
GaldermaQMed,Médecin,FERRON ABRAHAM,31/01/2014,Hospitalité,€960,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,BONNEFOI ANOUCH,05/06/2014,REPAS,€55,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,LEVESQUE MARTIN GENEVIEVE,05/06/2014,REPAS,€55,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,RAINAUD SIMON SOPHIE,05/06/2014,REPAS,€55,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,RAINAUD SIMON SOPHIE,30/01/2014,REPAS,€53,,
GUERBET France,Etablissement de santé,IMAGERIE MEDICALE,02/09/2013,AUTRE: OUVRAGE,€339,,
GUERBET France,Médecin,ROMBERG PATRICK,25/10/2013,REPAS,€20,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,CANET CHRISTINE,05/12/2013,REPAS,€45,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,MORATI CELINE,07/12/2013,REPAS,€35,,
horus pharma,Médecin,BOUCHUT P. Pierre,09/04/2014,Repas,€55,,
horus pharma,Médecin,BOUCHUT P. Pierre,09/10/2013,Repas,€54,,
horus pharma,Médecin,BOUVHUT PIERRE,19/06/2014,Repas,€55,,
