AbbVie,Médecin,HOULZET GUY,17/06/2014,REPAS,€17,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,TRANSPORT,€12,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,REPAS REUNION,€60,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,06/11/2013,TRANSPORT,€12,,
AMGEN SAS,Médecin,IBOUANGA FLORENT,07/06/2013,HEBERGEMENT,€200,,
AMGEN SAS,Médecin,MONNOT HENRY,17/10/2013,REPAS IMPROMPTU,€25,,
AMGEN SAS,Médecin,MONNOT HENRY,12/12/2013,REPAS IMPROMPTU,€21,,
AMGEN SAS,Médecin,MONTREUIL GHISLAIN,11/07/2013,REPAS IMPROMPTU,€42,,
AMGEN SAS,Médecin,RICHARD PHILIPPE,12/12/2013,REPAS IMPROMPTU,€21,,
AMGEN SAS,Pharmacien,FLANDRIN LAURENCE,21/11/2013,TRANSPORT,€87,,
AMGEN SAS,Pharmacien,FLANDRIN LAURENCE,21/11/2013,TRANSPORT,€18,,
AMGEN SAS,Pharmacien,FLANDRIN LAURENCE,21/11/2013,REPAS REUNION,€50,,
AMGEN SAS,Pharmacien,FLANDRIN LAURENCE,21/11/2013,REPAS REUNION,€61,,
AMGEN SAS,Pharmacien,FLANDRIN LAURENCE,22/11/2013,REPAS REUNION,€50,,
APTALIS PHARMA SAS,Médecin,AL GHOSSAINI NAJIB,10/12/2013,FRAIS D'HOSPITALITÉ,€50,,
APTALIS PHARMA SAS,Médecin,CACCIAPALLE FLAVIEN,10/12/2013,FRAIS D'HOSPITALITÉ,€50,,
APTALIS PHARMA SAS,Médecin,IBOUANGA FLORENT,10/12/2013,FRAIS D'HOSPITALITÉ,€50,,
ARCHIMEDES PHARMA France,Médecin,DEKLUNDER PIERRE_YVES,13/03/2014,Repas,€26,,
ASPEN FRANCE,Médecin,BARA Jean-Christophe,20/02/2014,Repas,€30,,
ASTELLAS PHARMA,Médecin,MONNOT HENRY,27/02/2014,REPAS,€21,,
ASTRAZENECA,Aide soignant,ALEXANDRE MARTINE,22/11/2013,Repas,€20,,
ASTRAZENECA,Aide soignant,DUPONT ISABELLE,22/11/2013,Repas,€20,,
ASTRAZENECA,Etudiant,BURY ALEXANDRA,17/12/2013,Repas,€43,,
ASTRAZENECA,Etudiant,VANLERBERGHE RUDY,05/06/2014,Repas,€29,,
ASTRAZENECA,Infirmier,ARQUISCH NATHALIE,22/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,BIET LUCIE,22/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,CAUX AURORE,22/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,DUMARQUEZ CINDY,22/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,FOULON LUDIVINE,12/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,HEMBERT AURELIE,22/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,HOCHART LUCIE,12/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,RUCKEBUSCH VERONIQUE,22/11/2013,Repas,€20,,
ASTRAZENECA,Infirmier,SOULIERE SYLVIANE,12/12/2013,Repas,€20,,
ASTRAZENECA,Infirmier,THOREL VALERIE,12/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,BERTELOOT CAROLINE,12/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,BOUAZIZ SAMIRA,22/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,DACQUIGNY BAUDE LAETITIA,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,DACQUIGNY BAUDE LAETITIA,17/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,DEKLUNDER PIERRE YVES,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEKLUNDER PIERRE YVES,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEKLUNDER PIERRE YVES,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELOT JEAN FRANCOIS,17/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DERVITE VAUSSOUE FREDERIQUE,17/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DUFOUR ALAIN,12/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,GALLAND CLAUDE,22/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,GRAFF DRUANT CAROLINE,30/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,GROS HELENE,12/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,HOUSSIN ROMUALD,12/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,KARIMO AMER,06/12/2013,Hébergement,€185,,
ASTRAZENECA,Médecin,KARIMO AMER,06/12/2013,Repas,€60,,
ASTRAZENECA,Médecin,KARIMO AMER,07/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,KARIMO AMER,06/12/2013,Transport,€67,,
ASTRAZENECA,Médecin,KARIMO AMER,12/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,KARIMO AMER,06/12/2013,Transport,€53,,
ASTRAZENECA,Médecin,KARIMO AMER,07/12/2013,Transport,€65,,
ASTRAZENECA,Médecin,KHODR ZIAD,12/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,KHODR ZIAD,22/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,KHODR ZIAD,17/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,LEROY MARTINE,17/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MALEFOU BOLONGO MIREILLE,17/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,MALEFOU BOLONGO MIREILLE,22/11/2013,Repas,€20,,
ASTRAZENECA,Médecin,MALLEK NIZAR,17/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,MANIEZ YVES,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,17/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,MONNOT HENRY,30/01/2014,Repas,€20,,
ASTRAZENECA,Médecin,NOISETTE LOUIS,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,OLARIU STEFANIA,06/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROCHE MAQUET VIRGINIE,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,ROCHE MAQUET VIRGINIE,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SCHIETTECATTE JEAN,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SEMENOU DODJI,04/04/2014,Repas,€25,,
ASTRAZENECA,Médecin,TANNOUS CHARBEL,12/12/2013,Repas,€20,,
ASTRAZENECA,Médecin,VAN HOUCKE GERARD,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,VAN HOUCKE GERARD,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,VAN HOUCKE GERARD,27/03/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,MERLIN JEAN FRANCOIS,18/03/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,BARA JEAN CHRISTOPHE,11/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,DACQUIGNY BAUDE LAETITIA,05/12/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,DACQUIGNY BAUDE LAETITIA,17/10/2013,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,HUYART DOMINIQUE,17/10/2013,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,KARIMO AMER,11/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LEBON CAROLINE,09/10/2013,Hospitalité,€29,,
Bayer HealthCare SAS,Médecin,LESCANNE DOMINIQUE,06/02/2014,Hospitalité,€12,,
Bayer HealthCare SAS,Médecin,MALLEK NIZAR,17/10/2013,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,17/10/2013,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,M BAREK MAJID,09/10/2013,Hospitalité,€14,,
Bayer HealthCare SAS,Médecin,MUSSCHOOT AURELIE,17/10/2013,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,TALLA CLEMENCE,17/10/2013,Hospitalité,€24,,
Bayer HealthCare SAS,Médecin,TCHATCHOUA NJIKI DIEUDONNE,11/06/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Sage-femme,PARCOIT CELINE,09/10/2013,Hospitalité,€14,,
BOEHRINGER INGELHEIM FRANCE,Infirmier,BRIOT VIRGINIE,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Infirmier,DECLERCK SYLVIE,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BERTELOOT CAROLINE,01/10/2013,HOSPITALITE,€25,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DACQUIGNY BAUDE LAETITIA,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GUETTARI RABBAH,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GUETTARI RABBAH,08/10/2013,HOSPITALITE,€30,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HUYART DOMINIQUE,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALEFOU BOLONGO MIREILLE,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALLEK NIZAR,13/02/2014,HOSPITALITE,€31,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALLEK NIZAR,08/10/2013,HOSPITALITE,€30,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MALLEK NIZAR,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MANIEZ YVES,03/10/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SAADOUNI ASSAN,03/10/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TALLA CLEMENCE,21/11/2013,HOSPITALITE,€20,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TALLA CLEMENCE,18/09/2013,HOSPITALITE,€25,,
BOEHRINGER INGELHEIM FRANCE,Médecin,TCHATCHOUA NJIKI DIEUDONNE,13/02/2014,HOSPITALITE,€31,,
BOEHRINGER INGELHEIM FRANCE,Médecin,VANLERBERGHE RUDY,01/10/2013,HOSPITALITE,€25,,
BRISTOL-MYERS SQUIBB,Médecin,DESREUMAUX THOMAS,07/04/2014,Repas,€23,,
BRISTOL-MYERS SQUIBB,Médecin,HERLEM MUSSCHOOT AURELIE,07/04/2014,Repas,€23,,
BRISTOL-MYERS SQUIBB,Médecin,HERLEM MUSSCHOOT AURELIE,15/01/2014,Hébergement,€720,,
BRISTOL-MYERS SQUIBB,Médecin,HERLEM MUSSCHOOT AURELIE,15/01/2014,Hospitalité,€373,,
BRISTOL-MYERS SQUIBB,Médecin,HERLEM MUSSCHOOT AURELIE,15/01/2014,Transport,€69,,
BRISTOL-MYERS SQUIBB,Médecin,MALEFOU BOLONGO MIREILLE,06/03/2014,Repas,€22,,
BRISTOL-MYERS SQUIBB,Médecin,MALEFOU BOLONGO MIREILLE,15/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,MALLEK NIZAR,07/04/2014,Repas,€23,,
BRISTOL-MYERS SQUIBB,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,07/04/2014,Repas,€23,,
BRISTOL-MYERS SQUIBB,Médecin,TALLA CLEMENCE,07/04/2014,Repas,€23,,
BRISTOL-MYERS SQUIBB,Médecin,TALLA CLEMENCE,15/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,TCHATCHOUA NJIKI DIEUDONNE,15/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,TCHATCHOUA NJIKI DIEUDONNE,07/04/2014,Repas,€23,,
BRISTOL-MYERS SQUIBB,Pharmacien,TELLIEZ PHILIPPE,03/04/2014,Repas,€39,,
CHUGAI PHARMA FRANCE,Infirmier,BEAUCHAMP MYRIAM,13/03/2014,REPAS,€17,,
CHUGAI PHARMA FRANCE,Infirmier,BERNARD MARIE PIERRE,13/03/2014,REPAS,€17,,
CHUGAI PHARMA FRANCE,Médecin,MONNOT HENRY,13/03/2014,REPAS,€17,,
CHUGAI PHARMA FRANCE,Médecin,RICHARD PHILIPPE,13/03/2014,REPAS,€17,,
CHUGAI PHARMA FRANCE,Pharmacien,FLANDRIN LAURENCE,13/03/2014,REPAS,€17,,
DAIICHI SANKYO FRANCE SAS,Médecin,MALEFOU BOLONGO MIREILLE,28/06/2014,Repas,€24,,
DAIICHI SANKYO FRANCE SAS,Médecin,PEYROT SANDRINE,26/05/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,PEYROT SANDRINE,07/04/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROCHE MAQUET VIRGINIE,17/01/2014,Repas,€28,,
DAIICHI SANKYO FRANCE SAS,Médecin,VAN HOUCKE GERARD,17/01/2014,Repas,€28,,
ETHICON,Médecin,AISSAOUI FETH ALLAH,05/12/2013,HEBERGEMENT,€234,,
FERRING SAS,Médecin,WEIZMANN PADOVANI SANDRA,14/05/2014,Repas,€21,,
Fresenius Medical Care France S.A.S.,Infirmier,LECAT VERONIQUE,07/02/2014,REPAS,€106,,
Fresenius Medical Care France S.A.S.,Infirmier,LECAT VERONIQUE,07/02/2014,HEBERGEMENT,€116,,
Fresenius Medical Care France S.A.S.,Infirmier,MORETTE ISABELLE,24/09/2013,HEBERGEMENT,€107,,
Fresenius Medical Care France S.A.S.,Infirmier,MORETTE ISABELLE,24/09/2013,TRANSPORT,€196,,
Fresenius Medical Care France S.A.S.,Infirmier,MORETTE ISABELLE,24/09/2013,REPAS,€55,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,24/09/2013,HEBERGEMENT,€107,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,07/02/2014,HEBERGEMENT,€116,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,07/02/2014,REPAS,€106,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,03/06/2014,REPAS,€97,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,03/06/2014,HEBERGEMENT,€116,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,03/06/2014,TRANSPORT,€20,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,30/06/2014,REPAS,€28,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,26/06/2014,REPAS,€32,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,24/09/2013,REPAS,€55,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE LAURE,24/09/2013,TRANSPORT,€196,,
Fresenius Medical Care France S.A.S.,Infirmier,PLANCHEZ MARIE-LAURE,16/01/2014,REPAS,€31,,
Fresenius Medical Care France S.A.S.,Médecin,MESSIER GILLES,13/11/2013,REPAS,€33,,
Fresenius Medical Care France S.A.S.,Médecin,MESSIER GILLES,28/11/2013,REPAS,€47,,
Fresenius Medical Care France S.A.S.,Pharmacien,CHEVALIER HORTENSE,18/12/2013,TRANSPORT,€262,,
Fresenius Medical Care France S.A.S.,Pharmacien,CHEVALIER HORTENSE,18/12/2013,HEBERGEMENT,€120,,
Fresenius Medical Care France S.A.S.,Pharmacien,CHEVALIER HORTENSE,18/12/2013,REPAS,€83,,
Fresenius Medical Care France S.A.S.,Pharmacien,CHEVALIER HORTENSE,28/11/2013,REPAS,€47,,
Genzyme,Etudiant,MOREL CELINE,17/02/2014,Repas,€16,,
Genzyme,Médecin,HERLEM MUSSCHOOT AURELIE,17/02/2014,Repas,€16,,
Genzyme,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,17/02/2014,Repas,€16,,
Genzyme,Médecin,MESSIER GILLES,18/10/2013,"Hébergement, restauration, transport",€18,,
Genzyme,Médecin,TALLA CLEMENCE,17/02/2014,Repas,€16,,
GILEAD SCIENCES,Médecin,AL GHOSSAINI NAJIB,30/01/2014,REPAS,€47,,
GILEAD SCIENCES,Médecin,LEROY DOUCY MARYVONNE,13/05/2014,REPAS,€40,,
GUERBET France,Médecin,COUDERT GUILLAUME,30/09/2013,HEBERGEMENT,€645,,
ICOMED,Chirurgien-dentiste,MORONVALLE BENOIT,23/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,AISSAOUI FETH ALLAH,11/07/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,CHIOSSONI CARINA,29/04/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,COLIN FRANCOIS,17/06/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,DACQUIGNY BAUDE LAETITIA,24/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,DACQUIGNY BAUDE LAETITIA,26/06/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,D HOINE PATRICK,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GALLAND CLAUDE,12/03/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,GALLAND CLAUDE,13/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,GUETTARI RABBAH,23/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GUETTARI RABBAH,23/06/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,GUILLON BERNARD,17/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,GUILLON BERNARD,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HEDOUIN MARTINE,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,HEDOUIN MARTINE,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,HERLEM MUSSCHOOT AURELIE,31/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,HERLEM MUSSCHOOT AURELIE,13/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,KARIMO AMER,27/09/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,31/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,MARTIN BOUYER FOSTIER VERONIQUE,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,M BAREK MAJID,27/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,M BAREK MAJID,09/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,MENAIS MARTINE,01/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MENAIS MARTINE,06/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,MONTREUIL GHISLAIN,24/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,MONTREUIL GHISLAIN,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,NOTTEAU CHRISTIAN,03/02/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,NOTTEAU CHRISTIAN,11/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PETIT ALAIN,07/03/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,PETIT ALAIN,13/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,RIBEIRO CHRISTOPHE,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,SAADOUNI ASSAN,27/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SEKET BELHASSEN,05/07/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VAN HOUCKE GERARD,03/02/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,VAN HOUCKE GERARD,12/03/2013,Autre: [Enquête],€25,,
InterMune France SAS,Médecin,KARIMO AMER,20/09/2013,REPAS,€72,,
JANSSEN-CILAG,Infirmier,BEAUCHAMP MYRIAM,20/05/2014,REPAS,€23,,
JANSSEN-CILAG,Infirmier,BEAUCHAMP MYRIAM,18/10/2013,REPAS,€28,,
JANSSEN-CILAG,Infirmier,HIOT LEONIE,18/10/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,AL GHOSSAINI NAJIB,20/05/2014,REPAS,€23,,
JANSSEN-CILAG,Médecin,AL GHOSSAINI NAJIB,22/11/2013,TRANSPORT,€90,,
JANSSEN-CILAG,Médecin,AL GHOSSAINI NAJIB,22/11/2013,REPAS,€78,,
JANSSEN-CILAG,Médecin,AL GHOSSAINI NAJIB,22/11/2013,HEBERGEMENT,€189,,
JANSSEN-CILAG,Médecin,AL GHOSSAINI NAJIB,06/12/2013,AUTRE : REMBOURSEMENT DE FRAIS,€40,,
JANSSEN-CILAG,Médecin,BEMBA MAXIME,17/01/2013,REPAS,€37,,
JANSSEN-CILAG,Médecin,BEMBA MAXIME,20/06/2013,REPAS,€43,,
JANSSEN-CILAG,Médecin,BEMBA MAXIME,10/10/2013,REPAS,€42,,
JANSSEN-CILAG,Médecin,BEMBA MAXIME,16/01/2014,REPAS,€59,,
JANSSEN-CILAG,Médecin,CAPELLE MONNOT CLAIRE,20/05/2014,REPAS,€23,,
JANSSEN-CILAG,Médecin,CHALTIN MARIE,23/04/2013,REPAS,€39,,
JANSSEN-CILAG,Médecin,CHALTIN MARIE,27/08/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,CHALTIN MARIE,18/06/2013,REPAS,€24,,
JANSSEN-CILAG,Médecin,CHALTIN MARIE,07/01/2014,REPAS,€25,,
JANSSEN-CILAG,Médecin,CHALTIN MARIE,20/05/2014,REPAS,€23,,
JANSSEN-CILAG,Médecin,CHALTIN MARIE,26/02/2013,REPAS,€39,,
JANSSEN-CILAG,Médecin,GRAFF DRUANT CAROLINE,10/10/2013,REPAS,€42,,
JANSSEN-CILAG,Médecin,GRAFF DRUANT CAROLINE,20/05/2014,REPAS,€23,,
JANSSEN-CILAG,Médecin,HOHNADEL FRANCOISE,12/12/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,HOHNADEL FRANCOISE,17/06/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,HOHNADEL FRANCOISE,21/01/2013,REPAS,€33,,
JANSSEN-CILAG,Médecin,IBOUANGA FLORENT,16/01/2014,REPAS,€59,,
JANSSEN-CILAG,Médecin,IBOUANGA FLORENT,10/10/2013,REPAS,€42,,
JANSSEN-CILAG,Médecin,IBOUANGA FLORENT,20/06/2013,REPAS,€43,,
JANSSEN-CILAG,Médecin,IBOUANGA FLORENT,17/01/2013,REPAS,€37,,
JANSSEN-CILAG,Médecin,LEURENT BRUNO,20/05/2014,REPAS,€23,,
JANSSEN-CILAG,Médecin,MONNOT HENRY,20/05/2014,REPAS,€23,,
JANSSEN-CILAG,Médecin,MONTREUIL GHISLAIN,10/10/2013,REPAS,€42,,
JANSSEN-CILAG,Médecin,MONTREUIL GHISLAIN,20/06/2013,REPAS,€43,,
JANSSEN-CILAG,Médecin,NKANA TEMATIO DAVID HERVE,20/05/2014,REPAS,€23,,
JANSSEN-CILAG,Médecin,SEKET BELHASSEN,20/05/2014,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARA JEAN CHRISTOPHE,05/06/2012,Hospitalité,€41,,
