ABBOTT FRANCE,Pharmacien,BOZEC VANESSA,11/02/2014,REPAS,€39,,
LES LABORATOIRES SERVIER,Médecin,JULLIAN - SICARD LORRAINE,04/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,OLLIVIER SYLVIE,04/09/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,OLLIVIER SYLVIE,04/02/2014,Repas,€55,,
MSD France,Médecin,KAPLAN MICHEL,31/05/2012,HOSPITALITE,€53,,
MSD France,Médecin,LECA SYLVIE,03/04/2014,REPAS,€55,,
MSD France,Médecin,LECA SYLVIE,03/04/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,GENOUD DOMINIQUE,02/07/2013,HOSPITALITE,€53,,
NOVARTIS PHARMA SAS,Médecin,AMATE ALICE,05/06/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,BAUDIN VIRGINIE,23/01/2014,Transport,€790,,
NOVARTIS PHARMA SAS,Médecin,BAUDIN VIRGINIE,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,BAUDIN VIRGINIE,23/01/2014,Hébergement,€352,,
NOVARTIS PHARMA SAS,Médecin,LECA SYLVIE,18/07/2013,Repas,€55,,
NOVARTIS PHARMA SAS,Médecin,LECA SYLVIE,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LECA SYLVIE,14/02/2014,Repas,€42,,
NOVARTIS PHARMA SAS,Médecin,LECA SYLVIE,06/05/2014,Repas,€55,,
NOVARTIS PHARMA SAS,Médecin,NOBLET DANIEL,25/03/2014,Autre : [Participation Evenement Scientifique],€30,,
NOVARTIS PHARMA SAS,Médecin,VEZON THIERRY,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
OCP REPARTITION,Pharmacien,LAURES PAULINE,12/12/2013,REPAS,€60,,
PIERRE FABRE MEDICAMENT,Médecin,KAPLAN MICHEL,16/05/2013,Restauration,€68,,
PIERRE FABRE MEDICAMENT,Médecin,OLLIVIER SYLVIE,26/11/2013,RESTAURATION,€27,,
PIERRE FABRE MEDICAMENT,Médecin,OLLIVIER SYLVIE,06/03/2012,Restauration,€20,,
PIERRE FABRE MEDICAMENT,Médecin,OLLIVIER SYLVIE,24/06/2014,RESTAURATION,€17,,
RESEARCH NOW SAS,Médecin,soualah arezki,06/10/2013,enquête,€19,,
SANDOZ,Pharmacien,MIALHE CLAIRE,04/03/2014,REPAS,€33,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BLANC CATHERINE,04/03/2014,REPAS,€33,,
TEVA SANTE SAS,Médecin,OLLIVIER SYLVIE,03/12/2013,REPAS,€43,,
TEVA SANTE SAS,Médecin,OLLIVIER SYLVIE,10/12/2013,REPAS,€27,,
TEVA SANTE SAS,Médecin,SANTAMARIA ANDREA,10/12/2013,REPAS,€27,,
