APTALIS PHARMA SAS,Médecin,MALARBET PIERRE,17/09/2013,FRAIS D'HOSPITALITÉ,€60,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SARRAZIN NATHALIE,19/11/2013,[REPAS],€18,,
BOIRON,Sage-femme,BENOIT MYRIAM,17/02/2014,[REPAS],€34,,
BOIRON,Sage-femme,BENOIT MYRIAM,24/10/2013,[REPAS],€40,,
BOIRON,Sage-femme,PEREIRA MARIE CHRISTINE,26/11/2013,[REPAS],€39,,
BOIRON,Sage-femme,PEREIRA MARIE CHRISTINE,24/10/2013,[REPAS],€40,,
BOIRON,Sage-femme,PEREIRA MARIE CHRISTINE,17/02/2014,[REPAS],€34,,
BRISTOL-MYERS SQUIBB,Pharmacien,WEISS JEAN PHILIPPE,15/05/2014,Repas,€60,,
Essilor,Opticien-lunetier,Bouchet Christophe,18/07/2013,Invitation à déjeuner / dîner,€19,,
Essilor,Opticien-lunetier,Bouchet Isabelle,19/09/2013,Invitation à déjeuner / dîner,€20,,
Essilor,Opticien-lunetier,Coctin Chloe,18/07/2013,Invitation à déjeuner / dîner,€19,,
Essilor,Opticien-lunetier,Gonnot Aurelien,19/09/2013,Invitation à déjeuner / dîner,€20,,
Essilor,Opticien-lunetier,Mr wolff Bastien,13/06/2013,Invitation a dejeuner ou diner,€20,,
Essilor,Opticien-lunetier,Roca Beranger,18/07/2013,Invitation à déjeuner / dîner,€19,,
Essilor,Opticien-lunetier,Roca Berenger,19/09/2013,Invitation à déjeuner / dîner,€20,,
Essilor,Opticien-lunetier,WOLF MR,31/12/2013,Cadeau,€37,,
Essilor,Opticien-lunetier,Wolff Anne,13/06/2013,Invitation a dejeuner ou diner,€20,,
Essilor,Opticien-lunetier,Wolff Bastien,18/07/2013,Invitation à déjeuner / dîner,€19,,
Essilor,Opticien-lunetier,Wolff Bastien,11/04/2013,Invitation a dejeuner ou diner,€80,,
Essilor,Opticien-lunetier,Yin-ladruze Chandavy,19/09/2013,Invitation à déjeuner / dîner,€20,,
Essilor,Opticien-lunetier,Yin landruze Chandavy,18/07/2013,Invitation à déjeuner / dîner,€19,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,LUCIANI DENIS SCM,13/12/2013,REPAS,€75,,
ICOMED,Médecin,GUERINEL PARANT SANDRINE,09/05/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,LUCIANI SYLVESTRE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MALARBET PIERRE,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MALARBET PIERRE,05/02/2014,Autre: [Enquête],€25,,
Laboratoires Grünenthal SAS,Médecin,MALARBET PIERRE,15/10/2013,REPAS,€55,,
LES LABORATOIRES SERVIER,Médecin,MALARBET PIERRE,27/03/2014,Repas,€60,,
LINDE FRANCE,Pharmacien,KROELY BENOIT,09/09/2013,REPAS,€30,,
LUNDBECK SAS,Médecin,MALARBET PIERRE,28/01/2014,AUTRE : FRAIS DE RESTAURATION / RP,€60,,
MSD France,Médecin,AUBRY CATHERINE,19/10/2012,REPAS,€21,,
MSD France,Médecin,MARTIN BASS CHRISTINE,14/06/2012,HOSPITALITE,€60,,
MYLAN SAS,Pharmacien,BERTHILLIER THIERRY,21/02/2014,REPAS,€50,,
MYLAN SAS,Pharmacien,VARNIER PATRICK,21/02/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERNIN EVELYNE,21/02/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GAUTHIER AURELIE,21/02/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEVEQUE YVETTE,21/02/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,REBOUX ELODIE,21/02/2014,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SARRAZIN NATHALIE,21/02/2014,REPAS,€50,,
Orphan Europe,Médecin,JACQUEMIN Monique,11/06/2013,REPAS,€18,,
PHONAK FRANCE,Audioprothésiste,MOKTAR MOKTAR,07/11/2013,REPAS,€16,,
PIERRE FABRE MEDICAMENT,Pharmacien,VARNIER PATRICK,27/11/2012,Restauration,€41,,
ProStrakan Pharma,Infirmier,LAGRANGE CORALIE,24/03/2014,Repas,€22,,
SANOFI AVENTIS FRANCE,Médecin,SABATIER DOMINIQUE,10/09/2013,Restauration,€36,,
SANOFI AVENTIS FRANCE,Médecin,SPORTES BERNARD,10/09/2013,Restauration,€36,,
THERABEL LUCIEN PHARMA,Médecin,SABATIER DOMINIQUE,10/07/2013,REPAS,€15,,
