3M France,Chirurgien-dentiste,BAILLY THOMAS,29/10/2013,REPAS,€47,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELATTRE CELINE,01/10/2013,Repas,€10,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HABIJAN ALINE,01/10/2013,Repas,€10,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LIORET MARLENE,01/10/2013,Repas,€10,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RAYNAUD SANDRINE,01/10/2013,Repas,€10,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VIOLETTE FABIENNE,01/10/2013,Repas,€10,,
Agfa HealthCare France SA,Infirmier,GOIMBAULT CHANTAL,27/03/2014,HOSPITALITE,€53,,
Agfa HealthCare France SA,Médecin,PICHON JEAN PIERRE,27/03/2014,HOSPITALITE,€53,,
ALK-Abelló,Association professionnel de santé,APAMEHM,08/02/2012,AUTRE : [DON],€400,,
ALK-Abelló,Médecin,BENAICHA TAYEB,20/06/2013,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,DUPRE JEAN MICHEL,12/06/2012,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,DUPRE JEAN MICHEL,20/06/2013,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,GRUSS RICHARD,13/03/2014,Autre : [Restauration],€55,,
ALK-Abelló,Médecin,GRUSS RICHARD,20/06/2013,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,GRUSS RICHARD,14/11/2012,HEBERGEMENT,€400,,
ALK-Abelló,Médecin,GRUSS RICHARD,12/06/2012,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,GRUSS RICHARD,15/11/2012,AUTRE : [RESTAURATION],€38,,
ALK-Abelló,Médecin,GRUSS RICHARD,14/11/2012,TRANSPORT,€113,,
ALK-Abelló,Médecin,GRUSS RICHARD,12/06/2012,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,KAPEK BEATRICE,12/06/2012,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,LEHNERT AGNES,20/06/2013,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,PERRIN FRANCOIS,12/06/2012,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,PINSON MICHEL,20/06/2013,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,SANNIER NATHALIE,20/06/2013,AUTRE : [RESTAURATION],€58,,
ALK-Abelló,Médecin,SANNIER NATHALIE,12/06/2012,AUTRE : [RESTAURATION],€58,,
ALLERGAN FRANCE,Médecin,BOUSTANI ROLAND,14/04/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CHAPUS JEAN,31/05/2014,TRANSPORT,€566,,
ALLERGAN FRANCE,Médecin,CHAPUS JEAN,26/05/2014,HOSPITALITE,€560,,
ALLERGAN FRANCE,Médecin,CHAPUS JEAN,26/05/2014,AUTRE-INSCRIPTION,€760,,
ALLERGAN FRANCE,Médecin,CHAUVIN PHILIPPE,19/12/2013,AUTRE,€500,,
ALLERGAN FRANCE,Médecin,CHEVREAUD LIONEL,26/09/2013,REPAS,€15,,
ALLERGAN FRANCE,Médecin,CHEVREAUD LIONEL,03/10/2013,REPAS,€12,,
ALLERGAN FRANCE,Médecin,OUBRAHAM MEBROUKINE HASSIBA,15/11/2013,REPAS,€41,,
ALLERGAN FRANCE,Médecin,OUBRAHAM MEBROUKINE HASSIBA,27/09/2013,REPAS,€53,,
ALLERGAN FRANCE,Médecin,OUBRAHAM-MEBROUKINE HASSIBA,25/03/2014,REPAS,€39,,
ALLERGAN FRANCE,Médecin,OUBRAHAM-MEBROUKINE HASSIBA,14/04/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,ROSCA ONITU,13/06/2014,HEBERGEMENT,€172,,
ALLERGAN FRANCE,Médecin,ROSCA ONITU,11/06/2014,REPAS,€11,,
ALLERGAN FRANCE,Médecin,ROSCA ONITU,11/06/2014,REPAS,€11,,
ALLERGAN FRANCE,Médecin,SALAMON MAROUN,19/03/2014,AUTRE-INSCRIPTION,€320,,
AMGEN SAS,Médecin,TISSIER EMMANUEL,28/01/2014,REPAS IMPROMPTU,€14,,
Amplifon Groupe France,Médecin,BENDIMERED Hassiba,16/11/2013,Repas,€60,,
APTALIS PHARMA SAS,Infirmier,GOUX EMILIE,02/07/2013,FRAIS D'HOSPITALITÉ,€16,,
APTALIS PHARMA SAS,Infirmier,PROVOST RACHEL,02/07/2013,FRAIS D'HOSPITALITÉ,€16,,
APTALIS PHARMA SAS,Médecin,AGOUTE ERIC,02/07/2013,FRAIS D'HOSPITALITÉ,€16,,
APTALIS PHARMA SAS,Médecin,AZIZ JOUAN,02/07/2013,FRAIS D'HOSPITALITÉ,€16,,
APTALIS PHARMA SAS,Médecin,EL BRAKS ROLAND,21/03/2013,FRAIS D'HOSPITALITÉ,€597,,
APTALIS PHARMA SAS,Médecin,EL BRAKS ROLAND,02/07/2013,FRAIS D'HOSPITALITÉ,€16,,
APTALIS PHARMA SAS,Médecin,EL BRAKS ROLAND,30/05/2013,AUTRES,€185,,
APTALIS PHARMA SAS,Médecin,EL BRAKS ROLAND,21/03/2013,INSCRIPTIONS,€460,,
ARAIR Assistance,Association professionnel de santé,Les grenouilles gatinaises,30/05/2013,Dons de fonctionnement,"€1,000",,
ARAIR Assistance,Association professionnel de santé,Les grenouilles gatinaises,18/01/2012,Dons de fonctionnement,"€1,000",,
ARAIR Assistance,Diététicien,Brunaud Marie,30/05/2013,Hébergement Transport Inscription,€883,,
ARAIR Assistance,Médecin,Lemesle Frédéric,22/11/2012,Hébergement Inscription et formation SFRMS,"€1,199",,
ARCHIMEDES PHARMA France,Association professionnel de santé,ASSOCIATION MARIE CURIE DE CANCÉROLOGIE DE MONTARGIS,05/06/2014,Dons de fonctionnement,"€1,500",,
ARCHIMEDES PHARMA France,Etudiant,ZAIM ZAHIA,16/10/2013,Repas,€45,,
ARCHIMEDES PHARMA France,Médecin,ASKOUL WAHEED,16/10/2013,Repas,€45,,
ARCHIMEDES PHARMA France,Médecin,ASKOUL WAHEED,10/12/2013,Repas,€50,,
Arthrex SAS,Médecin,HUBERT LAURENT,05/12/2013,TRANSPORT,€163,,
Arthrex SAS,Médecin,HUBERT LAURENT,05/12/2013,HEBERGEMENT,€405,,
ASPIDE MEDICAL,Médecin,JOUVIE JACQUES,21/11/2013,REPAS,€60,,
ASPIDE MEDICAL,Médecin,ROUMANI JAWAD,21/11/2013,REPAS,€60,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,BENAICHA TAYEB,31/01/2014,TRANSPORT,€212,,
ASTELLAS PHARMA,Médecin,ASKOUL WAHEED,31/03/2014,REPAS,€10,,
ASTELLAS PHARMA,Médecin,GHARBI NOUREDDINE,08/02/2013,REPAS,€97,,
ASTRAZENECA,Etudiant,COUTADEUR CATHLEEN,06/03/2014,Repas,€25,,
ASTRAZENECA,Etudiant,COUTADEUR CATHLEEN,30/01/2014,Repas,€57,,
ASTRAZENECA,Etudiant,COUTADEUR CATHLEEN,13/02/2014,Repas,€57,,
ASTRAZENECA,Etudiant,FOULT CAPUCINE,17/12/2013,Repas,€57,,
ASTRAZENECA,Etudiant,JAUNEAU BAPTISTE,27/01/2014,Repas,€57,,
ASTRAZENECA,Etudiant,LABUTHIE MARTINE,28/01/2014,Repas,€20,,
ASTRAZENECA,Etudiant,LABUTHIE MARTINE,25/03/2014,Repas,€25,,
ASTRAZENECA,Etudiant,LABUTHIE MARTINE,23/01/2014,Repas,€20,,
ASTRAZENECA,Etudiant,LABUTHIE MARTINE,30/01/2014,Repas,€57,,
ASTRAZENECA,Etudiant,LECOMTE PERRINE,21/01/2014,Repas,€57,,
ASTRAZENECA,Etudiant,LECOMTE PERRINE,17/12/2013,Repas,€57,,
ASTRAZENECA,Etudiant,LOCK ADRIEN,17/12/2013,Repas,€57,,
ASTRAZENECA,Etudiant,PIETU ELODIE,21/01/2014,Repas,€57,,
ASTRAZENECA,Infirmier,BILLAUT DEBORAH,18/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,BONZOM FLORENCE,07/04/2014,Repas,€57,,
ASTRAZENECA,Infirmier,BONZOM FLORENCE,27/01/2014,Repas,€57,,
ASTRAZENECA,Infirmier,BONZOM FLORENCE,23/09/2013,Repas,€57,,
ASTRAZENECA,Infirmier,BRABANT BARBARY PAULINA,17/03/2014,Repas,€20,,
ASTRAZENECA,Infirmier,COLLONGE STEPHANIE,18/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,COUSIN JOCELYNE,13/03/2014,Repas,€57,,
ASTRAZENECA,Infirmier,LEFEBVRE HELENE,18/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,LELIEVRE CAROLINE,18/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,PICARD KARINE,18/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,PLASSARD NICOLE,07/04/2014,Repas,€57,,
ASTRAZENECA,Infirmier,PLASSARD NICOLE,27/01/2014,Repas,€57,,
ASTRAZENECA,Infirmier,PLASSARD NICOLE,23/09/2013,Repas,€57,,
ASTRAZENECA,Infirmier,PRUDHOMME ANNE CLAIRE,18/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,SEGUIN VERONIQUE,27/01/2014,Repas,€57,,
ASTRAZENECA,Infirmier,SEGUIN VERONIQUE,07/04/2014,Repas,€57,,
ASTRAZENECA,Infirmier,SEGUIN VERONIQUE,23/09/2013,Repas,€57,,
ASTRAZENECA,Infirmier,VU ROSELYNE,18/02/2014,Repas,€25,,
ASTRAZENECA,Médecin,ALLART JEAN MAURICE,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,ALLART JEAN MAURICE,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,ALLART JEAN MAURICE,07/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,ASCOFARE Ismael,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,ASCOFARE Ismael,29/11/2013,Hébergement,€215,,
ASTRAZENECA,Médecin,ASCOFARE Ismael,29/11/2013,Transport,€72,,
ASTRAZENECA,Médecin,ASKOUL WAHEED,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BELMADANI HOURIA,04/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,BELMADANI HOURIA,23/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,BELMADANI HOURIA,17/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENAICHA TAYEB,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BENAICHA TAYEB,07/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,BENAICHA TAYEB,07/12/2013,Transport,€24,,
ASTRAZENECA,Médecin,BENAICHA TAYEB,21/03/2014,Repas,€25,,
ASTRAZENECA,Médecin,BENAICHA TAYEB,06/12/2013,Hébergement,€185,,
ASTRAZENECA,Médecin,BENAICHA TAYEB,06/12/2013,Repas,€60,,
ASTRAZENECA,Médecin,BENAICHA TAYEB,18/02/2014,Repas,€25,,
ASTRAZENECA,Médecin,BEN MESSAOUD MAJDI,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BEN ROMDHANE BOUTHEINA,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BENSOUKHAL ABDELKADER,04/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,BIENFAIT BERNARD,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BIENFAIT BERNARD,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUSTANI ROLAND,21/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CIOFU PITEA ALINA DOINA,17/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,CONDY DIDIER,13/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DURAND MANJARD FREDERIQUE,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DURAND MANJARD FREDERIQUE,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DURAND MANJARD FREDERIQUE,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DURGET PHILIPPE,14/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,FAUVETTE CHEVALOT ANNE,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,FAYAL VERONIQUE,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,FILIPPI MARIE,17/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,FITOUSSI GERARD,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,FITOUSSI GERARD,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,FITOUSSI GERARD,17/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,FITOUSSI GERARD,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GOITA LAMINE,21/03/2014,Repas,€25,,
ASTRAZENECA,Médecin,HANSEN PATRICK,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,HANSEN PATRICK,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,HANSEN PATRICK,07/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HERNANDEZ MORIN NELLY,17/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,JEAN MICHEL VIRON PATRICIA,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,JEAN MICHEL VIRON PATRICIA,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,JEAN MICHEL VIRON PATRICIA,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,JEAN MICHEL VIRON PATRICIA,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,JEAN MICHEL VIRON PATRICIA,13/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,JEAN MICHEL VIRON PATRICIA,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,JEAN MICHEL VIRON PATRICIA,07/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,KAMOUN MAHDI,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,KHALDI MOHAMED HABIB,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,KHALDI MOHAMED HABIB,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,KOUCHEEV GREGOIRE,04/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,LACH MATHIAS,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAGARDE FABRICE,17/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,LASSELIN KARINE,07/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LASSELIN KARINE,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE BOULICAUT MYLLA,21/03/2014,Repas,€25,,
ASTRAZENECA,Médecin,LEFEVRE CHRISTOPHE,05/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEGUEUL JEAN CLAUDE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEGUEUL JEAN CLAUDE,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEHAM RACHID,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEHNERT Franck,29/11/2013,Hébergement,€219,,
ASTRAZENECA,Médecin,LEHNERT Franck,29/11/2013,Hébergement,€219,,
ASTRAZENECA,Médecin,LEHNERT FRANCK,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEHNERT Franck,29/11/2013,Transport,€143,,
ASTRAZENECA,Médecin,LEHNERT Franck,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,MABROUK ALI,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MANIUC LILIANA,22/11/2013,Hébergement,€155,,
ASTRAZENECA,Médecin,MANIUC LILIANA,23/11/2013,Autre,€115,,
ASTRAZENECA,Médecin,MANIUC LILIANA,22/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,MANIUC LILIANA,22/11/2013,Transport,€131,,
ASTRAZENECA,Médecin,MANIUC VALERIU,22/11/2013,Hébergement,€155,,
ASTRAZENECA,Médecin,MANIUC VALERIU,22/11/2013,Transport,€131,,
ASTRAZENECA,Médecin,MANIUC VALERIU,22/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,MANIUC VALERIU,23/11/2013,Autre,€115,,
ASTRAZENECA,Médecin,MARSAUDON XAVIER,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARSAUDON XAVIER,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARSAUDON XAVIER,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARSAUDON XAVIER,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARSAUDON XAVIER,13/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MAZARE LACRAMIOARA,21/03/2014,Repas,€25,,
ASTRAZENECA,Médecin,MEBROUKINE LIES,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MIANGOUILA HERMANN,21/03/2014,Repas,€25,,
ASTRAZENECA,Médecin,MIMOUN ALBERT,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MIMOUN ALBERT,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MIMOUN ALBERT,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,NAHMIAS SALOMON,27/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,NAHMIAS SALOMON,07/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,NAHMIAS SALOMON,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,NAHMIAS SALOMON,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,NAHMIAS SALOMON,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,NAHMIAS SALOMON,20/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,OURRAD SAID,17/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,OURRAD SAID,04/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,OURRAD SAID,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,PACAN RADOSLAW,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,PACAN RADOSLAW,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,PASSET LAURENT,23/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,PERRIN FRANCOIS,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,PERRIN FRANCOIS,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,PERRIN FRANCOIS,13/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,PERRIN FRANCOIS,17/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,PERRIN FRANCOIS,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,PINSON MICHEL,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,PINSON MICHEL,07/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,POPA MARIE,21/03/2014,Repas,€25,,
ASTRAZENECA,Médecin,RAMILITIANA JORO,17/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,RAMILITIANA PRISCA,23/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,RATRIMOSON ODILE,17/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,SCHILL HUBERT,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SERBAN ANDREEA,17/03/2014,Repas,€20,,
ASTRAZENECA,Médecin,TOURE IDISSA,18/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,VILAIN CHRISTIAN,17/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,VOICA ANA,21/03/2014,Repas,€25,,
ASTRAZENECA,Pharmacien,DIAINE OLIVIER,13/05/2014,Repas,€57,,
AUDIOMEDI SAS,Audioprothésiste,OLIVIER CHRISTOPHE,30/10/2013,REPAS,€33,,
BARD FRANCE SAS,Médecin,UNAL SAIDA,16/03/2014,HEBERGEMENT,€397,,
BARD FRANCE SAS,Médecin,UNAL SAIDA,16/03/2014,TRANSPORT,€69,,
Bastide Le Confort Médical,Médecin,Meddah Jamel,05/04/2013,Hospitalité,€590,,
Bastide Le Confort Médical,Médecin,Meddah Jamel,21/11/2013,Hospitalité,€330,,
Bayer HealthCare SAS,Médecin,AKAD SEMRA,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,BENIA KAMEL,07/06/2013,Hospitalité,"€1,134",,
Bayer HealthCare SAS,Médecin,BENIA KAMEL,04/04/2014,Hospitalité,"€1,039",,
Bayer HealthCare SAS,Médecin,BEN ROMDHANE BOUTHEINA,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,CHANU BULA BRIGITTE,13/06/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,CHANU BULA BRIGITTE,14/03/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,CHANU BULA BRIGITTE,19/03/2014,Hospitalité,€502,,
Bayer HealthCare SAS,Médecin,CHEMIN LIUBOV,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,CHEVREAUD LIONEL,27/03/2014,Hospitalité,€56,,
Bayer HealthCare SAS,Médecin,HALLADE RASQUIN HELENE,18/10/2013,Hospitalité,€15,,
Bayer HealthCare SAS,Médecin,HOOCK JACQUES,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,LEHAM RACHID,07/06/2013,Hospitalité,"€1,134",,
Bayer HealthCare SAS,Médecin,LEHAM RACHID,04/04/2014,Hospitalité,"€1,039",,
Bayer HealthCare SAS,Médecin,MABROUK ALI,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,MEBROUKINE LIES,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,NYAMKOS JEAN PIERRE,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Médecin,OUBRAHAM MEBROUKINE HASSIBA,15/11/2013,Hospitalité,"€8,828",,
Bayer HealthCare SAS,Médecin,OUBRAHAM MEBROUKINE HASSIBA,31/01/2014,Hospitalité,€472,,
Bayer HealthCare SAS,Médecin,OUBRAHAM MEBROUKINE HASSIBA,06/06/2014,Hospitalité,€635,,
Bayer HealthCare SAS,Médecin,OUBRAHAM MEBROUKINE HASSIBA,19/02/2014,HOSPITALITE,€90,,
Bayer HealthCare SAS,Médecin,OUBRAHAM MEBROUKINE HASSIBA,18/03/2014,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,OUBRAHAM MEBROUKINE HASSIBA,05/12/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,SALAMON MAROUN,27/06/2014,Hospitalité,€220,,
Bayer HealthCare SAS,Médecin,YACOUB WILLIAM,14/03/2014,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,YACOUB WILLIAM,13/06/2014,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,YACOUB WILLIAM,19/03/2014,Hospitalité,€282,,
Bayer HealthCare SAS,Sage-femme,AUCHER CARINE,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Sage-femme,BOULAY FRANCINE,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Sage-femme,DOUARE FLORENCE,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Sage-femme,ESSAKO JUSTINE,05/05/2014,Hospitalité,€27,,
Bayer HealthCare SAS,Sage-femme,PLANARD FLORENCE,05/05/2014,Hospitalité,€27,,
B. Braun Avitum France SAS,Médecin,COSTEL Ghania,15/05/2014,REPAS,€60,,
B. Braun Avitum France SAS,Médecin,COSTEL Ghania,16/05/2014,REPAS,€60,,
B. Braun Avitum France SAS,Médecin,COSTEL Ghania,15/05/2014,REPAS,€60,,
B. Braun Avitum France SAS,Médecin,COSTEL Ghania,15/05/2014,HEBERGEMENT,€124,,
B. Braun Avitum France SAS,Médecin,COSTEL Ghania,15/05/2014,TRANSPORT,€59,,
B. Braun Avitum France SAS,Médecin,COSTEL Ghania,15/05/2014,TRANSPORT,€376,,
BIOMET,Médecin,MEUNIER BERTRAND,13/11/2012,REPAS,€80,,
BIOMET,Médecin,MEUNIER BERTRAND,06/12/2012,REPAS,€21,,
BIOMET,Médecin,VAN DRIESSCHE STEPHANE,13/02/2014,REPAS,€67,,
BIO-RAD,Médecin,MENTZ FRANCK,26/06/2013,REPAS,€47,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BEN MESSAOUD MAJDI,10/12/2013,HOSPITALITE,€38,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DE OLIVEIRA JOSE,28/11/2013,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DURAND MANJARD FREDERIQUE,28/11/2013,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JAUNEAU BAPTISTE,10/12/2013,HOSPITALITE,€38,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KAMOUN MAHDI,10/12/2013,HOSPITALITE,€38,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KHALDI MOHAMED HABIB,10/12/2013,HOSPITALITE,€38,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAGARDE FABRICE,30/04/2013,HOSPITALITE,€35,,
BOEHRINGER INGELHEIM FRANCE,Médecin,NAHMIAS SALOMON,28/11/2013,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,NAHMIAS SALOMON,02/07/2013,HOSPITALITE,€35,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PERRIN FRANCOIS,28/11/2013,HOSPITALITE,€53,,
