ALLERGAN FRANCE,Médecin,BAUDOUIN FRANCOISE,19/03/2014,AUTRE-INSCRIPTION,€320,,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Chirurgien-dentiste,MARTIN PRIGENT LINDA,04/07/2013,REPAS,€21,,
GLOBAL D,Chirurgien-dentiste,CHAMPON CHIRAC DIANE,26/06/2014,REPAS,€22,,
GLOBAL D,Chirurgien-dentiste,MARTIN-PRIGENT LINDA,11/04/2013,REPAS,€15,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,TRAN QUOCVI,01/04/2014,REPAS,€16,,
ICOMED,Chirurgien-dentiste,CHAMPON CHIRAC DIANE,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,LE GOFF DANY,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,BAUDOUIN FRANCOISE,25/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOTHOREL ARMAND,06/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,BOTHOREL ARMAND,04/04/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DUFRENEIX OLIVIER,09/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DUFRENEIX OLIVIER,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,LE GALL ROLAND,25/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LE GALL ROLAND,06/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,LIENNE JEAN FRANCOIS,20/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LIENNE JEAN FRANCOIS,28/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MENGER ANTOINE,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MENGER ANTOINE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,NADAUD NICOLAS,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TOUDIC PAUL,20/12/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,LE CARRERES STEPHANE,22/11/2013,REPAS,€13,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,PRIGENT-MARTIN LINDA,23/07/2013,Autre,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRELIVET TOUS MARTINE,03/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRELIVET TOUS MARTINE,25/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAER ANDRE,25/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE BERRE SYLVIE,27/03/2014,REPAS,€60,,
LABORATOIRES ALCON,Médecin,BAUDOUIN FRANÇOISE,20/03/2014,REPAS,€40,,
Laboratoires ARKOPHARMA,Pharmacien,GUEZIEC ANNE,03/06/2014,REPAS,€37,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FOURNIS CATHERINE,03/06/2014,REPAS,€37,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUILLOU MURIELLE,03/06/2014,REPAS,€37,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VIOLAS SERVANE,03/06/2014,REPAS,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRELIVET TOUS MARTINE,11/04/2014,Repas,€35,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,NADAUD NICOLAS,11/04/2014,Repas,€35,,
Laboratoires Grünenthal SAS,Médecin,BRELIVET TOUS MARTINE,18/04/2014,REPAS,€33,,
Laboratoires Grünenthal SAS,Médecin,BRELIVET TOUS MARTINE,17/06/2014,REPAS,€23,,
Laboratoires Grünenthal SAS,Médecin,CAER ANDRE,17/06/2014,REPAS,€23,,
Laboratoires Grünenthal SAS,Médecin,CAER ANDRE,18/04/2014,REPAS,€33,,
Laboratoires Grünenthal SAS,Médecin,NADAUD NICOLAS,20/11/2013,REPAS,€44,,
Laboratoires Leurquin Mediolanum,Médecin,BOTHOREL ARMAND,04/09/2013,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,NADAUD NICOLAS,04/09/2013,AUTRE,€30,,
LABORATOIRES MAYOLY SPINDLER,Médecin,NADAUD Nicolas,20/01/2014,HOSPITALITE,€18,,
Laboratoires THEA,Médecin,BAUDOUIN FRANCOISE,27/02/2014,REPAS,€55,,
LES LABORATOIRES SERVIER,Médecin,BRELIVET MARTINE,18/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BRELIVET MARTINE,05/12/2013,Repas,€47,,
LES LABORATOIRES SERVIER,Médecin,CAER ANDRE,05/12/2013,Repas,€47,,
MENARINI FRANCE,Médecin,CAER ANDRE,06/11/2013,AUTRE : RNT,€49,,
MSD France,Médecin,BRELIVET TOUS MARTINE,30/08/2013,REPAS,€31,,
MSD France,Médecin,BRELIVET TOUS MARTINE,20/06/2012,HOSPITALITE,€40,,
MSD France,Médecin,BRELIVET TOUS MARTINE,10/04/2014,REPAS,€58,,
MSD France,Médecin,CAER ANDRE,20/06/2012,HOSPITALITE,€40,,
MSD France,Médecin,CLECH GUILLOTTE PATRICIA,30/08/2013,REPAS,€31,,
MSD France,Médecin,TOUDIC PAUL,10/04/2014,REPAS,€58,,
MUNDIPHARMA,Médecin,CLECH GUILLOTTE PATRICIA,05/04/2013,AUTRE : REPAS PROFESSIONNEL,€25,,
MUNDIPHARMA,Médecin,CLECH GUILLOTTE PATRICIA,06/12/2013,REPAS,€33,,
MUNDIPHARMA,Médecin,MESSAGER ANNE,05/04/2013,AUTRE : REPAS PROFESSIONNEL,€25,,
MUNDIPHARMA,Médecin,MESSAGER ANNE,06/12/2013,REPAS,€33,,
MUNDIPHARMA,Médecin,TOUDIC PAUL,28/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€51,,
NOVARTIS PHARMA SAS,Infirmier,ERNOT MARIE HELENE,27/11/2013,Autre : [Hospitalité Evenement Scientifique],€30,,
NOVARTIS PHARMA SAS,Infirmier,PORTRETS NATHALIE,27/11/2013,Autre : [Hospitalité Evenement Scientifique],€30,,
NOVARTIS PHARMA SAS,Médecin,BAUDOUIN FRANCOISE,01/04/2014,Repas,€16,,
NOVARTIS PHARMA SAS,Médecin,BRELIVET TOUS MARTINE,16/10/2013,Repas,€17,,
NOVARTIS PHARMA SAS,Médecin,NADAUD NICOLAS,22/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,NADAUD NICOLAS,16/10/2013,Repas,€17,,
NOVARTIS PHARMA SAS,Médecin,NADAUD NICOLAS,19/03/2014,Repas,€32,,
NOVARTIS PHARMA SAS,Médecin,TOUDIC PAUL,19/03/2014,Repas,€32,,
PIERRE FABRE MEDICAMENT,Médecin,BRELIVET TOUS MARTINE,20/05/2014,RESTAURATION,€62,,
PIERRE FABRE MEDICAMENT,Médecin,CAER ANDRE,14/03/2013,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Médecin,CLECH GUILLOTTE PATRICIA,23/11/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MESSAGER ANNE,23/11/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,NADAUD NICOLAS,20/05/2014,RESTAURATION,€62,,
PIERRE FABRE MEDICAMENT,Médecin,THEPAUT ALAIN,14/03/2013,Restauration,€33,,
PIERRE FABRE MEDICAMENT,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COURRET LAURA,20/02/2014,RESTAURATION,€13,,
SANOFI AVENTIS FRANCE,Médecin,BRELIVET TOUS MARTINE,25/04/2014,Repas,€54,,
SEPTODONT SAS,Association professionnel de santé,RIOU & COLIN,07/06/2013,Cadeaux,€114,,
SEPTODONT SAS,Chirurgien-dentiste,LE GOFF DANY,25/07/2012,Cadeaux,€144,,
SEPTODONT SAS,Chirurgien-dentiste,LEPAGE GILLES,06/12/2012,Cadeaux,€144,,
SEPTODONT SAS,Chirurgien-dentiste,SIAUVE-LE-DOEUFF Françoise,14/06/2012,Cadeaux,€144,,
SEPTODONT SAS,Chirurgien-dentiste,SIAUVE-LE-DOEUFF Françoise,04/12/2012,Cadeaux,€144,,
SEPTODONT SAS,Chirurgien-dentiste,SIAUVE-LE-DOEUFF Françoise,29/11/2012,Cadeaux,€288,,
Straumann France,Chirurgien-dentiste,PUGNAT YOHANN,21/11/2013,Repas,€25,,
TEVA SANTE SAS,Médecin,CLECH GUILLOTTE PATRICIA,21/11/2013,REPAS,€33,,
TEVA SANTE SAS,Médecin,CLECH GUILLOTTE PATRICIA,05/06/2014,REPAS,€40,,
TEVA SANTE SAS,Médecin,LE GALL ROLAND,05/09/2013,REPAS,€27,,
TEVA SANTE SAS,Médecin,MESSAGER ANNE,05/06/2014,REPAS,€40,,
TEVA SANTE SAS,Médecin,MESSAGER ANNE,21/11/2013,REPAS,€33,,
