3M France,Chirurgien-dentiste,KODJIKIAN SANDRINE,10/04/2014,REPAS,€68,,
Amplifon Groupe France,Médecin,TROUSSIER JOELLE,16/05/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€1,188",,
Amplifon Groupe France,Médecin,TROUSSIER JOËLLE,21/01/2014,REPAS,€19,,
Amplifon Groupe France,Médecin,TROUSSIER JOËLLE,21/01/2014,REPAS,€19,,
Amplifon Groupe France,Médecin,TROUSSIER JOËLLE,21/01/2014,REPAS,€19,,
Amplifon Groupe France,Médecin,TROUSSIER JOËLLE,21/01/2014,REPAS,€19,,
Amplifon Groupe France,Médecin,TROUSSIER JOËLLE,21/01/2014,REPAS,€19,,
ARCHIMEDES PHARMA France,Pharmacien,CALVEZ_MAVRIDIS CATHERINE,30/01/2014,Repas,€19,,
ARCHIMEDES PHARMA France,Pharmacien,POQUET SANDRINE,30/01/2014,Repas,€19,,
ARCHIMEDES PHARMA France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENNOUAR FARIHNA,30/01/2014,Repas,€19,,
ASPEN FRANCE,Médecin,HAIMOVICI Jospeh,03/02/2014,Repas,€16,,
ASTELLAS PHARMA,Médecin,YVART LAURE,13/06/2012,HEBERGEMENT,€180,,
ASTELLAS PHARMA,Médecin,YVART LAURE,14/06/2012,HEBERGEMENT,€180,,
ASTELLAS PHARMA,Médecin,YVART LAURE,13/06/2012,INVITATIONS,€280,,
ASTELLAS PHARMA,Médecin,YVART LAURE,13/06/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,YVART LAURE,14/06/2012,REPAS,€60,,
ASTRAZENECA,Infirmier,CABRERA CHRISTELLE,19/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,ALLAMANNO JEAN PIERRE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ALLAMANNO JEAN PIERRE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ALLAMANNO JEAN PIERRE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,AZZOPARDI YVES,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,AZZOPARDI YVES,03/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,AZZOPARDI YVES,10/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,AZZOPARDI YVES,20/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,BRAZIER REMY,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BRAZIER REMY,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BRAZIER REMY,18/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,BRUN FRANCOIS,08/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,BRUN FRANCOIS,15/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,BRUN FRANCOIS,28/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,CANE ARIANA,18/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,CAUSSE JEAN RENE,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,CAUSSE JEAN RENE,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CAUSSE JEAN RENE,03/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,CAUSSE JEAN RENE,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CAUSSE JEAN RENE,10/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,CESAR PIERRE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,CESAR PIERRE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DESSAINT JEAN MARIE,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,DESSAINT JEAN MARIE,25/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DESSAINT JEAN MARIE,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DREYFUS XAVIER,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DREYFUS Xavier,29/11/2013,Hébergement,€232,,
ASTRAZENECA,Médecin,DREYFUS Xavier,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,DREYFUS XAVIER,18/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,DREYFUS XAVIER,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DREYFUS Xavier,29/11/2013,Transport,€261,,
ASTRAZENECA,Médecin,FOUQUET JEAN CLAUDE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GENELOT SYLVIE,07/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,GIRARD PHILIPPE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GIREY RANNAUD JANIE,07/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,GIREY RANNAUD JANIE,07/12/2013,Transport,€78,,
ASTRAZENECA,Médecin,GIREY RANNAUD JANIE,06/12/2013,Transport,€140,,
ASTRAZENECA,Médecin,GIREY RANNAUD JANIE,06/12/2013,Hébergement,€185,,
ASTRAZENECA,Médecin,GIREY RANNAUD JANIE,06/12/2013,Transport,€53,,
ASTRAZENECA,Médecin,GIREY RANNAUD JANIE,06/12/2013,Repas,€60,,
ASTRAZENECA,Médecin,GOURGUE PHILIPPE,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GOURGUE PHILIPPE,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,HAMAIDI TOUFIK,29/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HAMAIDI TOUFIK,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HAMAIDI TOUFIK,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,JACOB MARIE CHRISTINE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,JACOB MARIE CHRISTINE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,JACOB MARIE CHRISTINE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,JEANJEAN CLAUDE,11/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,KAUFMAN ALAIN,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOMPRE CHANTAL,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,MANEGLIA HERVE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MANEGLIA HERVE,25/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MANEGLIA HERVE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MANGIONE BRIGITTE,11/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,PANTHOU JEROME,07/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,PETIT LUC,18/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,PETIT LUC,21/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,RENAULT FREDERIC,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,RENAULT FREDERIC,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,RENAULT FREDERIC,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROBERT CORINNE,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SEITER MOREAU MARIE,31/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,SEITER MOREAU MARIE,25/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SEITER MOREAU MARIE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SEITER MOREAU MARIE,28/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,SENELLART FRANCOIS,18/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,SIBILLE EVELYNE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,SWISTAK BERTRAND DOMINIQUE,02/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,SWISTAK BERTRAND DOMINIQUE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,SWISTAK BERTRAND DOMINIQUE,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SWISTAK BERTRAND DOMINIQUE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,YEM SOKHOM ALAIN,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,YEM TARANTINI A MARIE,07/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,YEM TARANTINI A MARIE,16/04/2014,Repas,€57,,
Audika Groupe SA,Médecin,DUMAREST DENIS,31/01/2014,REPAS,€50,,
Audika Groupe SA,Médecin,PENISSON LAURENCE,31/01/2014,REPAS,€50,,
Audika Groupe SA,Médecin,PENISSON LAURENCE,05/12/2013,REPAS,€48,,
Audika Groupe SA,Médecin,TROUSSIER JOELLE,05/12/2013,REPAS,€48,,
Audika Groupe SA,Médecin,TROUSSIER JOELLE,31/01/2014,REPAS,€50,,
Bayer HealthCare SAS,Médecin,ATLANI JEAN LUC,27/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BORGEL FLORENT,11/07/2013,Hospitalité,€66,,
Bayer HealthCare SAS,Médecin,BRAZIER REMY,14/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,BRUN FRANCOIS,30/01/2014,Hospitalité,€36,,
Bayer HealthCare SAS,Médecin,BRUN FRANCOIS,17/10/2013,Hospitalité,€37,,
Bayer HealthCare SAS,Médecin,CESAR PIERRE,24/05/2014,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,CESAR PIERRE,25/04/2014,REPAS,€28,,
Bayer HealthCare SAS,Médecin,DREYFUS XAVIER,24/05/2014,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,DREYFUS XAVIER,12/05/2014,Hospitalité,€42,,
Bayer HealthCare SAS,Médecin,DREYFUS XAVIER,02/10/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Médecin,FINE COUETIL ERIKA,14/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,FOUILLET PIERRE,11/07/2013,Hospitalité,€66,,
Bayer HealthCare SAS,Médecin,GAVEND DELESTRAS ISABELLE,27/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LETIERS CAMILLE,24/05/2014,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,MEAULLE FLORENCE,11/07/2013,Hospitalité,€66,,
Bayer HealthCare SAS,Médecin,MICHEL FREDERIC,14/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,PETIT LUC,12/05/2014,Hospitalité,€42,,
Bayer HealthCare SAS,Médecin,PETIT LUC,24/05/2014,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,PETIT LUC,14/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,PETIT LUC,02/10/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Médecin,RENAULT FREDERIC,25/04/2014,REPAS,€28,,
Bayer HealthCare SAS,Médecin,SENELLART FRANCOIS,14/12/2013,Hospitalité,€295,,
Bayer HealthCare SAS,Médecin,SENELLART FRANCOIS,14/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,SENELLART FRANCOIS,29/05/2013,Hospitalité,€60,,
Becton Dickinson France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHARUSSE EUGENIE,05/12/2013,REPAS,€41,,
BIOCODEX,Médecin,BOHN BENOIT,12/09/2013,REPAS,€32,,
BIOCODEX,Médecin,BOHN BENOIT,19/06/2014,REPAS,€28,,
BIOCODEX,Médecin,BOHN BENOIT,27/03/2014,REPAS,€60,,
BIOCODEX,Médecin,CHEVALLIER CHRISTIAN,12/09/2013,REPAS,€32,,
BIOCODEX,Médecin,CHEVALLIER CHRISTIAN,19/06/2014,REPAS,€28,,
BIOCODEX,Médecin,DELESTRAS CLAIRE,19/11/2013,REPAS,€65,,
BIOCODEX,Médecin,DELESTRAS JEAN MARC,19/11/2013,REPAS,€65,,
BIOCODEX,Médecin,FROISSART BRUNO,19/06/2014,REPAS,€28,,
BIOCODEX,Médecin,FROISSART BRUNO,12/09/2013,REPAS,€32,,
BIOCODEX,Médecin,GUEDDAH NASSAR,12/09/2013,REPAS,€32,,
BIOCODEX,Médecin,SEITER MOREAU MARIE,19/11/2013,REPAS,€65,,
BIOGARAN,Pharmacien,LE FOURNIER Christine,16/06/2014,AUTRE : FORMATION ESSEC,"€1,310",,
BIOGARAN,Pharmacien,RAMOS GILLES,25/07/2013,REPAS,€20,,
BIOGARAN,Pharmacien,RAMOS GILLES,07/10/2013,AUTRE : FORMATION ESSEC,€837,,
BIOGARAN,Pharmacien,RAMOS GILLES,19/06/2014,REPAS,€31,,
BIOGARAN,Pharmacien,RAMOS Gilles,13/01/2014,AUTRE : FORMATION ESSEC,€837,,
BIOGARAN,Pharmacien,RAMOS GILLES,13/03/2014,REPAS,€28,,
BIOGEN IDEC FRANCE,Médecin,BORGEL FLORENT,19/06/2014,REPAS,€60,,
BIOGEN IDEC FRANCE,Médecin,BORGEL FLORENT,13/06/2014,HEBERGEMENT,€145,,
BIOGEN IDEC FRANCE,Médecin,BORGEL FLORENT,13/06/2014,REPAS,€68,,
BIOGEN IDEC FRANCE,Médecin,BORGEL FLORENT,13/06/2014,REPAS,€70,,
BIOGEN IDEC FRANCE,Médecin,MEAULLE FLORENCE,19/06/2014,REPAS,€60,,
BIOTECH ORTHO,Médecin,HUARD SONIA,19/12/2013,Hébergement,€204,,
BIOTECH ORTHO,Médecin,HUARD SONIA,19/12/2013,Transport,€350,,
BIOTECH ORTHO,Médecin,TOURNE YVES,23/01/2014,Repas,€45,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,BROSSON CHRISTOPHE,02/07/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,BROSSON CHRISTOPHE,10/12/2013,HOSPITALITE,€41,,
BOEHRINGER INGELHEIM FRANCE,Médecin,AZZOPARDI YVES,13/12/2013,HOSPITALITE,€42,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRAZIER REMY,17/12/2013,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRAZIER REMY,13/05/2014,HOSPITALITE,€18,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRAZIER REMY,22/10/2013,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRAZIER REMY,28/01/2014,HOSPITALITE,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CANE ARIANA,22/10/2013,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CANE ARIANA,05/07/2013,HOSPITALITE,€42,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CANE ARIANA,17/12/2013,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CANE ARIANA,20/05/2014,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CANE ARIANA,28/01/2014,HOSPITALITE,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CANE ARIANA,13/05/2014,HOSPITALITE,€18,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CANE ARIANA,10/09/2013,HOSPITALITE,€58,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CANE ARIANA,28/01/2014,HOSPITALITE,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DESSAINT JEAN MARIE,13/12/2013,HOSPITALITE,€42,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DIAB SAMIA,10/12/2013,HOSPITALITE,€41,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DREYFUS XAVIER,28/01/2014,HOSPITALITE,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DREYFUS XAVIER,12/06/2013,HOSPITALITE,€882,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DREYFUS XAVIER,13/05/2014,HOSPITALITE,€18,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DREYFUS XAVIER,10/09/2013,HOSPITALITE,€58,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DREYFUS XAVIER,17/12/2013,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DREYFUS XAVIER,22/10/2013,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIREY RANNAUD JANIE,24/02/2014,HOSPITALITE,€21,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIREY RANNAUD JANIE,08/07/2013,HOSPITALITE,€22,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIREY RANNAUD JANIE,25/11/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIREY RANNAUD JANIE,02/07/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GIREY RANNAUD JANIE,31/01/2014,HOSPITALITE,€793,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JEANJEAN CLAUDE,25/11/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JEANJEAN CLAUDE,08/07/2013,HOSPITALITE,€22,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KUENTZ ROUSSEAUX MARTINE,25/11/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KUENTZ ROUSSEAUX MARTINE,24/02/2014,HOSPITALITE,€21,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KUENTZ ROUSSEAUX MARTINE,08/07/2013,HOSPITALITE,€22,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KUENTZ ROUSSEAUX MARTINE,02/07/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,KUENTZ ROUSSEAUX MARTINE,24/02/2014,HOSPITALITE,€21,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LOMPRE CHANTAL,20/05/2014,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PETIT LUC,17/12/2013,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PETIT LUC,28/01/2014,HOSPITALITE,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PETIT LUC,13/05/2014,HOSPITALITE,€18,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PLAINDOUX AGNES,08/07/2013,HOSPITALITE,€22,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PLAINDOUX AGNES,02/07/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PLAINDOUX AGNES,24/02/2014,HOSPITALITE,€21,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PLAINDOUX AGNES,25/11/2013,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PORKOLAB CORINNE,13/12/2013,HOSPITALITE,€42,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SENELLART FRANCOIS,22/10/2013,HOSPITALITE,€40,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SENELLART FRANCOIS,28/01/2014,HOSPITALITE,€36,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SENELLART FRANCOIS,13/05/2014,HOSPITALITE,€18,,
BOIRON,Médecin,AVON JEAN PIERRE,19/11/2013,[REPAS],€34,,
BOIRON,Médecin,DESSAINT JEAN MARIE,19/11/2013,[REPAS],€34,,
BOIRON,Médecin,NETTER SOPHIE,24/04/2014,[REPAS],€92,,
BOIRON,Pharmacien,FONTAINE CAROLE,15/04/2014,[REPAS],€25,,
BOIRON,Pharmacien,JACQUET MARINE,15/04/2014,[REPAS],€25,,
BOSTON SCIENTIFIC SAS,Infirmier,BEGNIS JOHANA,04/12/2013,HEBERGEMENT,€184,,
BOSTON SCIENTIFIC SAS,Infirmier,BEGNIS JOHANA,04/12/2013,REPAS,€48,,
BOSTON SCIENTIFIC SAS,Infirmier,BEGNIS JOHANA,04/12/2013,TRANSPORT,€267,,
BOSTON SCIENTIFIC SAS,Infirmier,BEGNIS JOHANA,04/12/2013,REPAS,€49,,
BOSTON SCIENTIFIC SAS,Médecin,BRAZIER REMY,11/12/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,DREYFUS XAVIER,20/03/2014,REPAS,€11,,
BOSTON SCIENTIFIC SAS,Médecin,FINE ERIKA,04/02/2014,AUTRE : [INSCRIPTIONS],€694,,
BOSTON SCIENTIFIC SAS,Médecin,FINE ERIKA,04/02/2014,TRANSPORT,€315,,
BOSTON SCIENTIFIC SAS,Médecin,GERMAIN EMMANUEL,14/11/2013,REPAS,€25,,
BOSTON SCIENTIFIC SAS,Médecin,LOMPRE CHANTALE,27/03/2014,REPAS,€61,,
BOSTON SCIENTIFIC SAS,Médecin,MALDONADO PHILIPPE,19/09/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,MICHEL FREDERIC,19/09/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,MOULIN CHRISTOPHE,18/03/2014,REPAS,€24,,
BOSTON SCIENTIFIC SAS,Médecin,MOULIN CHRISTOPHE,14/05/2014,REPAS,€26,,
BOSTON SCIENTIFIC SAS,Médecin,MOULIN CHRISTOPHE,14/11/2013,REPAS,€25,,
BOSTON SCIENTIFIC SAS,Médecin,MOULIN CHRISTOPHE,23/06/2014,AUTRE : [INSCRIPTIONS],€360,,
BOSTON SCIENTIFIC SAS,Médecin,MOULIN CHRISTOPHE,15/04/2014,TRANSPORT,€91,,
BOSTON SCIENTIFIC SAS,Médecin,PETIT LUC,27/03/2014,REPAS,€61,,
BOSTON SCIENTIFIC SAS,Médecin,PETIT LUC,11/12/2013,REPAS,€60,,
BOSTON SCIENTIFIC SAS,Médecin,PETIT LUC,31/10/2013,REPAS,€10,,
