ABBOTT PRODUCTS SAS,Médecin,DASSONVAL MARCHANT Jeanine,03/10/2013,REPAS,€60,,
ICOMED,Médecin,HOUPIN CARLIER BRIGITTE,13/03/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,PONCHEL ERIC,23/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,POULAIN REMI,20/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGOIS STEPHANIE,26/03/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CZAJA INGRID,19/07/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CZAJA INGRID,28/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CZAJA INGRID,05/07/2013,REPAS,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CZAJA INGRID,26/03/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CZAJA INGRID,27/03/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DASSONVAL MARCHANT JEANINE,28/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DASSONVAL MARCHANT JEANINE,07/03/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DASSONVAL MARCHANT JEANINE,16/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DASSONVAL MARCHANT JEANINE,05/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOUPIN CARLIER BRIGITTE,12/12/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOUPIN CARLIER BRIGITTE,24/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KASTELIK ANDRE,12/12/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KASTELIK ANDRE,16/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,HUCHETTE CLAUDINE,03/12/2013,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,PRUVOST FRANCK,03/12/2013,REPAS,€23,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CZAJA INGRID,27/03/2014,Repas,€22,,
LABORATOIRES CONVATEC,Infirmier,AQUA AURELIE,19/11/2013,DINER,€39,,
LABORATOIRES CONVATEC,Infirmier,MATURSKI AUDE LINE,20/03/2014,REPAS,€41,,
LABORATOIRES CONVATEC,Infirmier,MONTFORT JESSALYNN,20/03/2014,REPAS,€41,,
LABORATOIRES CONVATEC,Infirmier,RINGARD SABRINA,12/02/2014,REPAS,€20,,
LEO Pharma,Médecin,CZAJA INGRID,28/03/2014,REPAS,€58,,
MENARINI FRANCE,Pharmacien,PRUVOST FRANCK,18/10/2013,REPAS,€30,,
Molnlycke Health Care,Infirmier,DELALEAU PASCALINE,07/11/2013,INVITATIONS,€22,,
Molnlycke Health Care,Infirmier,MORIN LYDIE,07/11/2013,INVITATIONS,€22,,
Molnlycke Health Care,Infirmier,PELLICIOLI CELINE,07/11/2013,INVITATIONS,€22,,
MSD France,Médecin,CZAJA INGRID,20/10/2012,HOSPITALITE,€52,,
MSD France,Médecin,CZAJA INGRID,10/04/2014,TRANSPORT,€620,,
MSD France,Médecin,CZAJA INGRID,10/04/2014,HÉBERGEMENT,€300,,
MSD France,Médecin,CZAJA INGRID,10/04/2014,REPAS,€174,,
MSD France,Médecin,CZAJA INGRID,25/03/2014,REPAS,€56,,
MSD France,Médecin,CZAJA INGRID,11/06/2014,REPAS,€55,,
MSD France,Médecin,CZAJA INGRID,13/07/2012,REPAS,€32,,
MSD France,Médecin,CZAJA INGRID,10/04/2012,REPAS,€31,,
MSD France,Médecin,CZAJA INGRID,11/06/2014,REPAS,€55,,
MSD France,Médecin,CZAJA INGRID,13/07/2012,REPAS,€32,,
MSD France,Médecin,CZAJA INGRID,17/01/2012,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,BOURGOIS STEPHANIE,23/01/2014,Hébergement,€138,,
NOVARTIS PHARMA SAS,Médecin,BOURGOIS STEPHANIE,23/01/2014,Transport,€471,,
NOVARTIS PHARMA SAS,Médecin,BOURGOIS STEPHANIE,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,BOURGOIS STEPHANIE,06/09/2013,Repas,€29,,
NOVARTIS PHARMA SAS,Médecin,CZAJA INGRID,25/09/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,CZAJA INGRID,23/01/2014,Hébergement,€138,,
NOVARTIS PHARMA SAS,Médecin,CZAJA INGRID,06/09/2013,Repas,€29,,
NOVARTIS PHARMA SAS,Médecin,CZAJA INGRID,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,CZAJA INGRID,23/01/2014,Transport,€466,,
NOVARTIS PHARMA SAS,Médecin,CZAJA INGRID,27/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,DASSONVAL MARCHANT JEANINE,18/03/2014,Autre : [Participation Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,CZAJA INGRID,28/09/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,CZAJA INGRID,08/02/2013,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,CZAJA INGRID,22/03/2013,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,DASSONVAL MARCHANT JEANINE,28/03/2012,Restauration,€16,,
PIERRE FABRE MEDICAMENT,Médecin,DASSONVAL MARCHANT JEANINE,05/09/2012,Restauration,€23,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,PRUVOST FRANCK,27/01/2014,REPAS,€48,,
SANOFI AVENTIS FRANCE,Médecin,BOURGOIS STEPHANIE,10/09/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,KASTELIK ANDRE,19/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,HUCHETTE CLAUDINE,05/07/2013,Restauration,€39,,
SANOFI PASTEUR MSD SNC,Médecin,DASSONVAL MARCHANT JEANINE,10/10/2013,Repas,€60,,
SIGVARIS,Pharmacien,HUCHETTE CLAUDINE,02/07/2013,REPAS,€31,,
Smith & Nephew S.A.S.,Médecin,CZAJA INGRID,05/06/2014,REPAS,€27,,
Zambon France,Pharmacien,PECQUEUR MELANIE,30/01/2014,Repas,€37,,
