3M France,Chirurgien-dentiste,BOMBOY STEPHANIE,22/04/2014,REPAS,€21,,
ALLERGAN FRANCE,Médecin,ENTRAYGUES HERVE,25/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VUILLEMEY ERIC,21/09/2013,HEBERGEMENT,€650,,
ALLERGAN FRANCE,Médecin,VUILLEMEY ERIC,21/09/2013,AUTRE,€590,,
ALLERGAN FRANCE,Médecin,VUILLEMEY ERIC,03/12/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,VUILLEMEY ERIC,25/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VUILLEMEY ERIC,16/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,VUILLEMEY ERIC,21/09/2013,TRANSPORT,€150,,
ALLERGAN FRANCE,Médecin,VUILLEMEY ERIC,23/07/2013,REPAS,€59,,
A.MENARINI diagnostics,Etablissement de santé,CENTRE DE BIOLOGIE MEDICALE,02/12/2013,REPAS,€26,,
A.MENARINI diagnostics,Pharmacien,SEVERAC MICHEL,01/10/2013,CADEAUX,€18,,
ARROW GENERIQUES SAS,Pharmacien,CHOUX PIERRETTE,15/05/2014,REPAS,€26,,
ASPEN FRANCE,Médecin,GALBOOD VINCENT Fabienne,30/06/2014,Repas,€33,,
ASPEN FRANCE,Médecin,GALBOUD VINCENT Fabienne,16/01/2014,Repas,€42,,
ASPEN FRANCE,Médecin,TERRIER Pierre,16/01/2014,Repas,€42,,
ASPEN FRANCE,Médecin,TERRIER Pierre,30/06/2014,Repas,€33,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,TESTON ANNE,29/04/2014,REPAS,€19,,
ASTELLAS PHARMA,Médecin,PAULY AUDREE,22/03/2013,HOSPITALITE,€52,,
ASTRAZENECA,Médecin,BROM HUBERT,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BROM HUBERT,05/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,BROM HUBERT,15/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BROM HUBERT,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BROM HUBERT,08/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,BROM HUBERT,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BROM HUBERT,24/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,BROM HUBERT,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BROM HUBERT,25/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,CROMBET GEORGES,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CROMBET GEORGES,08/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,GIRARD CLAUDON LISBETH,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUICHARD JEAN MICHEL,21/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUICHARD JEAN MICHEL,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GUICHARD JEAN MICHEL,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUICHARD JEAN MICHEL,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LETONDEL PASCAL,08/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,LETONDEL PASCAL,05/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,LETONDEL PASCAL,24/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,LETONDEL PASCAL,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,MOUHAT CHRISTIAN,24/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,MOUHAT CHRISTIAN,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,MOUHAT CHRISTIAN,24/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,MOUHAT CHRISTIAN,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,PECON MARION,18/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,PECON MARION,23/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,STEULET DANIEL,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,VUILLEMIN PHILIPPE,14/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,VUILLEMIN Philippe,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,VUILLEMIN PHILIPPE,30/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,VUILLEMIN Philippe,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,VUILLEMIN Philippe,18/10/2013,Hébergement,€106,,
ASTRAZENECA,Médecin,VUILLEMIN Philippe,19/10/2013,Transport,€26,,
ASTRAZENECA,Médecin,VUILLEMIN BOUVERET Marie Christine,18/10/2013,Hébergement,€106,,
ASTRAZENECA,Médecin,VUILLEMIN BOUVERET Marie Christine,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,VUILLEMIN BOUVERET Marie Christine,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,VUILLEMIN BOUVERET MARIE CHRISTINE,14/03/2014,Repas,€43,,
Audika Groupe SA,Médecin,CHEMELLE JEAN PIERRE,28/11/2013,REPAS,€34,,
AUDIOMEDI SAS,Audioprothésiste,MICHAUD LAURENT,28/08/2013,REPAS,€19,,
AUDIOPTIC TRADE SERVICES,Médecin,CLUZEAU GERARD,10/04/2014,INVITATION,€180,,
AUDIOPTIC TRADE SERVICES,Médecin,VUILLEMEY ERIC,06/04/2014,INVITATION,€180,,
Bayer HealthCare SAS,Médecin,BROM HUBERT,10/09/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,BROM HUBERT,25/02/2014,REPAS,€28,,
Bayer HealthCare SAS,Médecin,CROMBET GEORGES,25/02/2014,REPAS,€28,,
Bayer HealthCare SAS,Médecin,CROMBET GEORGES,10/09/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,FOURNERET GERARD,31/08/2013,Hospitalité,"€2,419",,
Bayer HealthCare SAS,Médecin,LETONDEL PASCAL,25/02/2014,REPAS,€28,,
Bayer HealthCare SAS,Médecin,LETONDEL PASCAL,10/09/2013,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,MOUHAT CHRISTIAN,25/02/2014,REPAS,€28,,
Becton Dickinson France SAS,Pharmacien,VEYRAT BEATRICE,26/11/2013,REPAS,€52,,
BIOCODEX,Médecin,BROM HUBERT,01/10/2013,REPAS,€50,,
BIOCODEX,Médecin,CROMBET GEORGES,22/04/2014,REPAS,€51,,
BIOCODEX,Médecin,CROMBET GEORGES,01/10/2013,REPAS,€50,,
BIOCODEX,Médecin,LETONDEL PASCAL,22/04/2014,REPAS,€51,,
BIOGARAN,Pharmacien,JACQUOT CHRISTIANE,10/10/2013,REPAS,€32,,
BIOGARAN,Pharmacien,MALLET MICHEL,10/10/2013,REPAS,€32,,
BIOGARAN,Pharmacien,RENAUD JEAN CHRISTOPHE,18/12/2013,REPAS,€32,,
BIOGARAN,Pharmacien,THIBAUD VALÉRIE,18/12/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAPELAN LAETITIA,18/12/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLOUZEAU BEATRICE,10/10/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COULON MEGANE,18/12/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FELIX FANNY,18/12/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GAGNEUR ARMELLE,18/12/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JACQUAND EMILIE,18/12/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MALESSARD DELPHINE,18/12/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROMANN HERVE,10/10/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VALLET CHRISTELLE,18/12/2013,REPAS,€32,,
BIOMET,Médecin,LECLERC JEROME,11/04/2012,HEBERGEMENT,€190,,
BIOMET,Médecin,LECLERC JEROME,11/04/2012,HEBERGEMENT,€219,,
BIOMET,Médecin,LECLERC JEROME,11/04/2012,REPAS,€24,,
BIOMET,Médecin,LECLERC JEROME,10/05/2012,TRANSPORT,€39,,
BOIRON,Pharmacien,SAVIN CELINE,17/04/2014,[REPAS],€25,,
BOIRON,Pharmacien,SAVIN JEROME,17/04/2014,[REPAS],€25,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FAIVRE PIERRET VALERIE,14/11/2013,[REPAS],€33,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOUVENCEAU MAUD,18/11/2013,[REPAS],€23,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAIRE MARIE-LAURE,14/11/2013,[REPAS],€33,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSELOT ANNE-MARIE,14/11/2013,[REPAS],€33,,
BOIRON,Sage-femme,EVRARD ANNE,24/06/2014,[REPAS],€22,,
BOIRON,Sage-femme,PITTET AURELIE,24/06/2014,[REPAS],€22,,
B.R.A. SAS,Médecin,VOYEMANT DIDIER,20/02/2014,REPAS,€23,,
BRISTOL-MYERS SQUIBB,Médecin,BROM HUBERT,11/06/2014,Repas,€58,,
BRISTOL-MYERS SQUIBB,Médecin,BROM HUBERT,03/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,BROM HUBERT,03/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CROMBET GEORGES,11/06/2014,Repas,€58,,
BRISTOL-MYERS SQUIBB,Médecin,CROMBET GEORGES,07/11/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,CROMBET GEORGES,03/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,GIRARD CLAUDON LISBETH,04/07/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,GUICHARD JEAN MICHEL,22/10/2013,Repas,€16,,
BRISTOL-MYERS SQUIBB,Médecin,GUICHARD JEAN MICHEL,11/06/2014,Repas,€58,,
BRISTOL-MYERS SQUIBB,Médecin,HENRY MARIE,11/06/2014,Repas,€58,,
BRISTOL-MYERS SQUIBB,Médecin,LETONDEL PASCAL,07/11/2013,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LETONDEL PASCAL,11/06/2014,Repas,€58,,
BRISTOL-MYERS SQUIBB,Médecin,LETONDEL PASCAL,03/04/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,PARIS DIDIER,04/07/2013,Repas,€43,,
CONGRES COLLOQUES CONVENTIONS,Médecin,CHANELIERE DEVAUX MURIEL,24/05/2014,REPAS,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,GORKA PHILIPPE,24/05/2014,REPAS,€30,,
COOPERVISION SAS,Opticien-lunetier,BAILLY PERRET SANDRA,03/06/2014,REPAS,€31,,
COOPERVISION SAS,Opticien-lunetier,BESANCON NATHALIE,11/03/2014,REPAS,€28,,
COOPERVISION SAS,Opticien-lunetier,BESANCON NATHALIE,05/11/2013,REPAS,€13,,
COOPERVISION SAS,Opticien-lunetier,DUARTA HELDER,03/06/2014,REPAS,€31,,
COSMETIQUE ACTIVE FRANCE,Médecin,CASTEL BRIGITTE,26/09/2013,AUTRE,€94,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,SAVIN CELINE,08/04/2014,REPAS,€29,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,SAVIN JÉRÔME,08/04/2014,REPAS,€29,,
DAIICHI SANKYO FRANCE SAS,Médecin,BROM HUBERT,08/04/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,CROMBET GEORGES,08/04/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,LETONDEL PASCAL,08/04/2014,Repas,€45,,
EDWARDS LIFESCIENCES,Médecin,FOURNERET GÉRARD,25/06/2014,REPAS,€45,,
EDWARDS LIFESCIENCES,Médecin,ODDOU BERNARD,25/06/2014,REPAS,€45,,
ESAOTE Medical,Médecin,TERRIER Pierre,17/10/2013,REPAS,€40,,
ESAOTE Medical,Médecin,TERRIER Pierre,17/10/2013,REPAS,€40,,
Essilor,Opticien-lunetier,Oberson Éva,27/06/2013,Invitation a dejeuner ou diner,€15,,
EUROPHTA,Médecin,VUILLEMEY ERIC,15/04/2014,REPAS,€45,,
FERRING SAS,Médecin,THIBAULT PASCAL,03/04/2014,Repas,€25,,
FRESENIUS KABI FRANCE,Infirmier,CARMANTRAND MARIE AGNES,24/06/2014,AUTRE: STAFF,€15,,
FRESENIUS KABI FRANCE,Infirmier,DEFLANDRE BENEDICTE,24/06/2014,AUTRE: STAFF,€15,,
FRESENIUS KABI FRANCE,Infirmier,DEFLANDRE BENEDICTE,24/06/2014,AUTRE: STAFF,€15,,
FRESENIUS KABI FRANCE,Infirmier,VENET SUZY,24/06/2014,AUTRE: STAFF,€15,,
FRESENIUS KABI FRANCE,Pharmacien,ROUX CATHERINE,24/04/2014,AUTRE: STAFF,€14,,
GE HEALTHCARE SAS,Médecin,BELFORT DIDIER,26/09/2013,REPAS PROFESSIONNEL,€40,,
GE HEALTHCARE SAS,Médecin,MICHELI SOPHIE,26/09/2013,REPAS PROFESSIONNEL,€40,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,BONNARD ANNE CHARLOTTE,27/11/2013,Repas,€29,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,BONNARD GREGORY,27/11/2013,Repas,€29,,
GUERBET France,Manipulateur d’électroradiologie médicale,BENBORNIYA FAWZI,06/03/2014,HEBERGEMENT,"€1,787",,
GUERBET France,Manipulateur d’électroradiologie médicale,BERTON LYDIE,30/09/2013,TRANSPORT,€150,,
GUERBET France,Manipulateur d’électroradiologie médicale,BRIOTTET ISABELLE,05/04/2014,HEBERGEMENT,€273,,
GUERBET France,Manipulateur d’électroradiologie médicale,BUTAVANT MATHIEU,05/04/2014,HEBERGEMENT,€273,,
GUERBET France,Manipulateur d’électroradiologie médicale,DOLE LAURA,05/04/2014,HEBERGEMENT,€273,,
GUERBET France,Manipulateur d’électroradiologie médicale,DROUELLE FLORIE,30/09/2013,TRANSPORT,€150,,
GUERBET France,Manipulateur d’électroradiologie médicale,GEVREY SAMUEL,05/04/2014,TRANSPORT,€343,,
GUERBET France,Manipulateur d’électroradiologie médicale,GEVREY SAMUEL,05/04/2014,HEBERGEMENT,€273,,
GUERBET France,Manipulateur d’électroradiologie médicale,JACQUES SABINE,30/09/2013,TRANSPORT,€150,,
GUERBET France,Manipulateur d’électroradiologie médicale,LAUNAY GILLARD SYLVAINE,31/03/2014,HEBERGEMENT,€400,,
GUERBET France,Médecin,FOURRER CHRISTINE,30/09/2013,HEBERGEMENT,€31,,
GUERBET France,Médecin,LAUNAY SYLVAINE,29/08/2013,AUTRE: FRAIS D'INSCRIPTION,€400,,
GUERBET France,Médecin,WIRTH BERNARD,30/08/2013,HEBERGEMENT,€169,,
GUERBET France,Médecin,WIRTH BERNARD,30/08/2013,TRANSPORT,€334,,
GUERBET France,Pharmacien,ECARNOT CHRISTIANE,12/12/2013,REPAS,€41,,
horus pharma,Médecin,VUILLEMEY E. Eric,29/10/2013,Repas,€45,,
horus pharma,Médecin,VUILLEMEY E. Eric,09/07/2013,Repas,€37,,
horus pharma,Médecin,VUILLEMEY E. Eric,24/04/2014,Repas,€55,,
ICOMED,Chirurgien-dentiste,BERGOT EMILIE,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,BERGOT EMILIE,03/06/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,BORRIELLO PATRICK,25/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,BOURGOUGNON CATHERINE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,CABRERA RUBIO VERONICA,05/06/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,DENIS STEPHANE,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,DENIS STEPHANE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,FERNANDEZ PAN ADRIANA,17/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,HADJI ABDELHAKIM,05/06/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,HADJI ABDELHAKIM,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,MEZARD ERIC,24/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MOGA RADU,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,BARTHEN ANNE,20/05/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,BARTHEN ANNE,02/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BRETIN DOMINIQUE,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BROM HUBERT,06/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,BROM HUBERT,11/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,COUSIN BRIGITTE,19/09/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,CROMBET GEORGES,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CROMBET GEORGES,06/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,DEMONMEROT LAURENT,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,ENTRAYGUES HERVE,02/05/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,FAVREUILLE PATRICE,24/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FAVREUILLE PATRICE,07/01/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,GILLES PATRICK,27/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GIRARD CLAUDON LISBETH,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GIRARD CLAUDON LISBETH,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GROS CHRISTIAN,28/05/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,LACROIX MICHEL,05/05/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,LETONDEL PASCAL,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MOUREZ FABRICE,11/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MOUREZ FABRICE,27/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,NEUVIALE CHRISTIAN,28/05/2013,Autre: [Enquête],€20,,
ICOMED,Médecin,NEUVIALE CHRISTIAN,23/06/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,PARIS DIDIER,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PARIS DIDIER,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PAUDEX LAURENT,02/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,SALAZAR LUIS ORLANDO,25/06/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,SALAZAR LUIS ORLANDO,29/05/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,TERRIER PIERRE,28/05/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,VUILLEMEY ERIC,23/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VUILLEMIN PHILIPPE,26/02/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,VUILLEMIN PHILIPPE,26/02/2013,Autre: [Enquête],€25,,
InterMune France SAS,Etudiant,BAMY JEREMY,19/09/2013,REPAS,€20,,
InterMune France SAS,Etudiant,GHERGHESCU GABRIEL,19/09/2013,REPAS,€20,,
InterMune France SAS,Etudiant,ROBELEY ELISE,19/09/2013,REPAS,€20,,
InterMune France SAS,Etudiant,THIMONT AMELIE,19/09/2013,REPAS,€20,,
IPSEN PHARMA,Médecin,PARRATTE BERNARD,02/07/2013,Transport,€210,,
IPSEN PHARMA,Médecin,PARRATTE BERNARD,02/07/2013,REPAS,€30,,
IPSEN PHARMA,Médecin,PARRATTE BERNARD,28/01/2014,REPAS,€25,,
IPSEN PHARMA,Médecin,PARRATTE BERNARD,27/01/2014,REPAS,€15,,
JANSSEN-CILAG,Infirmier,BERNARD PHILIPPE,21/01/2013,REPAS,€29,,
JANSSEN-CILAG,Infirmier,BERTHET PATRICIA,21/01/2013,REPAS,€29,,
JANSSEN-CILAG,Infirmier,DURAND FRANCOISE,21/01/2013,REPAS,€29,,
JANSSEN-CILAG,Infirmier,OUDOTTE NADINE,21/01/2013,REPAS,€29,,
JANSSEN-CILAG,Infirmier,SANTACRUZ PASCALE,21/01/2013,REPAS,€29,,
JANSSEN-CILAG,Infirmier,TONETTI LAURENT,21/01/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,GUILLAUME SOPHIE,21/01/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,GUILLAUME SOPHIE,04/03/2013,REPAS,€35,,
JANSSEN-CILAG,Médecin,STEULET DANIEL,14/04/2014,REPAS,€30,,
JANSSEN-CILAG,Médecin,VUILLEMIN PHILIPPE,14/04/2014,REPAS,€30,,
JANSSEN-CILAG,Médecin,VUILLEMIN PHILIPPE,04/03/2013,REPAS,€35,,
"Laboratoire AGUETTANT, Société par Actions Simplifiée",Médecin,HAMMER PETER,19/09/2013,REPAS,€23,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,DEPIERRE-GIROD FLORENCE,06/12/2012,Autre,"€1,000",,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,GALLI SYLVIO,17/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,NEUMANN FLORENT,19/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,PETITJEAN VINCENT,17/04/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,SELMAN ZOHAIR,17/04/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,SELMANI ZOHAIR,18/11/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALMOTLAK HAMADI,05/02/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHARD JEROME,23/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUVIER GERARD,19/12/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUVIER GERARD,19/06/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,06/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,08/11/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,26/07/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,04/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,15/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,07/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,17/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,25/04/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,19/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,14/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,27/03/2014,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,11/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,17/06/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,17/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,20/02/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,25/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,11/03/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,04/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,08/11/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,24/06/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,19/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,06/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,27/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,04/06/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,07/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,25/04/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BROM HUBERT,26/02/2013,Hospitalite,€51,,
