AbbVie,Médecin,ALBRECHT CORINNE,12/09/2013,REPAS,€43,,
BOIRON,Médecin,PAVEAU ALAIN,13/12/2013,[REPAS],€28,,
BRISTOL-MYERS SQUIBB,Médecin,BOESPFLUG FRANCOIS,22/11/2013,Repas,€27,,
CHIESI SA,Médecin,BOESPFLUG FRANCOIS,04/09/2013,Repas,€50,,
CHIESI SA,Médecin,GUITTET JACQUES,01/02/2014,Repas,€19,,
Conceptus SAS,Médecin,VALADE Jean-François,26/11/2013,HOSPITALITÉ,€26,,
CONGRES COLLOQUES CONVENTIONS,Médecin,GUITTET JACQUES,07/12/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Etudiant,HUBE PAULINE,07/04/2014,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Etudiant,HUBE PAULINE,17/02/2014,REPAS,€19,,
COSMETIQUE ACTIVE FRANCE,Etudiant,LECLERCQ SARAH,07/04/2014,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Etudiant,LECLERCQ SARAH,17/02/2014,REPAS,€19,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOESPFLUG FRANCOIS,26/02/2014,Repas,€60,,
Essilor,Opticien-lunetier,Michel Pierre,09/10/2013,Invitation à déjeuner / dîner,€39,,
ETHICON,Opticien-lunetier,MICHEL PIERRE,22/10/2013,REPAS,€36,,
ICOMED,Chirurgien-dentiste,MARMOTTE VALERIE,24/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BOESPFLUG FRANCOIS,27/03/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,BOESPFLUG FRANCOIS,14/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,BOUSCHBACHER JEAN MICHEL,24/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BOUSCHBACHER JEAN MICHEL,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MANQUANT PHILIPPE,18/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,VALADE JEAN FRANCOIS,09/01/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,BOESPFLUG FRANCOIS,03/12/2013,REPAS,€31,,
IPSEN PHARMA,Médecin,BOESPFLUG FRANCOIS,27/03/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,BOESPFLUG FRANCOIS,12/06/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,MANQUANT PHILIPPE,12/06/2014,REPAS,€60,,
JANSSEN-CILAG,Infirmier,TOUNSI MALIKA,17/09/2013,REPAS,€37,,
JANSSEN-CILAG,Médecin,BOESPFLUG FRANCOIS,23/04/2013,REPAS,€37,,
LABORATOIRE ATO-ZIZINE,Association professionnel de santé,HORVATH & MARMOTTE,06/12/2012,Cadeaux,€144,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOESPFLUG FRANCOIS,18/11/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOESPFLUG FRANCOIS,22/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOESPFLUG FRANCOIS,12/05/2014,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOESPFLUG FRANCOIS,24/02/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,21/03/2014,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,25/04/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,22/05/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,14/03/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,30/01/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,21/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,06/12/2013,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,18/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,23/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,21/03/2014,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,30/01/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,19/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,19/02/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,21/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRI,09/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DETE HENRY,08/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOUTIN FLORENCE,14/03/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOUTIN FLORENCE,06/12/2013,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOUTIN FLORENCE,21/03/2014,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOUTIN FLORENCE,25/04/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOUTIN FLORENCE,08/11/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAIOROVICI FREDERICH,12/06/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,22/05/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,14/03/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,21/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,18/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,23/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,19/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,23/11/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,23/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,05/03/2014,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,19/09/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,23/11/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANQUANT PHILIPPE,19/02/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,18/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,23/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,06/12/2013,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,19/02/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,19/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,21/03/2014,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,25/04/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,30/01/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,14/03/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,22/05/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,08/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,09/05/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,08/11/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAVEAU ALAIN,23/11/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VALADE JEAN FRANCOIS,03/05/2012,Hospitalité,€42,,
Laboratoires BESINS INTERNATIONAL,Médecin,HERTZOG Martine,26/09/2013,Repas,€49,,
Laboratoires BESINS INTERNATIONAL,Médecin,HERTZOG Martine,18/04/2013,Repas,€50,,
Laboratoires BESINS INTERNATIONAL,Médecin,HERTZOG Martine,27/02/2013,Repas,€14,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DETE HENRI,02/10/2013,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MANQUANT PHILIPPE,02/10/2013,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PAVEAU ALAIN,02/10/2013,Repas,€34,,
Laboratoires Grünenthal SAS,Médecin,DETE HENRI,11/07/2013,REPAS,€23,,
Laboratoires Grünenthal SAS,Médecin,DETE HENRI,13/02/2014,REPAS,€38,,
Laboratoires Grünenthal SAS,Médecin,GOUTIN FLORENCE,13/02/2014,REPAS,€38,,
Laboratoires Grünenthal SAS,Médecin,GOUTIN FLORENCE,11/07/2013,REPAS,€23,,
Laboratoires Grünenthal SAS,Médecin,MANQUANT PHILIPPE,11/07/2013,REPAS,€23,,
Laboratoires Grünenthal SAS,Médecin,PAVEAU ALAIN,13/02/2014,REPAS,€38,,
Laboratoires Grünenthal SAS,Médecin,PAVEAU ALAIN,11/07/2013,REPAS,€23,,
Laboratoires Grünenthal SAS,Médecin,VALADE JEAN FRANCOIS,01/10/2013,REPAS,€50,,
LABORATOIRES MAYOLY SPINDLER,Médecin,BOESPFLUG FRANCOIS,10/04/2014,HOSPITALITE,€25,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DETE HENRY,10/04/2014,HOSPITALITE,€25,,
LABORATOIRES MAYOLY SPINDLER,Médecin,GOUTIN FLORENCE,10/04/2014,HOSPITALITE,€25,,
LABORATOIRES MAYOLY SPINDLER,Médecin,PAVEAU ALAIN,10/04/2014,HOSPITALITE,€25,,
MENARINI FRANCE,Médecin,BOESPFLUG FRANCOIS,20/05/2014,Autre : [Restauration],€60,,
MENARINI FRANCE,Médecin,BOESPFLUG FRANCOIS,10/10/2013,AUTRE : RNT,€36,,
MENARINI FRANCE,Médecin,DETE HENRI,10/10/2013,AUTRE : RNT,€36,,
MENARINI FRANCE,Médecin,GOUTIN FLORENCE,10/10/2013,AUTRE : RNT,€36,,
MENARINI FRANCE,Médecin,PAVEAU ALAIN,10/10/2013,AUTRE : RNT,€36,,
MSD France,Médecin,BERTRAND ANNE,22/10/2012,REPAS,€28,,
MSD France,Médecin,BOESPFLUG FRANCOIS,09/12/2013,REPAS,€30,,
MSD France,Médecin,BOESPFLUG FRANCOIS,18/10/2012,HOSPITALITE,€60,,
MSD France,Médecin,BOESPFLUG FRANCOIS,14/05/2013,REPAS,€33,,
MSD France,Médecin,BOESPFLUG FRANCOIS,25/01/2012,REPAS,€41,,
MSD France,Médecin,BOESPFLUG FRANCOIS,11/07/2012,HOSPITALITE,€48,,
MSD France,Médecin,BOESPFLUG FRANCOIS,28/06/2013,REPAS,€34,,
MSD France,Médecin,BOESPFLUG FRANCOIS,17/02/2014,REPAS,€32,,
MSD France,Médecin,BOESPFLUG FRANCOIS,02/02/2012,REPAS,€35,,
MSD France,Médecin,DETE HENRI,06/03/2013,HOSPITALITÉ,€50,,
MSD France,Médecin,DETE HENRI,20/06/2012,REPAS,€40,,
MSD France,Médecin,DETE HENRI,04/12/2013,REPAS,€48,,
MSD France,Médecin,DETE HENRI,28/02/2014,REPAS,€40,,
MSD France,Médecin,DETE HENRI,19/06/2013,REPAS,€40,,
MSD France,Médecin,DETE HENRI,16/10/2013,REPAS,€50,,
MSD France,Médecin,DETE HENRI,29/08/2012,REPAS,€40,,
MSD France,Médecin,DETE HENRI,05/07/2012,REPAS,€40,,
MSD France,Médecin,DETE HENRI,29/08/2012,REPAS,€40,,
MSD France,Médecin,DETE HENRI,10/04/2013,REPAS,€40,,
MSD France,Médecin,DETE HENRI,06/03/2013,HOSPITALITÉ,€50,,
MSD France,Médecin,DETE HENRI,16/10/2013,REPAS,€50,,
MSD France,Médecin,DETE HENRI,04/12/2013,REPAS,€48,,
MSD France,Médecin,GOUTIN FLORENCE,28/06/2012,REPAS,€40,,
MSD France,Médecin,GOUTIN FLORENCE,28/02/2014,REPAS,€39,,
MSD France,Médecin,GOUTIN FLORENCE,02/07/2013,REPAS,€40,,
MSD France,Médecin,GOUTIN FLORENCE,31/08/2012,REPAS,€28,,
MSD France,Médecin,MANQUANT PHILIPPE,29/08/2012,REPAS,€40,,
MSD France,Médecin,MANQUANT PHILIPPE,09/04/2014,REPAS,€55,,
MSD France,Médecin,MANQUANT PHILIPPE,11/06/2014,REPAS,€47,,
MSD France,Médecin,MANQUANT PHILIPPE,13/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,MANQUANT PHILIPPE,20/06/2012,REPAS,€40,,
MSD France,Médecin,MANQUANT PHILIPPE,06/03/2013,HOSPITALITÉ,€50,,
MSD France,Médecin,MANQUANT PHILIPPE,04/12/2013,REPAS,€48,,
MSD France,Médecin,MANQUANT PHILIPPE,16/10/2013,REPAS,€50,,
MSD France,Médecin,MANQUANT PHILIPPE,29/01/2014,REPAS,€37,,
MSD France,Médecin,PAVEAU ALAIN,04/12/2013,REPAS,€48,,
MSD France,Médecin,PAVEAU ALAIN,13/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,PAVEAU ALAIN,28/02/2014,REPAS,€40,,
MSD France,Médecin,PAVEAU ALAIN,16/10/2013,REPAS,€50,,
MSD France,Médecin,PAVEAU ALAIN,29/08/2012,REPAS,€40,,
MSD France,Médecin,PAVEAU ALAIN,10/04/2013,REPAS,€40,,
MSD France,Médecin,PAVEAU ALAIN,20/06/2012,REPAS,€40,,
MSD France,Médecin,PAVEAU ALAIN,04/12/2013,REPAS,€48,,
MSD France,Médecin,PAVEAU ALAIN,13/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,PAVEAU ALAIN,19/06/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,DETE HENRI,18/07/2013,REPAS,€34,,
MUNDIPHARMA,Médecin,DETE HENRI,20/02/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,DETE HENRI,02/04/2014,REPAS,€40,,
MUNDIPHARMA,Médecin,DETE HENRI,15/11/2013,HOSPITALITE,€260,,
MUNDIPHARMA,Médecin,GOUTIN FLORENCE,18/07/2013,REPAS,€34,,
MUNDIPHARMA,Médecin,MANQUANT PHILIPPE,10/07/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,MANQUANT PHILIPPE,20/02/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,PAVEAU ALAIN,20/02/2013,AUTRE : REPAS PROFESSIONNEL,€40,,
MUNDIPHARMA,Médecin,PAVEAU ALAIN,10/07/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,PAVEAU ALAIN,04/12/2013,REPAS,€55,,
NOVARTIS PHARMA SAS,Médecin,BERTRAND ANNE,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BOESPFLUG FRANCOIS,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BOESPFLUG FRANCOIS,01/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,BOESPFLUG FRANCOIS,25/04/2014,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,DETE HENRI,29/04/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,DETE HENRI,03/07/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,DETE HENRI,16/05/2014,Repas,€44,,
NOVARTIS PHARMA SAS,Médecin,GOUTIN FLORENCE,27/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,GOUTIN FLORENCE,29/04/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,PAVEAU ALAIN,17/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,PAVEAU ALAIN,27/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PAVEAU ALAIN,16/05/2014,Repas,€44,,
NOVARTIS PHARMA SAS,Médecin,PAVEAU ALAIN,29/04/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,PAVEAU ALAIN,20/03/2014,Autre : [Participation Evenement Scientifique],€42,,
NOVARTIS PHARMA SAS,Médecin,VALADE JEAN FRANCOIS,27/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,PAVEAU ALAIN,17/09/2013,REPAS,€60,,
NOVO NORDISK,Médecin,PAVEAU ALAIN,11/12/2013,REPAS,€60,,
NOVO NORDISK,Médecin,PAVEAU ALAIN,12/06/2014,REPAS,€30,,
PIERRE FABRE MEDICAMENT,Médecin,BOESPFLUG FRANCOIS,05/11/2013,RESTAURATION,€28,,
PIERRE FABRE MEDICAMENT,Médecin,DETE HENRI,13/03/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,MANQUANT PHILIPPE,14/03/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,MANQUANT PHILIPPE,02/07/2012,Restauration,€43,,
PIERRE FABRE MEDICAMENT,Médecin,PAVEAU ALAIN,14/03/2012,Restauration,€50,,
PRECIPHAR,Médecin,DETE HENRI,08/01/2014,Repas,€45,,
PRECIPHAR,Médecin,MANQUANT PHILIPPE,08/01/2014,Repas,€45,,
RB Pharmaceuticals France,Médecin,DETE Henri,12/02/2014,Repas,€60,,
RB Pharmaceuticals France,Médecin,MANQUANT Philippe,12/02/2014,Repas,€60,,
RB Pharmaceuticals France,Médecin,MANQUANT Philippe,28/05/2014,Repas,€45,,
RB Pharmaceuticals France,Médecin,MANQUANT Philippe,26/03/2014,Repas,€40,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,VERNA NADEGE,18/03/2014,REPAS,€19,,
ROCHE SAS,Médecin,LEHAIR PIERRE,21/03/2013,Hébergement,€220,,
ROCHE SAS,Médecin,LEHAIR PIERRE,21/03/2013,Inscription,€460,,
ROCHE SAS,Médecin,LEHAIR PIERRE,22/03/2013,Hébergement,€220,,
ROCHE SAS,Médecin,LEHAIR PIERRE,23/03/2013,Hébergement,€220,,
ROCHE SAS,Médecin,LEHAIR PIERRE,21/03/2013,Transport,€122,,
SANOFI AVENTIS FRANCE,Médecin,GONZALEZ SYLVAIN,20/05/2014,Repas,€15,,
SANOFI AVENTIS FRANCE,Médecin,GONZALEZ SYLVAIN,18/02/2014,Repas,€21,,
SANOFI AVENTIS FRANCE,Médecin,GONZALEZ SYLVAIN,26/11/2013,Restauration,€19,,
SANOFI AVENTIS FRANCE,Médecin,VALADE JEAN FRANCOIS,05/12/2013,Restauration,€37,,
TEVA SANTE SAS,Médecin,DETE HENRI,31/10/2013,REPAS,€57,,
TEVA SANTE SAS,Médecin,GOUTIN FLORENCE,31/10/2013,REPAS,€57,,
TEVA SANTE SAS,Médecin,MANQUANT PHILIPPE,31/10/2013,REPAS,€57,,
TEVA SANTE SAS,Médecin,PAVEAU ALAIN,31/10/2013,REPAS,€57,,
Zambon France,Médecin,BOESPFLUG FRANCOIS,25/03/2014,Repas,€32,,
Zambon France,Médecin,DETE HENRI,25/03/2014,Repas,€32,,
Zambon France,Médecin,GOUTIN FLORENCE,25/03/2014,Repas,€32,,
Zambon France,Médecin,MANQUANT PHILIPPE,25/03/2014,Repas,€32,,
Zimmer Dental SAS,Chirurgien-dentiste,HORVATH-DUGNY CATHERINE,19/09/2013,REPAS,€66,,
Zimmer Dental SAS,Chirurgien-dentiste,MARMOTTE VALERIE,19/09/2013,REPAS,€66,,
