ABBOTT PRODUCTS SAS,Médecin,GRIGNOUX Michel,28/11/2013,REPAS,€51,,
ICOMED,Médecin,MERER PATRICK,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,PINTENET ALAIN,06/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PINTENET ALAIN,11/04/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,PENAUD HUGUES,07/03/2013,REPAS,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,19/01/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,11/04/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,17/01/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,19/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,24/05/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,17/01/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARNAUD PHILIPPE,11/04/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATIOT FRANCOIS,25/01/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAUVET BARON AGNES,26/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAUVET BARON AGNES,20/09/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRIGNOUX MICHEL,17/10/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRIGNOUX MICHEL,11/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,14/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,12/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,24/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,11/04/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,20/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,26/09/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,23/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,22/05/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERER PATRICK,25/01/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,15/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,12/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,13/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,13/12/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,15/11/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,18/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,27/06/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,14/06/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,19/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,10/04/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,15/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,16/02/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,19/01/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PENAUD HUGUES,17/01/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINTENET ALAIN,27/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,23/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,24/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,26/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,12/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,17/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,26/09/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,26/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,24/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAUDOU BERTRAND,17/10/2012,Hospitalité,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,TRANCHEE VERGE VALERIE,04/07/2013,Repas,€29,,
Laboratoires Expanscience,Médecin,PENAUD HUGUES,25/09/2013,Repas,€50,,
Laboratoires Expanscience,Médecin,PENAUD HUGUES,25/09/2013,Repas,€50,,
Laboratoires Grünenthal SAS,Médecin,PENAUD HUGUES,05/12/2013,REPAS,€45,,
Laboratoires Leurquin Mediolanum,Médecin,GRIGNOUX MICHEL,13/11/2013,AUTRE,€15,,
LABORATOIRES MAYOLY SPINDLER,Médecin,PENAUD HUGUES,24/09/2013,HOSPITALITE,€45,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,GUICHON DE LARQUIER ISABELLE,01/12/2013,CADEAUX,€15,,
LABORATOIRES URGO,Infirmier,LAMARCHE GREGORY,12/12/2013,REPAS,€21,,
LABORATOIRES URGO,Infirmier,SAUNET GREGORY,12/12/2013,REPAS,€21,,
LABORATOIRES URGO,Pharmacien,GUILLEMAIN VINCENT,12/12/2013,REPAS,€21,,
LES LABORATOIRES SERVIER,Médecin,ARNAUD PHILIPPE,05/11/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,ARNAUD PHILIPPE,16/01/2014,Repas,€53,,
LES LABORATOIRES SERVIER,Médecin,ARNAUD PHILIPPE,14/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GRIGNOUX MICHEL,05/04/2014,Hébergement,€268,,
LES LABORATOIRES SERVIER,Médecin,PENAUD HUGUES,14/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PENAUD HUGUES,16/01/2014,Repas,€53,,
MENARINI FRANCE,Médecin,Delannoy PHILIPPE,10/09/2013,REPAS,€58,,
MENARINI FRANCE,Médecin,PENAUD HUGUES,21/01/2014,Autre : [Restauration],€58,,
Molnlycke Health Care,Infirmier,DOUSSINEAU SYLVIE,15/01/2014,CADEAUX,€40,,
Molnlycke Health Care,Infirmier,DOUSSINEAU SYLVIE,29/11/2013,INVITATIONS,€11,,
Molnlycke Health Care,Médecin,PASTRE AGNES,24/10/2013,INVITATIONS,€19,,
MSD France,Médecin,GRIGNOUX MICHEL,22/10/2013,REPAS,€60,,
MSD France,Médecin,GRIGNOUX MICHEL,10/10/2012,REPAS,€55,,
MSD France,Médecin,GRIGNOUX MICHEL,12/03/2013,HOSPITALITÉ,€50,,
MSD France,Médecin,GRIGNOUX MICHEL,22/10/2013,REPAS,€60,,
MSD France,Médecin,PENAUD HUGUES,17/04/2012,REPAS,€55,,
MSD France,Médecin,TRANCHEE VERGE VALERIE,17/07/2012,REPAS,€17,,
MSD France,Médecin,TRANCHEE VERGE VALERIE,04/03/2014,REPAS,€21,,
NOVARTIS PHARMA SAS,Médecin,CIA CAMILLE,06/12/2013,Repas,€21,,
NOVARTIS PHARMA SAS,Médecin,CIA CAMILLE,10/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,CIA CAMILLE,19/02/2014,Autre : [Participation Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Médecin,CIA CAMILLE,15/05/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,PENAUD HUGUES,10/12/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,TRANCHEE VERGE VALERIE,15/05/2014,Autre : [Participation Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,TRANCHEE VERGE VALERIE,10/10/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,TRANCHEE VERGE VALERIE,06/12/2013,Repas,€21,,
NOVARTIS PHARMA SAS,Médecin,TRANCHEE VERGE VALERIE,19/02/2014,Autre : [Participation Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Pharmacien,GERMANEAU NATHALIE,24/10/2013,Autre : [Hospitalité Evenement Scientifique],€35,,
NOVARTIS PHARMA SAS,Pharmacien,SILLAS GAUCHER MARYLINE,24/10/2013,Autre : [Hospitalité Evenement Scientifique],€35,,
PECH CERCIAT,Médecin,Chauvet Agnès,28/11/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Sage-femme,Billaud non communiqué,12/07/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Sage-femme,Billaud non communiqué,24/10/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Sage-femme,Billaud non communiqué,27/11/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Sage-femme,Gaillard Chantal,24/10/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Sage-femme,Gaillard Chantal,12/07/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Sage-femme,Gaillard Chantal,27/11/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Sage-femme,Guichon Isabelle,12/07/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Sage-femme,Guichon Isabelle,27/11/2013,Autre : [ECHANTILLON],€20,,
PFIZER SAS,Médecin,ARNAUD PHILIPPE,18/04/2014,REPAS,€53,,
PFIZER SAS,Médecin,PENAUD HUGUES,18/04/2014,REPAS,€53,,
SANOFI AVENTIS FRANCE,Médecin,TRANCHEE VERGE VALERIE,14/01/2014,Repas,€14,,
SANOFI AVENTIS FRANCE,Médecin,TRANCHEE VERGE VALERIE,13/05/2014,Repas,€42,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOISGROLLIER PATRICIA,12/06/2014,Repas,€54,,
TEVA SANTE SAS,Médecin,CIA CAMILLE,16/12/2013,REPAS,€23,,
TEVA SANTE SAS,Médecin,CIA CAMILLE,27/06/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,DELOUANE JUGLA HANANE,05/11/2013,REPAS,€44,,
TEVA SANTE SAS,Médecin,PENAUD HUGUES,17/06/2014,REPAS,€55,,
TEVA SANTE SAS,Médecin,PINTENET ALAIN,05/11/2013,REPAS,€44,,
TEVA SANTE SAS,Médecin,TRANCHEE VERGE VALERIE,27/06/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,TRANCHEE VERGE VALERIE,16/12/2013,REPAS,€23,,
THERABEL LUCIEN PHARMA,Médecin,PENAUD HUGUES,15/04/2014,REPAS,€50,,
UNIVERSAL MEDICA,Infirmier,CLAVIER STÉPHANIE,14/11/2013,REPAS,€20,,
