3M France,Chirurgien-dentiste,GARONNAIRE FRAN‚OISE,10/04/2014,REPAS,€68,,
ASTRAZENECA,Médecin,JACQUIN LAURENCE,15/11/2013,Hébergement,€189,,
ASTRAZENECA,Médecin,JACQUIN LAURENCE,15/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,JACQUIN LAURENCE,15/11/2013,Transport,€342,,
ASTRAZENECA,Médecin,JACQUIN LAURENCE,15/11/2013,Repas,€10,,
ASTRAZENECA,Médecin,PONCET MICHELE,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,POULTEAU ERIC,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TEZENAS DU MONTCEL FRANCOIS,07/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,PERRIER FRANCON MARIE CHARLOTTE,13/02/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,NICOL GERARD,26/02/2014,Hospitalité,€58,,
BAYER SANTE FAMILIALE,Pharmacien,ASTIC FREDERICA,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Pharmacien,BARBIER SYLVIE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Pharmacien,BRYSSINE GEORGES,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Pharmacien,CHAPUIS PATRICE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Pharmacien,LAURENT MARC,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Pharmacien,PARMELAND ISABELLE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHATAING JOCELYNE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DESTRAS CHRISTELLE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GONTHIER SYLVIE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOURDE MARTINE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MONTELLIER CLARISSE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,OLLIER MYRIAM,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSEAU LORIANE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TARDY CHRISTELLE,17/10/2013,REPAS,€36,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TRUONG MARYLINE,17/10/2013,REPAS,€36,,
BIOCODEX,Médecin,ORIOL PHILIPPE,18/02/2014,REPAS,€44,,
BIOGARAN,Pharmacien,ASTIC FREDERICA,10/07/2013,REPAS,€28,,
BIOGARAN,Pharmacien,BARDIER SYLVIE,10/07/2013,REPAS,€28,,
BIOGARAN,Pharmacien,BRYSSINE GEORGES,10/07/2013,REPAS,€28,,
BIOGARAN,Pharmacien,LAURENT MARC,10/07/2013,REPAS,€28,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GONTHIER SYLVIE,10/07/2013,REPAS,€28,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSEAU LAURIANE,10/07/2013,REPAS,€28,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TRUONG THUY,10/07/2013,REPAS,€28,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRUYAS JEAN MICHEL,03/04/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRUYAS JEAN MICHEL,28/11/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DOYEN DOMINIQUE,13/05/2014,HOSPITALITE,€56,,
BOIRON,Pharmacien,BRYSSINE GEORGES,18/04/2014,[REPAS],€20,,
BOIRON,Pharmacien,BRYSSINE GEORGES,18/04/2014,[AUTRE],€15,,
BRISTOL-MYERS SQUIBB,Médecin,BRUYAS JEAN MICHEL,26/09/2013,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,BRUYAS JEAN MICHEL,12/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,DOYEN DOMINIQUE,16/04/2014,Repas,€50,,
BRISTOL-MYERS SQUIBB,Pharmacien,ASTIC FREDERICA,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,BRYSSINE GEORGES,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,CHAPUIS PATRICE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,LAURENT MARC,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Pharmacien,PARMELAND ISABELLE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHATAING JOCELINE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DESTRAS CHRISTELLE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GONTHIER SYLVIE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JOURDE MARTINE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MONTEILLIER CLARISSE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,OLLIER MYRIAM,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROUSSEAU LAURIANE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TARDY CHRISTELLE,14/11/2013,Repas,€44,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TRUONG THUY,14/11/2013,Repas,€44,,
BSN-RADIANTE SAS,Pharmacien,CONSTANT Catherine,28/01/2014,Repas,€10,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BONNEFOY Marie-Pierre,28/01/2014,Repas,€10,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FRANCOIS Marie,28/01/2014,Repas,€10,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PETIT Ghislaine,28/01/2014,Repas,€10,,
CHIESI SA,Médecin,BRUYAS JEAN MICHEL,14/11/2013,Repas,€53,,
colgate palmolive,Chirurgien-dentiste,BENETIERE PIERRE OLIVIER,02/01/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,GARONNAIRE FRANCOISE,15/04/2014,Dons de materiel,€16,,
COSMETIQUE ACTIVE FRANCE,Médecin,LABOREY BROUILLOUX CHANTAL,17/10/2013,AUTRE,€40,,
DAIICHI SANKYO FRANCE SAS,Médecin,BONNET CELINE,09/12/2013,Repas,€10,,
DAIICHI SANKYO FRANCE SAS,Médecin,FONTANEY LAURENCE,14/12/2013,Hospitalité,€250,,
DAIICHI SANKYO FRANCE SAS,Médecin,FRERY COSTE MICHELLE,14/12/2013,Hospitalité,€250,,
DENTSPLY Implants,Chirurgien-dentiste,BENETIERE PIERRE-OLIVIER,26/09/2013,REPAS,€71,,
ETHICON,Opticien-lunetier,ALRIC MELISANDE,17/03/2014,REPAS,€77,,
ETHICON,Opticien-lunetier,ALRIC MELISANDE,17/03/2014,HEBERGEMENT,€224,,
ETHICON,Opticien-lunetier,ALRIC MELISANDE,17/03/2014,TRANSPORT,€348,,
ETHICON,Opticien-lunetier,BENABELLA SAMIA,27/05/2014,REPAS,€16,,
FRESENIUS KABI FRANCE,Infirmier,BOULKOUANE NAILA,13/05/2014,REPAS,€13,,
FRESENIUS KABI FRANCE,Infirmier,SARTRE ISABELLE,13/05/2014,REPAS,€13,,
FRESENIUS KABI FRANCE,Infirmier,SARTRE ISABELLE,05/07/2013,REPAS,€15,,
FRESENIUS KABI FRANCE,Infirmier,SOUCHON NATHALIE,19/12/2013,REPAS,€18,,
FRESENIUS KABI FRANCE,Infirmier,SOUCHON NATHALIE,05/07/2013,REPAS,€15,,
Genzyme,Médecin,MONIER TIFFET MARIE CHRISTINE,18/10/2013,"Hébergement, restauration, transport",€60,,
GIBAUD,Pharmacien,CHAPUIS PATRICE,05/06/2014,Repas,€13,,
GIBAUD,Pharmacien,parmeland isabelle,05/06/2014,Repas,€13,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHATAING JOCELYNE,05/06/2014,Repas,€13,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DESTRAS CHRISTELLE,05/06/2014,Repas,€13,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GONCALVES VIOLAINE,05/06/2014,Repas,€13,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HULALKA ARTHUR,05/06/2014,Repas,€13,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MONTELLIER CLARISSE,05/06/2014,Repas,€13,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,OLLIER MYRIAM,05/06/2014,Repas,€13,,
GLOBAL D,Chirurgien-dentiste,AXIOTIS JEAN PIERRE,16/10/2013,REPAS,€52,,
GLOBAL D,Chirurgien-dentiste,AXIOTIS JEAN PIERRE,16/10/2013,REPAS,€21,,
GLOBAL D,Chirurgien-dentiste,AXIOTIS JEAN PIERRE,17/10/2013,REPAS,€30,,
GLOBAL D,Chirurgien-dentiste,AXIOTIS JEAN PIERRE,20/06/2014,HOTEL,€103,,
GLOBAL D,Chirurgien-dentiste,AXIOTIS JEAN PIERRE,20/09/2013,REPAS,€23,,
GLOBAL D,Chirurgien-dentiste,AXIOTIS JEAN PIERRE,19/06/2014,REPAS,€47,,
GLOBAL D,Chirurgien-dentiste,AXIOTIS JEAN PIERRE,16/01/2014,REPAS,€17,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,ANDREO FABIEN,23/09/2013,Repas,€28,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,TARA SOLANGE,23/09/2013,Repas,€28,,
GUERBET France,Médecin,KALIL CHRISTIAN,20/06/2014,TRANSPORT,€148,,
GUERBET France,Médecin,KALIL CHRISTIAN,20/06/2014,HEBERGEMENT,€368,,
ICOMED,Chirurgien-dentiste,FRERY ALEXANDRA,24/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,HENRION MICHEL,29/05/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,SESSIECQ DUCREUX CHANTAL,25/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,ARGOUBI IDRISSI HOURIA,05/04/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHAMOURET SANDRINE,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHAMOURET SANDRINE,06/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,DOUSTEYSSIER MICHEL,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,DOYEN DOMINIQUE,21/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,DOYEN DOMINIQUE,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DUPUY PHILIPPE,20/12/2013,Autre: [Enquête],€18,,
ICOMED,Médecin,DUPUY PHILIPPE,12/02/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,DURAND PATRICK,05/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FOND LAURENT,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FRERY COSTE MICHELLE,24/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,GIROUD FRANCOIS,25/06/2014,Autre: [Enquête],€18,,
ICOMED,Médecin,LAURENT GUY,13/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ORIOL PHILIPPE,30/04/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,ORIOL PHILIPPE,25/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,POMPEY DAVID,21/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,POULTEAU ERIC,20/05/2014,Autre: [Enquête],€25,,
IPSEN PHARMA,Médecin,POULTEAU ERIC,12/07/2013,REPAS,€18,,
Ivoclar Vivadent SAS,Chirurgien-dentiste,LEHMANN NICOLAS,31/12/2013,CADEAUX,€30,,
Ivoclar Vivadent SAS,Chirurgien-dentiste,LEHMANN NICOLAS,31/12/2012,CADEAUX,€30,,
JANSSEN-CILAG,Infirmier,BONNEFOY BUREL PASCALE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,BOULON EMMANUEL,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,BOURRISSOUX JACQUELINE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,CIZERON CATHERINE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,CONTARDO CHRISTELLE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,GRATALOUP NICOLE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,HUGUES AURELIE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,HUSSON SANDRA,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,LARFEUILLE ANNIE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,MACRON CHRISTOPHE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Infirmier,RAMOS INES,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,BILLARD STEPHANE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,BOYER STEPHANE,25/06/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,BROUILLOUX LABOREY CHANTAL,06/06/2013,REPAS,€35,,
JANSSEN-CILAG,Médecin,FOND LAURENT,06/06/2013,REPAS,€35,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,GRUMIAUX Bertrand,21/03/2014,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRERY COSTE MICHELLE,19/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIROUD FRANCOIS,16/05/2013,Hospitalite,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIROUD FRANCOIS,28/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIROUD FRANCOIS,28/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAURENT GUY,19/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PONCET MICHELE,29/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIAL RICHARD CELINE,23/05/2013,Hospitalite,€36,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE MARTIN,05/12/2013,CADEAUX,€12,,
LABORATOIRE JALDES,Médecin,Real Renée,27/08/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Real Renée,11/12/2013,Autre : [ECHANTILLON],€15,,
Laboratoires ARKOPHARMA,Médecin,BETTINELLI VIEILLE MARIE ODILE,17/06/2014,REPAS,€16,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ARGOUBI IDRISSI HOURIA,06/09/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRUSSON ANAIS,21/02/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRUYAS JEAN MICHEL,06/09/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CHAMOURET SANDRINE,06/09/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CHAMOURET SANDRINE,21/02/2014,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DOYEN Dominique,15/01/2014,AUTRE : INSCRIPTION,€311,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,CHAPUIS PATRICE,19/06/2014,Repas,€50,,
LABORATOIRES COLOPLAST,Infirmier,DUHAMEL GOUPIL MARYVONNE,05/12/2013,Repas,€30,,
LABORATOIRES COLOPLAST,Infirmier,JOSE CEDRIC,05/12/2013,Repas,€30,,
LABORATOIRES COLOPLAST,Infirmier,LUMINET DELPHINE,05/12/2013,Repas,€30,,
LABORATOIRES COLOPLAST,Infirmier,REYNAUD GUYLENE,05/12/2013,Repas,€30,,
Laboratoires Leurquin Mediolanum,Médecin,ARGOUBI IDRISSI HOURIA,25/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,ARGOUBI IDRISSI HOURIA,17/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,BRUYAS JEAN MICHEL,27/01/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,BRUYAS JEAN MICHEL,24/09/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,CHAMOURET SANDRINE,07/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,CHAMOURET SANDRINE,18/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,DURAND PATRICK,09/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,DURAND PATRICK,07/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LAURENT GUY,04/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PONCET MICHELE,14/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,POULTEAU ERIC,24/09/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,POULTEAU ERIC,27/01/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,POULTEAU ERIC,18/11/2013,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ASTIC FREDERICA,07/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,PERRIER MARIE CHARLOTTE,14/05/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,PERRIER MARIE-CHARLOTTE,07/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,PERRIER M CHARLOTTE,14/05/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ROGER GABRIELLE,14/05/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,SELLEM CHRISTINE,14/05/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,DE LEYRITZ ANNE LAURE,01/12/2013,CADEAUX,€15,,
LEO Pharma,Médecin,BROUILLOUX LABOREY CHANTAL,06/06/2013,REPAS,€11,,
LEO Pharma,Médecin,FOND LAURENT,30/05/2013,REPAS,€57,,
LEO Pharma,Médecin,FOND LAURENT,27/02/2014,REPAS,€54,,
LEO Pharma,Médecin,FOND LAURENT,21/03/2014,REPAS,€11,,
LEO Pharma,Médecin,FOND LAURENT,30/05/2013,TRANSPORT,€19,,
LEO Pharma,Médecin,FOND LAURENT,13/06/2014,REPAS,€15,,
LEO Pharma,Médecin,FOND LAURENT,06/06/2013,REPAS,€11,,
LEO Pharma,Pharmacien,PERRIER FRANCON MARIE CHARLOTTE,22/04/2014,REPAS,€38,,
LES LABORATOIRES SERVIER,Médecin,BRUYAS JEAN MICHEL,05/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BRUYAS JEAN MICHEL,10/04/2014,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,BRUYAS JEAN MICHEL,27/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,DOYEN DOMINIQUE,25/01/2014,Hébergement,€181,,
LES LABORATOIRES SERVIER,Médecin,DOYEN DOMINIQUE,25/01/2014,Repas,€106,,
LES LABORATOIRES SERVIER,Médecin,DURAND PATRICK,05/06/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,FRERY COSTE MICHELLE,05/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,LAURENT GUY,05/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,POMPEY DAVID,30/01/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,POMPEY DAVID,10/04/2014,Repas,€52,,
Lilly France SAS,Infirmier,BONNEFOY BUREL PASCALE,12/11/2013,REPAS,€20,,
Lilly France SAS,Infirmier,BONNEFOY BUREL PASCALE,25/06/2014,REPAS,€20,,
Lilly France SAS,Infirmier,BONNEFOY BUREL PASCALE,12/11/2013,REPAS,€20,,
Lilly France SAS,Infirmier,BOULON EMMANUEL,12/11/2013,REPAS,€20,,
Lilly France SAS,Infirmier,BOULON EMMANUEL,25/06/2014,REPAS,€20,,
Lilly France SAS,Infirmier,BOULON EMMANUEL,12/11/2013,REPAS,€20,,
Lilly France SAS,Infirmier,CONTARDO CHRISTELLE,12/11/2013,REPAS,€20,,
Lilly France SAS,Infirmier,CONTARDO CHRISTELLE,12/11/2013,REPAS,€20,,
Lilly France SAS,Infirmier,GRATALOUP NICOLE,12/11/2013,REPAS,€20,,
Lilly France SAS,Infirmier,GRATALOUP NICOLE,12/11/2013,REPAS,€20,,
LUNDBECK SAS,Médecin,BRUYAS JEAN MICHEL,18/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€19,,
LUNDBECK SAS,Médecin,BRUYAS JEAN MICHEL,07/11/2013,AUTRE : FRAIS DE RESTAURATION / RP,€38,,
LUNDBECK SAS,Médecin,BRUYAS JEAN MICHEL,22/09/2013,AUTRE : FRAIS D HOSPITALITE / RP,€296,,
LUNDBECK SAS,Médecin,BRUYAS JEAN MICHEL,23/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€24,,
LUNDBECK SAS,Médecin,CHAMOURET SANDRINE,18/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€19,,
LUNDBECK SAS,Médecin,CHAMOURET SANDRINE,23/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€24,,
LUNDBECK SAS,Médecin,FONTANEY LAURENCE,20/02/2014,AUTRE : FRAIS DE RESTAURATION / RP,€40,,
LUNDBECK SAS,Médecin,POULTEAU ERIC,18/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€19,,
LUNDBECK SAS,Médecin,POULTEAU ERIC,23/05/2014,AUTRE : FRAIS DE RESTAURATION / RP,€24,,
MEDEXACT,Médecin,FOND LAURENT,28/05/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,BRUYAS JEAN MICHEL,19/09/2013,REPAS,€25,,
MENARINI FRANCE,Médecin,BRUYAS JEAN MICHEL,03/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,FRERY COSTE MICHELLE,28/01/2014,Autre : [Restauration],€48,,
MENARINI FRANCE,Médecin,PONCET MICHELE,28/01/2014,Autre : [Restauration],€48,,
MERCK SERONO,Infirmier,CHAVOT ELISABETH,13/05/2014,TRANSPORT,€288,,
