ABBOTT PRODUCTS SAS,Médecin,RAGOT Francois,07/11/2013,REPAS,€38,,
PIERRE FABRE MEDICAMENT,Médecin,FURELAU MEYNIER MARIE PAULE,15/05/2012,Restauration,€52,,
PIERRE FABRE MEDICAMENT,Médecin,RAGOT FRANCOIS,02/05/2013,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,RAGOT FRANCOIS,25/04/2013,Restauration,€38,,
PIERRE FABRE MEDICAMENT,Médecin,RAGOT FRANCOIS,11/10/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,RAGOT FRANCOIS,05/07/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNET AGNES,08/01/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,TOURNET AGNES,22/04/2013,Restauration,€24,,
PRECIPHAR,Médecin,DELAGE PIERRE DAVID,27/06/2014,Repas,€45,,
PRECIPHAR,Médecin,DELAGE POMMIER MAGALI,27/06/2014,Repas,€45,,
PRECIPHAR,Médecin,GARNIER SANDRINE,16/05/2014,Repas,€27,,
RESEARCH NOW SAS,Médecin,DESPOIX STEPHANE,20/09/2013,enquête,€19,,
SANOFI AVENTIS FRANCE,Médecin,RAGOT FRANCOIS,12/06/2014,Repas,€37,,
SANOFI AVENTIS FRANCE,Médecin,RAGOT FRANCOIS,19/12/2013,Restauration,€37,,
SANOFI AVENTIS FRANCE,Médecin,RAGOT FRANCOIS,26/09/2013,Restauration,€40,,
SIGVARIS,Infirmier,GERY MARIANNE,06/09/2013,REPAS,€13,,
SIGVARIS,Infirmier,RICHARD STEPHANIE,06/09/2013,REPAS,€13,,
SIGVARIS,Infirmier,ROULAND MARTINE,06/09/2013,REPAS,€13,,
SIGVARIS,Pharmacien,PENICAUT MATIE CHRISTI,06/09/2013,REPAS,€13,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JARRY JOCELYNE,06/09/2013,REPAS,€13,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEBLOIS BENJAMIN,06/09/2013,REPAS,€13,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PRADEAU ODILE,06/09/2013,REPAS,€13,,
Takeda France,Médecin,FURELAU MEYNIER Marie paule,18/02/2014,REPAS,€30,,
Zambon France,Médecin,DELAGE PIERRE DAVID,22/11/2013,Repas,€45,,
Zambon France,Médecin,DELAGE POMMIER MAGALI,22/11/2013,Repas,€45,,
Zambon France,Médecin,LE FLAHEC XAVIER,22/11/2013,Repas,€45,,
