3M France,Chirurgien-dentiste,MOTHERON JEAN MARIE,15/05/2014,REPAS,€22,,
ASTRAZENECA,Etudiant,GUIFFARD CLAIRE,17/04/2014,Repas,€57,,
ASTRAZENECA,Etudiant,VAN DAMME THOMAS,27/09/2013,Repas,€20,,
ASTRAZENECA,Etudiant,VAN DAMME THOMAS,19/09/2013,Repas,€57,,
ASTRAZENECA,Infirmier,BENEST ANNE,12/09/2013,Repas,€20,,
ASTRAZENECA,Infirmier,BENEST ANNE,05/06/2014,Repas,€57,,
ASTRAZENECA,Infirmier,BOUQUIN THIERRY,05/06/2014,Repas,€57,,
ASTRAZENECA,Infirmier,BOUQUIN THIERRY,12/09/2013,Repas,€20,,
ASTRAZENECA,Infirmier,SAGNARD CLAIRE,04/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,BERRAGUAS LEONARD ANNE,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERRAGUAS LEONARD ANNE,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERRAGUAS LEONARD ANNE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BON SAINT COME JEAN,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,BON SAINT COME JEAN,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BON SAINT COME JEAN,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CARON LAURENT,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,CARON LAURENT,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CARON LAURENT,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHRISTOZOVA PASHEVA VILIANA,15/11/2013,Transport,€126,,
ASTRAZENECA,Médecin,CHRISTOZOVA PASHEVA VILIANA,15/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,CHRISTOZOVA PASHEVA VILIANA,16/11/2013,Autre,€98,,
ASTRAZENECA,Médecin,CHRISTOZOVA PASHEVA VILIANA,15/11/2013,Hébergement,€189,,
ASTRAZENECA,Médecin,CHRISTOZOVA PASHEVA VILIANA,15/11/2013,Repas,€10,,
ASTRAZENECA,Médecin,COUTREY LAURENT,16/11/2013,Autre,€98,,
ASTRAZENECA,Médecin,COUTREY LAURENT,15/11/2013,Hébergement,€189,,
ASTRAZENECA,Médecin,COUTREY LAURENT,15/11/2013,Transport,€163,,
ASTRAZENECA,Médecin,COUTREY LAURENT,15/11/2013,Repas,€10,,
ASTRAZENECA,Médecin,COUTREY LAURENT,15/11/2013,Repas,€60,,
ASTRAZENECA,Médecin,COUTREY LAURENT,16/11/2013,Autre,€98,,
ASTRAZENECA,Médecin,CROTTAZ PAULE,22/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CROTTAZ PAULE,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CROTTAZ PAULE,12/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,CROTTAZ PAULE,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CROTTAZ PAULE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,CROTTAZ PAULE,26/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,CROTTAZ PAULE,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,HOURIE SAAD,13/05/2014,Repas,€43,,
ASTRAZENECA,Médecin,HUTTEAU PHILIPPE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HUTTEAU PHILIPPE,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,HUTTEAU PHILIPPE,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,MELZANI MARIE JOSEPH,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,MELZANI MARIE JOSEPH,19/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,MELZANI MARIE JOSEPH,04/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,MELZANI MARIE JOSEPH,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,MELZANI MARIE JOSEPH,18/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,MICHEAUX JEAN PIERRE,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,MICHEAUX JEAN PIERRE,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,PIECHACZYK Philippe,29/11/2013,Hébergement,€219,,
ASTRAZENECA,Médecin,PIECHACZYK PHILIPPE,04/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,PIECHACZYK PHILIPPE,18/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,PIECHACZYK Philippe,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,PIECHACZYK PHILIPPE,16/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PIECHACZYK Philippe,29/11/2013,Transport,€165,,
ASTRAZENECA,Médecin,RADAODY KARL,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SAGNIER MICHEL,13/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,BAILLY HELLER CLEMENTINE,04/07/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,COLLIN DORCA AURELIEN,17/04/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,JAMET DIDIER,17/04/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,JAMET STUDER ESTELLE,17/04/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,LELIEVRE MARIE CHRISTINE,13/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,LELIEVRE MARIE CHRISTINE,04/07/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,SEPCHAT RATO BEATRICE,16/04/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,SEPCHAT RATO BEATRICE,04/07/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,VIGOUROUX LEGROS VERONIQUE,17/04/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,BION ERIC,27/03/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,ROUESNEL PHILIPPE,15/01/2014,Hospitalité,€868,,
Bayer HealthCare SAS,Médecin,SONNET MARIE LAURE,05/07/2013,Hospitalité,€23,,
Bayer HealthCare SAS,Médecin,SONNET MARIE LAURE,22/05/2014,Hospitalité,€35,,
Bayer HealthCare SAS,Médecin,SONNET MARIE LAURE,20/06/2014,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,STOERI MATHILDE,18/04/2014,Hospitalité,€23,,
BIOCODEX,Médecin,ANDROLOV HRISTO,25/06/2014,REPAS,€28,,
BIOCODEX,Médecin,GRILLAULT LAROCHE FRANCOIS,25/06/2014,REPAS,€28,,
BIOGARAN,Pharmacien,BAUDRILLARD PIERRE,19/06/2014,REPAS,€25,,
BIOGARAN,Pharmacien,BAUDRILLARD SYLVIE,19/06/2014,REPAS,€25,,
BIOGARAN,Pharmacien,DE L'AUNAY DOMINIQUE,19/06/2014,REPAS,€25,,
BIOGARAN,Pharmacien,OUBOUAZIZ Mustapha,17/03/2014,AUTRE : FORMATION ESSEC,€837,,
BIOGARAN,Pharmacien,OUBOUAZIZ MUSTAPHA,07/10/2013,AUTRE : FORMATION ESSEC,€837,,
BIOGARAN,Pharmacien,SADY CLAIRE,19/06/2014,REPAS,€25,,
BIOGARAN,Pharmacien,SEPCHAT RATO BEATRICE,17/04/2014,REPAS,€10,,
BIOGARAN,Pharmacien,TROTTEREAU DELPHINE,19/06/2014,REPAS,€25,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,AUGUIN CATHERINE,19/06/2014,REPAS,€25,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BEHR MARIE,19/06/2014,REPAS,€25,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DECAYEUX JENNIFER,19/06/2014,REPAS,€25,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MORILHON SABINE,19/06/2014,REPAS,€25,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PROUST FREDERIQUE,17/04/2014,REPAS,€10,,
BIOGEN IDEC FRANCE,Médecin,LECHE JOSETTE,15/11/2013,REPAS,€54,,
BIOGEN IDEC FRANCE,Médecin,LECHE JOSETTE,13/09/2013,INSCRIPTION CONGRES,€130,,
BIOGEN IDEC FRANCE,Médecin,LECHE JOSETTE,13/09/2013,REPAS,€60,,
BIOGEN IDEC FRANCE,Médecin,LECHE JOSETTE,15/11/2013,REPAS,€54,,
BIOGEN IDEC FRANCE,Médecin,LECHE JOSETTE,15/11/2013,HEBERGEMENT,€93,,
BIOGEN IDEC FRANCE,Médecin,LECHE JOSETTE,13/09/2013,HEBERGEMENT,€282,,
BIOGEN IDEC FRANCE,Médecin,PROUST FRANCIS,15/11/2013,TRANSPORT,€73,,
BIOGEN IDEC FRANCE,Médecin,PROUST FRANCIS,15/11/2013,REPAS,€54,,
BIOMET,Médecin,CHAMPION PHILIPPE,21/06/2012,REPAS,€67,,
BOEHRINGER INGELHEIM FRANCE,Autres types de personne morale,PR JEAN PAUL FOURNIER CONSULTANT,27/06/2014,HOSPITALITE,"€1,924",,
BOEHRINGER INGELHEIM FRANCE,Manipulateur d’électroradiologie médicale,LEFEBVRE ERIC,30/11/2013,HOSPITALITE,€146,,
BOEHRINGER INGELHEIM FRANCE,Médecin,GILLESPIE GRAHAM,13/06/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HOURIE SAAD,19/07/2013,HOSPITALITE,€46,,
BOEHRINGER INGELHEIM FRANCE,Médecin,HOURIE SAAD,11/10/2013,HOSPITALITE,€796,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROUESNEL PHILIPPE,12/06/2013,HOSPITALITE,"€1,006",,
BOIRON,Médecin,BONNEAU YOLANDE,28/06/2014,[REPAS],€38,,
BOIRON,Médecin,PORTEVIN MABOUANA ANOUSKA,28/06/2014,[REPAS],€38,,
BOIRON,Médecin,PORTEVIN MABOUANA ANOUSKA,15/04/2014,[REPAS],€50,,
BOIRON,Médecin,PORTEVIN MABOUANA ANOUSKA,10/06/2014,[REPAS],€36,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BUTON STEPHANIE,21/11/2013,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEGILLES CHARLOTTE,21/11/2013,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MORILHON SABINE,21/11/2013,[REPAS],€26,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SECHAUD KARINE,21/11/2013,[REPAS],€26,,
BRACCO IMAGING FRANCE,Manipulateur d’électroradiologie médicale,SPENLEHAUER GAELLE,11/04/2014,HOSPITALITE,€617,,
BRACCO IMAGING FRANCE,Manipulateur d’électroradiologie médicale,SPENLEHAUER GAELLE,05/04/2014,INSCRIPTION,€295,,
BRACCO IMAGING FRANCE,Médecin,DE MONCK D'UZER LOUIS,13/05/2014,REPAS,€23,,
BRACCO IMAGING FRANCE,Médecin,DE MONK D'UZER LOUIS,30/01/2013,HOSPITALITE,"€2,810",,
BRISTOL-MYERS SQUIBB,Médecin,ROUESNEL PHILIPPE,22/05/2014,Repas,€55,,
CHIESI SA,Médecin,HOURIE SAAD,15/04/2014,Repas,€26,,
CHIESI SA,Médecin,HOURIE SAAD,23/09/2013,Repas,€23,,
colgate palmolive,Chirurgien-dentiste,CASPAR SOULAT PATRICIA,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,GETENET LIONEL,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,GETENET RISACHER SYLVIE,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,PIGEON MARTINE,05/03/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,RAKOTONIRAINY LANTO,05/03/2014,Dons de materiel,€16,,
COSMETIQUE ACTIVE FRANCE,Médecin,LULIN JACQUES,12/12/2013,REPAS,€20,,
DAIICHI SANKYO FRANCE SAS,Médecin,MELZANI MARIE JOSEPH,05/04/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROUESNEL PHILIPPE,05/04/2014,Repas,€25,,
DIAGNOSTICA STAGO,Médecin,SALAUN YANN,21/11/2013,REPAS,€88,,
DIAGNOSTICA STAGO,Médecin,SALAUN YANN,21/11/2013,REPAS,€26,,
DIAGNOSTICA STAGO,Pharmacien,IMBAULT DENIS,24/10/2013,REPAS,€14,,
DJO France SAS,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,GANIVET BRUNO,14/03/2014,Repas,€19,,
EDAP TMS France SAS,Médecin,RIVAIN THIERRY,21/11/2013,REPAS,€57,,
EFFIK,Médecin,BONVALET ALAIN,02/10/2013,REPAS,€11,,
EFFIK,Médecin,BONVALET ALAIN,12/03/2014,EXEMPLAIRE DE DEMONSTRATION,€24,,
EFFIK,Médecin,DE MATTIA BERNARD,02/10/2013,REPAS,€11,,
EFFIK,Médecin,STOERI MATHILDE,02/10/2013,REPAS,€11,,
Essilor,Opticien-lunetier,Hut Benoit,21/09/2012,Bouteilles (s) de champagne,€78,,
Essilor,Opticien-lunetier,Hut Benoit,23/09/2013,Bouteille (s) de champagne,€150,,
ETHICON,Médecin,ABI FADEL ANTOINE,22/05/2014,TRANSPORT,€108,,
ETHICON,Médecin,ABI FADEL ANTOINE,22/05/2014,INSCRIPTION,€315,,
ETHICON,Médecin,ABI FADEL ANTOINE,22/05/2014,HEBERGEMENT,€463,,
EUROPHTA,Médecin,DE CHAZELLES MARIE JACQUES,30/01/2014,REPAS,€50,,
EUROPHTA,Médecin,LALLEMAND BERTRAND,30/01/2014,REPAS,€50,,
EUROPHTA,Médecin,MADERN FRANCOISE,30/01/2014,REPAS,€50,,
FRESENIUS KABI FRANCE,Diététicien,LUCAS PEAN MARTINE,13/02/2014,REPAS,€14,,
FRESENIUS KABI FRANCE,Infirmier,FRAPPEREAU MAGALI,13/02/2014,REPAS,€14,,
FRESENIUS KABI FRANCE,Infirmier,MAHOUDEAU ANNETTE,13/02/2014,REPAS,€14,,
Fresenius Medical Care France S.A.S.,Infirmier,BENAST CELINE,15/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,BESSONIER SYLVIE,15/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,COUVRAT MARIE,15/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,FRELAT SABRINA,15/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,LODEZ MARIE,15/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,NAZALES STEPHANIE,15/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,ROUTIER CELINE,15/04/2014,REPAS,€19,,
Fresenius Medical Care France S.A.S.,Infirmier,VIENANT MURIEL,15/04/2014,REPAS,€19,,
galderma international,Médecin,GIRONET PATTI NATHALIE,22/05/2014,Repas,€30,,
Genzyme,Médecin,LECHE JOSETTE,12/11/2013,"Hébergement, restauration, transport",€55,,
ICOMED,Chirurgien-dentiste,MEUNIER CHRISTIAN,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MEUNIER CHRISTIAN,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,RAKOTONIRAINY LANTO,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,VARGAS BELLON MIRIAM,26/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,ANDROLOV HRISTO,07/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,AUBAULT MATHIEU,28/05/2013,Autre: [Enquête],€20,,
ICOMED,Médecin,BENOIT ROBERT,20/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,BENSIGNOR LUCILE,08/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERGER CHRISTINE,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,BERGER FRANCOIS,25/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BERGER FRANCOIS,30/08/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BION ERIC,10/06/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,BION ERIC,27/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BONNEAU YOLANDE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BONNEAU YOLANDE,20/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,BONVALET ALAIN,21/01/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,BONVALET ALAIN,11/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CARON LAURENT,13/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,CHAMBON JACQUES,14/05/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,CHAMBON JACQUES,25/04/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,CHRISTOZOVA PASHEVA VILIANA,27/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,CHRISTOZOVA PASHEVA VILIANA,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,COUTREY LAURENT,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CRESTE LAURENT,29/04/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,DE CHAZELLES MARIE JACQUES,24/05/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,DE MATTIA BERNARD,24/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DE MATTIA BERNARD,19/03/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DUBOC BERNARD,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DUCHATELLE PAUL,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GADIOUX MADERN FRANCOISE,24/06/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,GILLOT JEAN,23/06/2014,Autre: [Enquête],€15,,
ICOMED,Médecin,GILLOT JEAN,03/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GIRONET PATTI NATHALIE,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HOOLOOMANN MODUN RESHMAH,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,HUTTEAU PHILIPPE,18/02/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,LECHE JOSETTE,18/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,LECHE JOSETTE,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LECHE PHILIPPE,15/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LULIN JACQUES,07/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LULIN JACQUES,07/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,MICHEAUX JEAN PIERRE,24/02/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,NOURRAIN GERARD,02/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,PORTEVIN MABOUANA ANOUSKA,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,RAVENEAU ANNELORE,28/11/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,RENARD LAURENT,25/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROUESNEL PHILIPPE,11/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROUESNEL PHILIPPE,07/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,SAGNIER MICHEL,19/04/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,SONNET MARIE LAURE,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,STOERI MATHILDE,21/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TOURAIN CHRISTINE,22/10/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,VOUKASSOVITCH MICHEL,28/11/2013,Autre: [Enquête],€27,,
