ABBOTT PRODUCTS SAS,Médecin,JEAN Emmanuel,29/11/2013,REPAS,€29,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAGON FRANCOIS,28/11/2013,HOSPITALITE,€45,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAGON FRANCOIS,30/01/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAGON FRANCOIS,27/02/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAUNAY OLIVIER,12/12/2013,HOSPITALITE,€26,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAUNAY OLIVIER,24/04/2014,HOSPITALITE,€27,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SIMON NATHALIE,30/01/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SIMON NATHALIE,27/02/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SIMON NATHALIE,28/11/2013,HOSPITALITE,€45,,
BOEHRINGER INGELHEIM FRANCE,Médecin,WAJEMAN SOPHIE,30/01/2014,HOSPITALITE,€23,,
BOEHRINGER INGELHEIM FRANCE,Médecin,WAJEMAN SOPHIE,27/02/2014,HOSPITALITE,€23,,
BOIRON,Médecin,WAJEMAN SOPHIE,10/06/2014,[REPAS],€38,,
BOIRON,Médecin,WAJEMAN SOPHIE,01/07/2013,[AUTRE],€69,,
BOSTON SCIENTIFIC SAS,Médecin,DE GEYER ALAIN,05/07/2013,REPAS,€44,,
BOSTON SCIENTIFIC SAS,Médecin,GRUDET STEPHANE,05/07/2013,REPAS,€44,,
BRISTOL-MYERS SQUIBB,Médecin,WAJEMAN SOPHIE,10/07/2013,Repas,€60,,
CHIESI SA,Médecin,JEAN EMMANUEL,18/10/2013,Repas,€53,,
CHIESI SA,Médecin,LAGON FRANCOIS,05/09/2013,Repas,€21,,
CHIESI SA,Médecin,LAGON FRANCOIS,18/10/2013,Repas,€53,,
CHIESI SA,Médecin,LAGON FRANCOIS,28/11/2013,Repas,€47,,
CHIESI SA,Médecin,SIMON NATHALIE,28/11/2013,Repas,€47,,
CHIESI SA,Médecin,SIMON NATHALIE,05/09/2013,Repas,€21,,
CHIESI SA,Médecin,WAJEMAN SOPHIE,05/09/2013,Repas,€21,,
CHIESI SA,Médecin,WAJEMAN SOPHIE,28/11/2013,Repas,€47,,
COSMETIQUE ACTIVE FRANCE,Etudiant,LEDARD CHRISTOPHE,17/02/2014,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Etudiant,TRONCHET ADÉLIE,17/02/2014,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,LE BRIS OMBELINE,22/05/2014,REPAS,€55,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,LEFRANCOIS HELÈNE,07/04/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,QUETTIER MÉLANIE,19/05/2014,REPAS,€20,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,QUETTIER MÉLANIE,17/02/2014,REPAS,€20,,
CRISTALENS SA,Médecin,DROUET Jean-François,15/03/2014,Repas,€26,,
CRISTALENS SA,Médecin,LEFOL Jean Michel,16/07/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,DEDIU SILVIA,13/09/2013,Repas,€24,,
DAIICHI SANKYO FRANCE SAS,Médecin,DE GEYER ALAIN,03/10/2013,Repas,€60,,
DAIICHI SANKYO FRANCE SAS,Médecin,GEFFRAY EMMANUELLE,17/04/2014,Repas,€36,,
DAIICHI SANKYO FRANCE SAS,Médecin,LAUNAY OLIVIER,27/03/2014,Repas,€46,,
DAIICHI SANKYO FRANCE SAS,Médecin,LAUNAY OLIVIER,24/10/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,LAUNAY OLIVIER,19/06/2014,Repas,€27,,
DAIICHI SANKYO FRANCE SAS,Médecin,LAUNAY OLIVIER,04/07/2013,Repas,€31,,
DAIICHI SANKYO FRANCE SAS,Médecin,LUCAS DAVID,24/10/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,LUCAS DAVID,19/06/2014,Repas,€27,,
DAIICHI SANKYO FRANCE SAS,Médecin,PILORGET AURELIE,29/04/2014,Repas,€35,,
DAIICHI SANKYO FRANCE SAS,Médecin,SIMON NATHALIE,06/02/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,SIMON NATHALIE,17/04/2014,Repas,€36,,
DAIICHI SANKYO FRANCE SAS,Médecin,WAJEMAN SOPHIE,06/02/2014,Repas,€25,,
DAIICHI SANKYO FRANCE SAS,Médecin,WAJEMAN SOPHIE,17/04/2014,Repas,€36,,
ICOMED,Chirurgien-dentiste,FEYEUX ANNE,30/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,FEYEUX GERARD,13/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BEAUFILS JEAN,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BEAUFILS JEAN,10/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,BINET DIDIER,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BINET DIDIER,31/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,DEMATTEO PHILIPPE,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,DEMATTEO PHILIPPE,20/05/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,DROUET JEAN FRANCOIS,28/05/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GEFFRAY EMMANUELLE,19/04/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,GRUDET STEPHANE,23/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,GRUDET STEPHANE,23/04/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LAUNAY OLIVIER,06/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,LE BRIS ALINE,24/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LE BRIS ALINE,04/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LE BRIS CHRISTIAN,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,LECLERE VINCENT,13/05/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,LECLERE VINCENT,11/12/2013,Autre: [Enquête],€22,,
ICOMED,Médecin,LUCAS DAVID,10/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,LUCAS DAVID,07/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,OURY ELISABETH,18/12/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,OURY ELISABETH,06/03/2013,Autre: [Enquête],€15,,
ICOMED,Médecin,SIMON NATHALIE,07/01/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,WAJEMAN SOPHIE,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,WAJEMAN SOPHIE,24/12/2013,Autre: [Enquête],€29,,
IPSEN PHARMA,Médecin,GEFFRAY EMMANUELLE,21/11/2013,REPAS,€24,,
IPSEN PHARMA,Médecin,GEFFRAY EMMANUELLE,21/11/2013,REPAS,€32,,
IPSEN PHARMA,Médecin,GERVES HENRY,20/03/2014,REPAS,€65,,
IPSEN PHARMA,Médecin,JEAN EMMANUEL,05/09/2013,REPAS,€45,,
IPSEN PHARMA,Médecin,WAJEMAN SOPHIE,21/11/2013,REPAS,€32,,
IPSEN PHARMA,Médecin,WAJEMAN SOPHIE,05/06/2014,REPAS,€28,,
IPSEN PHARMA,Médecin,WAJEMAN SOPHIE,21/11/2013,REPAS,€24,,
JANSSEN-CILAG,Médecin,LAUNAY OLIVIER,17/04/2014,REPAS,€33,,
JANSSEN-CILAG,Médecin,LAUNAY OLIVIER,14/05/2013,REPAS,€41,,
JANSSEN-CILAG,Pharmacien,LECARDONNEL ASTRID,21/02/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,BONNEL ELODIE,22/05/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE GEYER ALAIN,22/04/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE GEYER ALAIN,04/04/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEFFRAY EMMANUELLE,27/09/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEFFRAY EMMANUELLE,12/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEFFRAY EMMANUELLE,10/10/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEFFRAY EMMANUELLE,15/05/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUIVARCH ISABELLE,11/10/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUIVARCH ISABELLE,09/02/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEAN EMMANUEL,28/02/2014,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEAN EMMANUEL,05/12/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGON FRANCOIS,22/05/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGON FRANCOIS,15/05/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGON FRANCOIS,27/09/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGON FRANCOIS,22/04/2013,Hospitalite,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGON FRANCOIS,10/10/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGON FRANCOIS,22/05/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAUNAY OLIVIER,23/01/2014,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAUNAY OLIVIER,28/03/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAUNAY OLIVIER,21/11/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUCAS DAVID,04/04/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUCAS DAVID,21/11/2013,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUCAS DAVID,26/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAVEZ JEAN MARIE,04/04/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMON NATHALIE,15/05/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMON NATHALIE,22/05/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMON NATHALIE,27/09/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMON NATHALIE,30/05/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SIMON NATHALIE,10/10/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WAJEMAN SOPHIE,14/03/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WAJEMAN SOPHIE,27/09/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WAJEMAN SOPHIE,15/05/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WAJEMAN SOPHIE,22/04/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WAJEMAN SOPHIE,30/05/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WAJEMAN SOPHIE,27/09/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WAJEMAN SOPHIE,15/05/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,GOUDAL LAURENT,26/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,GOUDAL LAURENT,12/09/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,GUERARD ISABELLE,12/09/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,HAUTEMANIERE CATHERINE,12/09/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,LE BRIS OMBELINE,29/03/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,LETAROUILLY MICHEL,12/09/2013,REPAS,€41,,
LABORATOIRES ALCON,Médecin,DROUET JEAN FRANCOIS,11/05/2014,REPAS,€28,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,JEAN EMMANUEL,24/06/2014,Repas,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LAUNAY OLIVIER,11/07/2013,Repas,€32,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LUCAS DAVID,10/04/2014,Repas,€50,,
LABORATOIRES COLOPLAST,Infirmier,FRIGOUT PATRICK,19/01/2014,Transport,€93,,
LABORATOIRES COLOPLAST,Infirmier,FRIGOUT PATRICK,19/01/2014,Autre : Inscription,€90,,
LABORATOIRES COLOPLAST,Infirmier,FRIGOUT PATRICK,19/01/2014,Hébergement,€125,,
LABORATOIRES COLOPLAST,Infirmier,FRIGOUT PATRICK,19/01/2014,Hébergement,€125,,
LABORATOIRES CONVATEC,Aide soignant,BON DOROTHEE,20/03/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Aide soignant,DOUASSIN SANDRA,20/03/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Aide soignant,LETERRIER JACQUELINE,20/03/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Infirmier,FRIGOUT PATRICK,13/12/2013,DEJEUNER,€26,,
LABORATOIRES CONVATEC,Infirmier,FRIGOUT PATRICK,13/12/2013,DEJEUNER,€26,,
LABORATOIRES CONVATEC,Infirmier,FRIGOUT PATRICK,11/06/2014,REPAS,€57,,
LABORATOIRES CONVATEC,Infirmier,LEGOUPIL MAGALI,20/03/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Infirmier,LUCAS NICOLAS,20/03/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Infirmier,LUCAS NICOLAS,11/06/2014,REPAS,€57,,
LABORATOIRES CONVATEC,Infirmier,MARIE SOPHIE,20/03/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Infirmier,SAIZ CATHERINE,20/03/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Infirmier,SANSON ANNE LAURE,20/03/2014,REPAS,€34,,
LABORATOIRES CONVATEC,Médecin,DE GEYER ALAIN,11/06/2014,REPAS,€57,,
LABORATOIRES CONVATEC,Médecin,LUCAS DAVID,11/06/2014,REPAS,€57,,
LABORATOIRES CONVATEC,Médecin,LUCAS MARIE ISABELLE,11/06/2014,REPAS,€57,,
LABORATOIRES CONVATEC,Médecin,NAVEZ JEAN MARIE,11/06/2014,REPAS,€57,,
Laboratoires Grünenthal SAS,Médecin,LAGON FRANCOIS,09/01/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,WAJEMAN SOPHIE,09/01/2014,REPAS,€55,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,EMOND SYLVIE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,BONNISSENT REGINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,FAJOLLES ANNE,01/12/2013,CADEAUX,€15,,
LABORATOIRES URGO,Infirmier,FRIGOUT PATRICK,17/12/2013,REPAS,€25,,
LABORATOIRES URGO,Infirmier,LUCAS NICOLAS,17/12/2013,REPAS,€25,,
LABORATOIRES URGO,Pharmacien,LETAROUILLY Michel,21/02/2014,Repas,€38,,
LES LABORATOIRES SERVIER,Médecin,BINET DIDIER,05/12/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,BINET DIDIER,24/06/2014,Repas,€26,,
LES LABORATOIRES SERVIER,Médecin,BINET DIDIER,20/03/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DE GEYER ALAIN,17/09/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,DEMATTEO PHILIPPE,05/12/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,DEMATTEO PHILIPPE,20/03/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DUMONT PATRICE,17/09/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,GEFFRAY EMMANUELLE,04/07/2013,Repas,€32,,
LES LABORATOIRES SERVIER,Médecin,GEFFRAY EMMANUELLE,26/11/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,ISORNI JEAN BAPTISTE,25/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,JEAN EMMANUEL,05/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LAGON FRANCOIS,04/07/2013,Repas,€32,,
LES LABORATOIRES SERVIER,Médecin,LAGON FRANCOIS,19/06/2014,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,LAGON FRANCOIS,07/11/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,LAGON FRANCOIS,20/03/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,LANGLOIS INES,20/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,LAUNAY OLIVIER,09/07/2013,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,LAUNAY OLIVIER,26/09/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,LUCAS DAVID,17/09/2013,Repas,€59,,
LES LABORATOIRES SERVIER,Médecin,LUCAS DAVID,05/12/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,NAPOLY JACQUES,24/06/2014,Repas,€26,,
LES LABORATOIRES SERVIER,Médecin,SIMON NATHALIE,04/07/2013,Repas,€32,,
LES LABORATOIRES SERVIER,Médecin,WAJEMAN SOPHIE,05/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,WAJEMAN SOPHIE,04/07/2013,Repas,€32,,
LES LABORATOIRES SERVIER,Médecin,WAJEMAN SOPHIE,20/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,WAJEMAN SOPHIE,19/06/2014,Repas,€39,,
Lilly France SAS,Médecin,DEDIU SILVIA,31/01/2014,REPAS,€24,,
Lilly France SAS,Médecin,DEDIU SILVIA,26/06/2014,REPAS,€17,,
Lilly France SAS,Médecin,LAUNAY OLIVIER,10/04/2014,REPAS,€59,,
Lilly France SAS,Pharmacien,ADAM JOHAN,14/04/2014,AUTRE : [OUVRAGE SCIENTIFIQUE À USAGE COLLECTIF],€80,,
Lilly France SAS,Pharmacien,ADAM JOHAN,15/11/2013,REPAS,€51,,
LUNDBECK SAS,Médecin,DAISY GERSENDE,12/06/2014,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
MEDA PHARMA,Etudiant,BONNEL ELODIE,05/06/2014,REPAS,€28,,
MEDA PHARMA,Médecin,LAGON FRANCOIS,05/06/2014,REPAS,€28,,
MEDA PHARMA,Médecin,LAGON FRANCOIS,21/11/2013,REPAS,€22,,
MEDA PHARMA,Médecin,LAGON FRANCOIS,23/01/2014,REPAS,€34,,
MEDA PHARMA,Médecin,SIMON NATHALIE,05/06/2014,REPAS,€28,,
MEDA PHARMA,Médecin,SIMON NATHALIE,23/01/2014,REPAS,€34,,
MEDA PHARMA,Médecin,WAJEMAN SOPHIE,13/06/2014,REPAS,€28,,
MEDA PHARMA,Médecin,WAJEMAN SOPHIE,23/01/2014,REPAS,€34,,
MEDEXACT,Médecin,DEBROCZI TIBOR,08/04/2013,Autre: [Enquête],€32,,
MENARINI FRANCE,Médecin,LAGON FRANCOIS,24/05/2014,Autre : [Inscription],€456,,
MENARINI FRANCE,Médecin,LAGON FRANCOIS,24/05/2014,Hébergement,€127,,
Molnlycke Health Care,Infirmier,FRIGOUT PATRICK,15/01/2014,CADEAUX,€40,,
MSD France,Infirmier,PATRON MARLENE,07/06/2013,REPAS,€32,,
MSD France,Médecin,CHANE EDDIE,05/12/2013,REPAS,€57,,
MSD France,Médecin,DEDIU SILVIA,05/12/2013,REPAS,€57,,
MSD France,Médecin,DEDIU SILVIA,12/03/2014,REPAS,€57,,
MSD France,Médecin,DEDIU SILVIA,31/05/2012,HOSPITALITE,€64,,
MSD France,Médecin,DEDIU SILVIA,19/01/2012,REPAS,€60,,
MSD France,Médecin,DEDIU SILVIA,04/06/2012,REPAS,€23,,
MSD France,Médecin,DEDIU SILVIA,11/03/2014,TRANSPORT,€127,,
MSD France,Médecin,DEDIU SILVIA,20/06/2014,REPAS,€25,,
MSD France,Médecin,DEDIU SILVIA,11/03/2014,HÉBERGEMENT,€690,,
MSD France,Médecin,DEDIU SILVIA,11/03/2014,INSCRIPTION,€310,,
MSD France,Médecin,DROUET JEAN FRANCOIS,12/06/2012,HOSPITALITE,€55,,
MSD France,Médecin,GEFFRAY EMMANUELLE,25/03/2014,REPAS,€55,,
MSD France,Médecin,GEFFRAY EMMANUELLE,13/02/2014,REPAS,€32,,
MSD France,Médecin,GEFFRAY EMMANUELLE,28/03/2013,REPAS,€40,,
MSD France,Médecin,GEFFRAY EMMANUELLE,18/07/2013,REPAS,€30,,
MSD France,Médecin,GEFFRAY EMMANUELLE,31/05/2012,REPAS,€55,,
